,Round
9399,0
3263,0
9495,6
12055,0
9296,0
8608,0
9389,0
13397,3
1999,7
6675,7
12556,0
13133,0
13116,0
2809,7
6155,0
1825,0
14173,0
11822,0
13181,0
13996,0
12071,0
2076,0
13187,0
2304,0
92,0
8117,0
9282,7
15121,0
13066,7
9037,2
11668,0
12895,0
1696,0
6475,0
12352,0
3094,0
14439,0
14261,0
11766,3
8227,0
2080,0
9516,0
11447,3
13721,0
6473,0
2200,0
8345,0
8443,0
1704,7
2631,0
2148,0
13634,0
11695,0
9273,5
12464,0
14751,6
12757,1
13747,0
3386,0
3320,0
12998,0
2199,0
12607,0
15067,0
9112,4
12860,0
7848,0
15223,0
12200,0
7740,3
1650,2
15221,4
11775,0
3052,0
1632,2
11534,4
8274,0
6596,0
14883,6
11994,0
7928,0
14752,0
14934,0
1678,0
3023,0
7667,0
9418,0
2329,0
1701,0
8205,7
8006,0
7921,0
8175,0
14418,3
14212,0
8139,0
11653,0
8204,3
8586,0
12874,0
11685,0
1691,0
3269,0
12181,0
3130,3
11978,0
6908,0
14777,0
7416,0
2479,0
11771,1
11507,0
8284,0
14200,5
13838,0
8372,0
14516,2
7329,0
9424,7
6376,5
3321,0
7193,6
12390,0
14416,7
13920,4
7835,0
2219,0
14306,0
15000,0
7059,0
11948,0
7238,0
2111,0
8135,3
6494,0
13902,0
14275,0
1803,0
3035,0
8050,5
13464,0
8056,0
3085,3
7362,4
6285,0
1681,0
2554,0
7247,0
2692,0
12633,0
13727,0
2979,0
13039,0
13358,0
14181,0
12402,0
12910,0
2497,0
6936,4
12092,0
8395,0
6505,3
11526,2
9076,2
11598,0
13687,0
88,0
11542,0
11498,0
6493,0
13782,0
8011,0
8193,0
2310,0
14250,0
12363,2
6271,0
8316,0
6502,0
12864,0
2347,0
2729,0
14840,0
6181,2
6391,0
11674,0
14254,3
9544,4
2359,0
11817,0
11478,0
14449,0
13676,4
26,1
14190,0
12329,0
1748,0
6604,0
1879,0
2509,0
8589,0
12739,0
15124,0
11616,0
11806,0
2495,0
6981,0
6492,0
15005,0
8108,0
9521,0
2693,7
14043,0
2307,0
13924,7
13533,0
11787,4
12558,4
1943,0
14392,0
7956,0
15013,0
2496,0
12785,0
13765,0
2151,0
12441,0
7689,4
9048,2
9109,5
2057,0
13668,0
6904,0
14485,0
11532,0
13955,0
8348,0
13371,0
1634,0
13900,1
7198,0
6941,0
12507,0
13338,0
8060,0
8300,0
11466,0
9159,0
14131,0
6924,1
9557,2
2799,0
13517,7
2427,0
7156,0
12519,0
9287,6
91,0
1736,0
12479,0
11931,0
7087,0
11697,0
15169,3
1782,0
7665,0
2532,0
7602,0
12985,0
2106,0
1665,4
12460,7
7022,0
12384,0
6265,1
12334,7
13076,0
13450,0
8486,0
12482,5
3215,0
14630,0
7958,5
3173,5
8503,5
13999,3
13280,5
11599,0
8285,0
12588,3
13716,0
6544,0
3144,0
6769,0
8268,0
2615,0
2993,1
7393,1
13253,0
15083,0
6898,0
3184,0
12028,7
7659,0
13551,0
8076,0
2112,0
7577,6
9412,6
2097,0
7239,3
2762,0
12647,0
7296,1
8590,0
6617,7
12803,0
14076,0
14796,1
14728,0
12950,0
13137,0
2975,0
13476,0
7839,5
7357,0
14725,0
9231,3
12835,0
12034,1
1699,0
15022,1
1916,0
14637,0
12480,0
3364,0
12344,0
6103,0
1846,0
12180,0
9336,4
13896,0
3220,1
7038,0
1867,0
2442,0
14246,0
2174,6
13279,0
15196,7
13287,0
6200,4
12138,0
8063,0
11798,0
9045,0
9570,4
2941,0
14920,0
37,2
13144,0
12167,0
9156,6
6640,4
9311,7
7070,0
13602,0
14986,3
7446,0
13277,0
7914,0
6326,3
9106,0
13684,1
8533,0
13670,0
7711,0
11205,0
6724,0
7353,0
6864,0
9465,6
1728,0
7559,0
2171,0
7870,0
13581,0
14854,0
6868,0
6408,0
9066,6
7155,0
9511,0
6557,0
12018,0
11370,0
2261,0
6832,0
7948,0
13933,0
8597,4
12005,0
14114,0
3273,0
64,0
13810,0
7530,3
11835,0
3125,0
7027,0
1668,0
13223,0
7224,0
14678,0
2915,0
11659,0
2319,0
7691,0
8159,4
13711,0
3076,0
1793,0
12646,5
12232,0
14353,0
7385,0
6549,5
7878,0
7106,0
14084,7
6809,0
2237,0
3272,0
8416,0
8013,0
6591,0
14368,0
7844,0
8352,0
2588,0
2425,0
8291,0
12003,0
13536,0
1964,0
6504,0
14867,0
12912,0
2637,0
3168,0
12030,0
2836,5
2633,0
9169,1
13017,0
9265,0
12490,0
12634,4
8038,0
14601,0
2605,0
8581,0
13352,0
12511,0
13693,5
2345,0
7280,0
14442,0
14059,0
1920,5
2825,0
8429,0
14897,0
9087,0
11938,2
13343,0
11936,0
2764,1
2863,0
3098,0
8617,0
12925,0
6417,0
11537,0
1872,0
6636,0
9027,0
13851,0
6732,4
6338,4
3006,0
6808,0
12449,0
13872,0
14367,0
7684,0
6288,0
6577,0
12207,0
7806,0
15241,0
6543,3
3254,0
2846,0
12502,0
9199,0
6545,0
2478,3
14944,1
11546,0
12357,1
6448,0
12066,0
12810,7
12080,0
15046,0
2443,7
14216,0
14320,0
14910,0
1589,0
2483,0
8147,0
2980,0
14507,0
13963,0
7525,1
2376,0
13491,7
1630,1
2756,0
15138,0
11595,5
7231,0
12495,7
14433,0
14537,0
2183,0
15020,0
13827,0
12635,3
132,4
9028,4
6482,0
14465,1
12831,0
12774,3
2173,3
9074,0
6778,0
7696,2
7108,0
11470,0
12834,0
14502,0
11527,0
14973,0
2178,0
122,5
14597,0
14807,0
7887,0
12132,0
1646,3
1735,0
12048,1
7673,0
8118,0
12792,6
8189,0
7891,0
85,0
14125,0
13377,0
15158,0
14772,0
2558,0
14795,0
7570,0
2085,0
14489,0
7015,0
6377,0
8329,2
11725,6
14214,3
42,7
14769,0
12659,0
14793,0
11561,4
2311,1
2852,0
13487,5
7135,0
8481,0
8109,0
2255,4
11889,0
7105,0
7916,0
13698,0
8314,0
7177,7
2240,0
60,5
14644,0
12284,0
2081,3
8478,0
157,0
14895,0
11632,0
7014,0
11327,0
12625,3
2544,0
8564,0
14659,3
1886,1
6415,0
7454,0
9474,0
14645,6
12016,0
