,,,,,,,,,,,Rushing,,,,,,
1307,Dwight Lee,1207,SFO,5,125,1968,Michigan State,1965,1967,30,287,1207,4.2,10,40.2,RB,Michigan State
1308,Derek Combs,1206,RAI,7,228,2001,Ohio State,1997,2000,39,266,1206,4.5,9,30.9,RB,Ohio State
1309,Jack Concannon,1206,NWE,1,1,1964,Boston College,1961,1963,58,398,1206,3,24,20.8,QB,Boston College
1310,Mike Mosley,1206,BUF,3,76,1981,Texas A&M,1977,1980,44,365,1206,3.3,18,27.4,QB,Texas A&M
1311,Michael Vick,1202,ATL,1,1,2001,Virginia Tech,1999,2000,20,212,1202,5.7,16,60.1,QB,Virginia Tech
1312,Bill Campfield,1195,PHI,11,288,1978,Kansas,1974,1977,44,207,1195,5.8,9,27.2,RB,Kansas
1313,Stoney Case,1191,CRD,3,80,1995,New Mexico,1991,1994,42,436,1191,2.7,31,28.4,QB,New Mexico
1314,Joe Williams,1190,DAL,12,309,1970,Wyoming,1967,1969,24,318,1190,3.7,5,49.6,RB,Wyoming
1315,Mosi Tatupu,1185,NWE,8,215,1978,USC,1974,1977,44,206,1185,5.8,7,26.9,RB,USC
1316,Gary Lane,1182,CLE,9,125,1965,Missouri,1963,1965,30,295,1182,4,19,39.4,QB,Missouri
1317,George Fleming,1182,RAI,2,13,1961,Washington,1958,1960,60,296,1182,4,10,19.7,RB,Washington
1318,Greg Hawthorne,1182,PIT,1,28,1979,Baylor,1975,1978,44,237,1182,5,10,26.9,RB,Baylor
1319,MacArthur Lane,1182,CRD,1,13,1968,Utah State,1966,1967,20,171,1182,6.9,8,59.1,RB,Utah State
1320,Alexander Horvath,1181,SDG,7,260,2022,Purdue,2018,2021,38,268,1181,4.4,8,31.1,RB,Purdue
1321,Nat Moore,1180,MIA,3,78,1974,Florida,1972,1973,22,224,1180,5.3,11,53.6,RB,Florida
1322,Rhamondre Stevenson,1180,NWE,4,120,2021,Oklahoma,2019,2020,19,165,1180,7.2,13,62.1,RB,Oklahoma
1323,Warren Bankston,1178,PIT,2,42,1969,Tulane,1966,1968,30,277,1178,4.3,7,39.3,QB,Tulane
1324,Brock Purdy,1177,SFO,7,262,2022,Iowa State,2018,2021,48,365,1177,3.2,19,24.5,QB,Iowa State
1325,Claxton Welch,1175,DAL,9,230,1969,Oregon,1966,1968,30,321,1175,3.7,2,39.2,RB,Oregon
1326,Art Monk,1174,WAS,1,18,1980,Syracuse,1976,1979,44,254,1174,4.6,4,26.7,RB,Syracuse
1327,Billy Joe,1174,DEN,11,85,1963,Villanova,1960,1962,56,284,1174,4.1,16,21,RB,Villanova
1328,Dave Raimey,1173,CLE,9,121,1963,Michigan,1960,1962,27,285,1173,4.1,12,43.4,RB,Michigan
1329,Newton Williams,1172,SFO,5,139,1982,Arizona State,1977,1981,46,257,1172,4.6,5,25.5,RB,Arizona State
1330,Ron Hatcher,1170,NYJ,21,165,1962,Michigan State,1959,1961,54,248,1170,4.7,10,21.7,RB,Michigan State
1331,Theo Riddick,1169,DET,6,199,2013,Notre Dame,2009,2012,45,244,1169,4.8,5,26,RB,Notre Dame
1332,Troy Smith,1168,RAV,5,174,2007,Ohio State,2003,2006,43,293,1168,4,14,27.2,QB,Ohio State
1333,Keith Griffin,1167,WAS,10,279,1984,Miami (FL),1980,1983,44,305,1167,3.8,5,26.5,RB,Miami (FL)
1334,Rickey Watts,1166,CHI,2,39,1979,Tulsa,1975,1978,44,234,1166,5,14,26.5,RB,Tulsa
1335,Danny Lewis,1165,DET,6,73,1958,Wisconsin,1956,1957,18,195,1165,6,8,64.7,RB,Wisconsin
1336,Tajh Boyd,1165,NYJ,6,213,2014,Clemson,2010,2013,47,505,1165,2.3,26,24.8,QB,Clemson
1337,Jim Pace,1162,SFO,1,8,1958,Michigan,1956,1957,18,226,1162,5.1,9,64.6,RB,Michigan
1338,Wayne Patrick,1160,CIN,10,247,1968,Louisville,1965,1967,30,298,1160,3.9,13,38.7,RB,Louisville
1339,C.J. Prosise,1158,SEA,3,90,2016,Notre Dame,2013,2015,33,166,1158,7,12,35.1,WR,Notre Dame
1340,Merrill Douglas,1150,CHI,6,65,1958,Utah,1956,1957,20,180,1150,6.4,17,57.5,RB,Utah
1341,Rodney Carter,1149,PIT,7,175,1986,Purdue,1982,1985,44,325,1149,3.5,10,26.1,RB,Purdue
1342,Tim Wilson,1149,OTI,3,66,1977,Maryland,1974,1976,33,246,1149,4.7,11,34.8,RB,Maryland
1343,Bert Emanuel,1145,ATL,2,45,1994,Rice,1990,1993,33,309,1145,3.7,11,34.7,QB,"Rice,UCLA"
1344,Michael Pratt,1145,GNB,7,245,2024,Tulane,2020,2023,46,447,1145,2.6,28,24.9,QB,Tulane
1345,Darrell Harper,1144,BUF,,,1960,Michigan,1957,1959,54,266,1144,4.3,6,21.2,RB,Michigan
1346,Glynn Gregory,1144,KAN,13,101,1961,SMU,1958,1960,60,266,1144,4.3,6,19.1,RB,SMU
1347,Joel Makovicka,1143,CRD,4,116,1999,Nebraska,1997,1998,24,202,1143,5.7,11,47.6,RB,Nebraska
1348,Lewis Jolley,1137,OTI,3,56,1972,North Carolina,1969,1971,32,198,1137,5.7,9,35.5,RB,North Carolina
1349,Jim Crotty,1136,KAN,,,1960,Notre Dame,1957,1959,60,286,1136,4,8,18.9,RB,Notre Dame
1350,Ray Zellars,1135,NOR,2,44,1995,Notre Dame,1991,1994,35,210,1135,5.4,9,32.4,RB,Notre Dame
1351,Mike Guman,1134,RAM,6,154,1980,Penn State,1976,1979,37,276,1134,4.1,12,30.6,RB,Penn State
1352,Justin Fields,1133,CHI,1,11,2021,Ohio State,2018,2020,34,260,1133,4.4,19,33.3,QB,"Georgia,Ohio State"
1353,Reggie Brown,1131,SEA,3,91,1996,Fresno State,1994,1995,23,238,1131,4.8,24,49.2,RB,Fresno State
1354,Jack Morris,1130,RAM,7,84,1956,Oregon,1956,1957,20,241,1130,4.7,3,56.5,RB,Oregon
1355,Phil Francis,1127,SFO,7,166,1979,Stanford,1976,1978,33,261,1127,4.3,10,34.2,RB,Stanford
1356,Willie Shelby,1127,CIN,5,138,1976,Alabama,1973,1975,33,197,1127,5.7,13,34.2,RB,Alabama
1357,Joe Namath,1126,NYJ,1,2,1965,Alabama,1962,1964,60,380,1126,3,30,18.8,QB,Alabama
1358,Perry Lee Dunn,1126,SDG,3,24,1964,Ole Miss,1961,1963,56,316,1126,3.6,12,20.1,QB,Ole Miss
1359,John David Crow,1123,CRD,1,2,1958,Texas A&M,1956,1957,20,230,1123,4.9,12,56.2,RB,Texas A&M
1360,Anthony Richardson,1116,CLT,1,4,2023,Florida,2020,2022,24,161,1116,6.9,12,46.5,QB,Florida
1361,Bob Perryman,1116,NWE,3,79,1987,Michigan,1983,1986,45,254,1116,4.4,14,24.8,RB,Michigan
1362,Quentin Walker,1114,CRD,7,185,1984,Virginia,1979,1983,36,201,1114,5.5,5,30.9,RB,Virginia
1363,Pete Banaszak,1107,RAI,5,59,1966,Miami (FL),1963,1965,30,263,1107,4.2,9,36.9,RB,Miami (FL)
1364,Gary Ellerson,1106,GNB,7,182,1985,Wisconsin,1981,1983,33,226,1106,4.9,14,33.5,RB,Wisconsin
1365,James Harrison,1105,CHI,2,28,1971,Missouri,1968,1970,31,232,1105,4.8,12,35.6,RB,Missouri
1366,Rudy Harris,1104,TAM,4,91,1993,Clemson,1990,1992,29,248,1104,4.5,16,38.1,RB,Clemson
1367,Steve Sewell,1104,DEN,1,26,1985,Oklahoma,1981,1984,45,170,1104,6.5,10,24.5,RB,Oklahoma
1368,Jaylen Samuels,1103,PIT,5,165,2018,North Carolina State,2014,2017,52,181,1103,6.1,28,21.2,TE,North Carolina State
1369,Tony Mumford,1103,NWE,12,328,1985,Penn State,1981,1984,44,245,1103,4.5,8,25.1,RB,Penn State
1370,Buster Rhymes,1101,MIN,4,85,1985,Oklahoma,1980,1984,45,154,1101,7.1,13,24.5,RB,Oklahoma
1371,Demetric Felton,1101,CLE,6,211,2021,UCLA,2017,2020,41,233,1101,4.7,7,26.9,WR,UCLA
1372,Scott Ankrom,1100,DAL,12,308,1989,Texas Christian,1984,1988,29,254,1100,4.3,13,37.9,RB,Texas Christian
1373,Ray Wallace,1099,OTI,6,145,1986,Purdue,1982,1985,44,240,1099,4.6,8,25,DB,Purdue
1374,Tim Manoa,1098,CLE,3,80,1987,Penn State,1983,1986,45,223,1098,4.9,5,24.4,DL,Penn State
1375,Stanley Pritchett,1096,MIA,4,118,1996,South Carolina,1992,1995,44,252,1096,4.3,16,24.9,KR,South Carolina
1376,Bob Torrey,1095,NYG,6,145,1979,Penn State,1976,1978,30,222,1095,4.9,3,36.5,RB,Penn State
1377,Richard Williams,1092,WAS,2,56,1983,Memphis,1979,1982,44,227,1092,4.8,6,24.8,RB,Memphis
1378,Phil King,1089,NYG,1,12,1958,Vanderbilt,1956,1957,20,244,1089,4.5,0,54.5,RB,Vanderbilt
1379,Skylar Thompson,1087,MIA,7,247,2022,Kansas State,2017,2021,45,355,1087,3.1,26,24.2,QB,Kansas State
1380,Chris Samuels,1086,SDG,12,317,1991,Texas,1987,1990,43,213,1086,5.1,12,25.3,RB,Texas
1381,Russell Wayt,1086,OTI,6,43,1965,Rice,1962,1964,60,252,1086,4.3,4,18.1,RB,Rice
1382,George Peoples,1085,DAL,8,216,1982,Auburn,1978,1981,44,239,1085,4.5,3,24.7,RB,Auburn
1383,Baker Mayfield,1083,CLE,1,1,2018,Oklahoma,2013,2017,48,404,1083,2.7,21,22.6,QB,"Oklahoma,Texas Tech"
1384,Speedy Neal,1082,BUF,3,82,1984,Miami (FL),1980,1983,44,278,1082,3.9,14,24.6,RB,Miami (FL)
1385,Torin Dorn,1082,RAI,4,95,1990,North Carolina,1986,1989,44,223,1082,4.9,5,24.6,RB,North Carolina
1386,Red Mack,1080,BUF,23,180,1961,Notre Dame,1958,1960,60,224,1080,4.8,8,18,RB,Notre Dame
1387,Olandis Gary,1079,DEN,4,127,1999,Georgia,1997,1998,22,209,1079,5.2,17,49,RB,Georgia
1388,Tucker Frederickson,1079,NYG,1,1,1965,Auburn,1962,1964,30,260,1079,4.2,8,36,RB,Auburn
1389,Charley Britt,1078,DEN,,,1960,Georgia,1957,1959,60,448,1078,2.4,12,18,QB,Georgia
1390,Justin Fargas,1077,RAI,3,96,2003,USC,1998,2002,33,256,1077,4.2,8,32.6,RB,"Michigan,USC"
1391,Chris Carson,1076,SEA,7,249,2017,Oklahoma State,2015,2016,21,213,1076,5.1,13,51.2,RB,Oklahoma State
1392,Eddie Hill,1076,RAM,2,54,1979,Memphis,1976,1978,33,212,1076,5.1,5,32.6,RB,Memphis
1393,Donnell Bennett,1075,KAN,2,58,1994,Miami (FL),1991,1993,29,258,1075,4.2,15,37.1,RB,Miami (FL)
1394,Dwight Beverly,1075,CLT,6,147,1984,Illinois,1982,1983,22,231,1075,4.7,10,48.9,RB,Illinois
1395,Travis Williams,1074,GNB,4,93,1967,Arizona State,1965,1966,20,267,1074,4,6,53.7,RB,Arizona State
1396,Sean Clifford,1073,GNB,5,149,2023,Penn State,2018,2022,51,388,1073,2.8,15,21,QB,Penn State
1397,Alex Smith,1072,SFO,1,1,2005,Utah,2002,2004,25,286,1072,3.7,15,42.9,QB,Utah
1398,Rich Erenberg,1071,PIT,9,247,1984,,1980,1981,20,235,1071,4.6,6,53.6,RB,Colgate
1399,Kevin Harmon,1070,SEA,4,101,1988,Iowa,1984,1987,46,222,1070,4.8,12,23.3,RB,Iowa
1400,Gerry Ellis,1068,RAM,7,192,1980,Missouri,1977,1979,33,223,1068,4.8,14,32.4,RB,Missouri
