,,,,,,Passing,,,,,,,,,,,,,,,
1246,Jerry Gross,21,1960,1962,27,236,476,240,49.6,3329,21,30,4.4,6.3,110.3,7,5.04,14.1,123.3,QB,Detroit Mercy
1247,Jerry Keeling,21,1958,1960,30,189,404,215,46.8,2468,21,38,5.2,9.4,96.4,6.1,2.92,13.1,82.3,QB,Tulsa
1248,Jim Del Gaizo,21,1966,1968,20,197,434,237,45.4,2426,21,26,4.8,6,96.3,5.6,3.86,12.3,121.3,QB,"Syracuse,Tampa"
1249,Joe Dalpra,21,1988,1991,30,239,500,261,47.8,2991,21,26,4.2,5.2,101.5,6,4.48,12.5,99.7,QB,Kent State
1250,Joe Roth,21,1975,1976,22,280,521,241,53.7,3669,21,25,4,4.8,116.6,7,5.69,13.1,166.8,QB,California
1251,Joe Stevenson,21,1977,1980,44,191,384,193,49.7,2502,21,19,5.5,4.9,112.6,6.5,5.38,13.1,56.9,QB,North Texas
1252,Josh Blankenship,21,1999,2001,31,443,844,401,52.5,5273,21,32,2.5,3.8,105.6,6.2,5.04,11.9,170.1,QB,Tulsa
1253,Karsten Sween,21,2006,2009,36,380,655,275,58,3663,21,32,3.2,4.9,105.8,5.6,4.04,9.6,101.8,QB,Wyoming
1254,Kole McKamey,21,2002,2006,36,279,505,226,55.2,3359,21,22,4.2,4.4,116.1,6.7,5.52,12,93.3,QB,New Mexico
1255,Larry Zeno,21,1962,1964,30,199,412,213,48.3,2857,21,36,5.1,8.7,105.9,6.9,4.02,14.4,95.2,QB,UCLA
1256,Leon Jackson III,21,2004,2007,42,382,656,274,58.2,4221,21,18,3.2,2.7,117.4,6.4,5.84,11,100.5,QB,Utah State
1257,Lyle Moevao,21,2007,2009,21,291,509,218,57.2,3410,21,19,4.1,3.7,119.6,6.7,5.84,11.7,162.4,QB,Oregon State
1258,Matt Davis,21,2014,2016,23,280,517,237,54.2,3273,21,13,4.1,2.5,115.7,6.3,6.01,11.7,142.3,QB,SMU
1259,Mel Melin,21,1959,1961,30,226,452,226,50,2978,21,28,4.6,6.2,108.3,6.6,4.73,13.2,99.3,QB,Washington State
1260,Mike Greenfield,21,1984,1987,39,497,933,436,53.3,5803,21,39,2.3,4.2,104.6,6.2,4.79,11.7,148.8,QB,Northwestern
1261,Mitchell Guadagni,21,2017,2019,22,149,248,99,60.1,2168,21,6,8.5,2.4,156.6,8.7,9.35,14.6,98.5,QB,Toledo
1262,Nathan Elliott,21,2016,2018,19,284,480,196,59.2,3150,21,14,4.4,2.9,122.9,6.6,6.13,11.1,165.8,QB,North Carolina
1263,Paul McGaffigan,21,1977,1979,29,375,688,313,54.5,4811,21,33,3.1,4.8,113.7,7,5.44,12.8,165.9,QB,Long Beach State
1264,Pete Vaas,21,1971,1973,31,212,433,221,49,2642,21,40,4.8,9.2,97.7,6.1,2.91,12.5,85.2,QB,Holy Cross
1265,Phil Johnson,21,1990,1992,26,291,520,229,56,3600,21,20,4,3.8,119.8,6.9,6,12.4,138.5,QB,Missouri
1266,Quinten Dormady,21,2015,2019,28,292,475,183,61.5,3602,21,15,4.4,3.2,133.4,7.6,7.05,12.3,128.6,QB,"Central Michigan,Houston,Tennessee"
1267,Rhett Putman,21,1969,1970,20,148,313,165,47.3,2381,21,26,6.7,8.3,116.7,7.6,5.21,16.1,119.1,QB,New Mexico State
1268,R.J. Anderson,21,2000,2003,42,358,679,321,52.7,4698,21,23,3.1,3.4,114.3,6.9,6.01,13.1,111.9,QB,Syracuse
1269,Ron DiGravio,21,1961,1963,27,174,353,179,49.3,2598,21,12,5.9,3.4,123.9,7.4,7.02,14.9,96.2,QB,Purdue
1270,Ross Comis,21,2014,2018,32,214,365,151,58.6,2986,21,5,5.8,1.4,143.6,8.2,8.72,14,93.3,,Massachusetts
1271,Ryan Collins,21,1992,1995,25,171,300,129,57,2307,21,18,7,6,132.7,7.7,6.39,13.5,92.3,QB,Miami (FL)
1272,Ryan Hilinski,21,2019,2024,33,481,850,369,56.6,5101,21,16,2.5,1.9,111.4,6,5.65,10.6,154.6,QB,"Northwestern,South Carolina"
1273,Scott Schaffner,21,1987,1991,55,278,515,237,54,3472,21,22,4.1,4.3,115.5,6.7,5.63,12.5,63.1,QB,Minnesota
1274,Sergio Toscano,21,1979,1982,42,241,495,254,48.7,3206,21,24,4.2,4.8,107.4,6.5,5.14,13.3,76.3,QB,Fresno State
1275,Stanley Jackson,21,1994,1997,41,182,329,147,55.3,2567,21,8,6.4,2.4,137.1,7.8,7.98,14.1,62.6,QB,Ohio State
1276,Steve Bayuk,21,1975,1978,44,284,593,309,47.9,3256,21,38,3.5,6.4,92.9,5.5,3.32,11.5,74,QB,Texas Christian
1277,Steve Davis,21,1973,1975,33,83,210,127,39.5,1973,21,17,10,8.1,135.3,9.4,7.75,23.8,59.8,QB,Oklahoma
1278,Steve Fairchild,21,1978,1980,21,257,507,250,50.7,3483,21,25,4.1,4.9,112.2,6.9,5.48,13.6,165.9,QB,Colorado State
1279,Steve Juday,21,1963,1965,25,198,384,186,51.6,2576,21,24,5.5,6.3,113.5,6.7,4.99,13,103,QB,Michigan State
1280,Tevin Washington,21,2009,2012,36,175,345,170,50.7,3312,21,15,6.1,4.3,142.8,9.6,8.86,18.9,92,QB,Georgia Tech
1281,Todd Doxzon,21,1993,1996,37,244,443,199,55.1,3158,21,17,4.7,3.8,122.9,7.1,6.35,12.9,85.4,QB,Iowa State
1282,Tony Hilde,21,1996,1996,12,170,338,168,50.3,2473,21,17,6.2,5,122.2,7.3,6.3,14.5,206.1,QB,Boise State
1283,Wade Kosakowski,21,1985,1987,33,407,691,284,58.9,4550,21,29,3,4.2,115.8,6.6,5.3,11.2,137.9,QB,Ball State
1284,Alton Grizzard,20,1987,1990,43,247,529,282,46.7,3492,20,23,3.8,4.3,105.9,6.6,5.4,14.1,81.2,QB,Navy
1285,Andy Vetter,20,1974,1977,44,197,354,157,55.6,2581,20,25,5.6,7.1,121.4,7.3,5.24,13.1,58.7,QB,Ohio
1286,Anthony Colandrea,20,2023,2024,12,238,369,131,64.5,2990,20,13,5.4,3.5,143.4,8.1,7.6,12.6,249.2,QB,Virginia
1287,Bill Creeden,20,1965,1967,27,236,524,288,45,3213,20,29,3.8,5.5,98.1,6.1,4.4,13.6,119,QB,Pennsylvania
1288,Billy Farris,20,2006,2008,21,253,418,165,60.5,3173,20,14,4.8,3.3,133.4,7.6,7.04,12.5,151.1,QB,Colorado State
1289,Bobby Watters,20,1984,1988,44,220,432,212,50.9,3023,20,26,4.6,6,112.9,7,5.22,13.7,68.7,QB,"Arizona,SMU"
1290,Brad Wright,20,1977,1980,47,237,464,227,51.1,3364,20,28,4.3,6,114.1,7.3,5.4,14.2,71.6,QB,New Mexico
1291,Brandon Hassell,20,2003,2004,20,259,457,198,56.7,3763,20,11,4.4,2.4,135.5,8.2,8.03,14.5,188.2,QB,Texas Christian
1292,Braxton Burmeister,20,2017,2022,38,275,498,223,55.2,3283,20,14,4,2.8,118.2,6.6,6.13,11.9,86.4,QB,"Oregon,San Diego State,Virginia Tech"
1293,Butch Monaghan,20,1976,1979,44,210,447,237,47,2537,20,24,4.5,5.4,98.7,5.7,4.15,12.1,57.7,QB,Illinois State
1294,Chad Hutchinson,20,1996,1997,22,379,627,248,60.4,4235,20,22,3.2,3.5,120.7,6.8,5.81,11.2,192.5,QB,Stanford
1295,Dallas Davis,20,2015,2017,26,309,547,238,56.5,4169,20,20,3.7,3.7,125.3,7.6,6.71,13.5,160.3,QB,South Alabama
1296,Dan Freiburger,20,1989,1992,36,349,627,278,55.7,3769,20,19,3.2,3,110.6,6,5.29,10.8,104.7,QB,SMU
1297,Dan O'Dell,20,1994,1997,43,156,319,163,48.9,2088,20,15,6.3,4.7,115.2,6.5,5.68,13.4,48.6,QB,San Jose State
1298,Danny Davis,20,1976,1978,33,174,352,178,49.4,2702,20,18,5.7,5.1,122.4,7.7,6.51,15.5,81.9,QB,Houston
1299,Dave Shinskie,20,2009,2011,19,196,386,190,50.8,2670,20,20,5.2,5.2,115.6,6.9,5.62,13.6,140.5,QB,Boston College
1300,Dayne Crist,20,2009,2012,27,302,554,252,54.5,3640,20,18,3.6,3.2,115.1,6.6,5.83,12.1,134.8,QB,"Kansas,Notre Dame"
1301,Don Bunce,20,1968,1971,31,190,360,170,52.8,2805,20,21,5.6,5.8,124.9,7.8,6.28,14.8,90.5,QB,Stanford
1302,Dylan Morris,20,2020,2024,28,305,503,198,60.6,3721,20,17,4,3.4,129.1,7.4,6.67,12.2,132.9,QB,"James Madison,Washington"
1303,Ed McMichael,20,1978,1980,33,284,468,184,60.7,3498,20,20,4.3,4.3,129,7.5,6.41,12.3,106,QB,Rutgers
1304,Erik Chapman,20,1986,1987,22,232,453,221,51.2,2967,20,20,4.4,4.4,112,6.5,5.45,12.8,134.9,QB,Virginia Tech
1305,Gary Hertzfeldt,20,1961,1963,30,177,359,182,49.3,2535,20,19,5.6,5.3,116.4,7.1,5.79,14.3,84.5,QB,Utah
1306,Gary Snook,20,1963,1965,27,280,631,351,44.4,3738,20,42,3.2,6.7,91.3,5.9,3.56,13.4,138.4,QB,Iowa
1307,Gene Arnette,20,1967,1968,20,179,353,174,50.7,2447,20,25,5.7,7.1,113.5,6.9,4.88,13.7,122.4,QB,Virginia
1308,Gerry Gdowski,20,1987,1989,24,77,146,69,52.7,1398,20,2,13.7,1.4,175.6,9.6,11.7,18.2,58.3,QB,Nebraska
1309,Gordon Queen,20,1962,1964,30,99,218,119,45.4,1541,20,14,9.2,6.4,122.2,7.1,6.01,15.6,51.4,QB,Oregon State
1310,Harry Lynch,20,1971,1973,33,208,469,261,44.3,3205,20,27,4.3,5.8,104.3,6.8,5.1,15.4,97.1,QB,The Citadel
1311,Hue Jackson,20,1985,1986,23,157,329,172,47.7,2544,20,19,6.1,5.8,121.2,7.7,6.35,16.2,110.6,QB,Pacific
1312,James Knapke,20,2013,2016,37,357,632,275,56.5,4053,20,21,3.2,3.3,114.2,6.4,5.55,11.4,109.5,QB,Bowling Green
1313,Jaylen Raynor,20,2023,2024,15,235,413,178,56.9,3330,20,12,4.8,2.9,134.8,8.1,7.72,14.2,222,QB,Arkansas State
1314,Jeff Bower,20,1973,1975,33,278,506,228,54.9,3589,20,28,4,5.5,116.5,7.1,5.39,12.9,108.8,QB,Southern Mississippi
1315,Jeff Godfrey,20,2010,2013,52,321,474,153,67.7,4095,20,14,4.2,3,148.3,8.6,8.15,12.8,78.8,QB,UCF
1316,Jeff Martin,20,1973,1976,40,370,753,383,49.1,4365,20,47,2.7,6.2,94.1,5.8,3.52,11.8,109.1,QB,Drake
1317,Jeremy Johnson,20,2013,2016,29,179,282,103,63.5,2224,20,11,7.1,3.9,145.3,7.9,7.55,12.4,76.7,QB,Auburn
1318,Joe Massey,20,1968,1970,27,171,333,162,51.4,2339,20,17,6,5.1,120,7,5.93,13.7,86.6,QB,Yale
1319,Joel Lanning,20,2014,2017,37,209,366,157,57.1,2584,20,7,5.5,1.9,130.6,7.1,7.29,12.4,69.8,,Iowa State
1320,John Leister,20,1979,1982,40,313,686,373,45.6,3999,20,35,2.9,5.1,94,5.8,4.12,12.8,100,QB,Michigan State
1321,John Schneider,20,1965,1967,30,311,626,315,49.7,3785,20,30,3.2,4.8,101.4,6,4.53,12.2,126.2,,Toledo
1322,Josh Nesbitt,20,2007,2010,45,173,403,230,42.9,3276,20,16,5,4,119.6,8.1,7.33,18.9,72.8,QB,Georgia Tech
1323,Kenny Kelly,20,1998,1999,20,164,301,137,54.5,2346,20,15,6.6,5,131.9,7.8,6.88,14.3,117.3,QB,Miami (FL)
1324,Kevin Anthony,20,1983,1985,33,296,528,232,56.1,3412,20,24,3.8,4.5,113.8,6.5,5.17,11.5,103.4,QB,North Carolina
1325,Lamar Jordan,20,2014,2017,46,206,398,192,51.8,3225,20,23,5,5.8,124.8,8.1,6.51,15.7,70.1,QB,New Mexico
1326,Lance Pavlas,20,1987,1990,46,248,439,191,56.5,3185,20,27,4.6,6.2,120.2,7.3,5.4,12.8,69.2,QB,Texas A&M
1327,Marc Lyons,20,1967,1969,30,251,543,292,46.2,3345,20,28,3.7,5.2,99.8,6.2,4.58,13.3,111.5,QB,BYU
1328,Mark Maye,20,1984,1987,33,263,468,205,56.2,3459,20,22,4.3,4.7,123,7.4,6.13,13.2,104.8,QB,North Carolina
1329,Michael Harrington,20,2002,2005,30,354,615,261,57.6,3567,20,22,3.3,3.6,109.9,5.8,4.84,10.1,118.9,QB,Idaho
1330,Mike Cavan,20,1968,1970,30,229,448,219,51.1,3216,20,30,4.5,6.7,112.8,7.2,5.06,14,107.2,QB,Georgia
1331,Mike Johnson,20,1988,1989,22,281,598,317,47,3989,20,26,3.3,4.3,105.4,6.7,5.38,14.2,181.3,QB,Akron
1332,Mike McKay,20,1981,1982,17,230,384,154,59.9,2830,20,17,5.2,4.4,130.1,7.4,6.42,12.3,166.5,QB,Tulane
1333,Mike Perez,20,1990,1993,40,315,638,323,49.4,4144,20,21,3.1,3.3,107.7,6.5,5.64,13.2,103.6,QB,UTEP
1334,Mike Van Raaphorst,20,1997,2000,28,254,487,233,52.2,3276,20,15,4.1,3.1,116.1,6.7,6.16,12.9,117,QB,USC
1335,Oscar Ramirez,20,1977,1978,23,201,480,279,41.9,2712,20,40,4.2,8.3,86.4,5.7,2.73,13.5,117.9,QB,UTEP
1336,Rashard Casey,20,1997,2000,45,242,459,217,52.7,3046,20,13,4.4,2.8,117.2,6.6,6.23,12.6,67.7,QB,Penn State
1337,Ric Zimmerman,20,1965,1967,27,114,244,130,46.7,1790,20,13,8.2,5.3,124.7,7.3,6.58,15.7,66.3,QB,Harvard
1338,Richard Bevly,20,1972,1974,32,189,452,263,41.8,2873,20,23,4.4,5.1,99.6,6.4,4.95,15.2,89.8,QB,Ohio
1339,Rick Bashore,20,1976,1979,44,201,408,207,49.3,2840,20,25,4.9,6.1,111.7,7,5.18,14.1,64.5,QB,UCLA
1340,Ricky Dobbs,20,2008,2010,33,147,271,124,54.2,2770,20,10,7.4,3.7,157.1,10.2,10.04,18.8,83.9,QB,Navy
1341,Riley Dodge,20,2008,2010,24,311,481,170,64.7,3187,20,20,4.2,4.2,125.7,6.6,5.59,10.2,132.8,QB,North Texas
1342,Steve Krainock,20,1980,1981,20,228,449,221,50.8,3022,20,22,4.5,4.9,112.2,6.7,5.42,13.3,151.1,QB,Richmond
1343,Syvelle Newton,20,2003,2006,43,170,300,130,56.7,2474,20,13,6.7,4.3,139.3,8.2,7.63,14.6,57.5,WR,South Carolina
1344,Tevaka Tuioti,20,2017,2020,22,220,422,202,52.1,3079,20,15,4.7,3.6,122,7.3,6.64,14,140,QB,New Mexico
1345,Tim Riordan,20,1981,1983,27,313,554,241,56.5,3679,20,21,3.6,3.8,116.6,6.6,5.66,11.8,136.3,QB,Temple
1346,TJ Mcmahon,20,2021,2023,23,173,287,114,60.3,2301,20,15,7,5.2,140.2,8,7.06,13.3,100,QB,"Marshall,Rice"
1347,Tom Jones,20,1979,1982,44,238,432,194,55.1,2927,20,24,4.6,5.6,116.2,6.8,5.2,12.3,66.5,QB,Arkansas
1348,Tom Tarver,20,1988,1991,25,288,518,230,55.6,3605,20,24,3.9,4.6,117.5,7,5.65,12.5,144.2,QB,Rutgers
1349,Tony Pounds,20,1970,1971,22,189,402,213,47,2663,20,36,5,9,101.2,6.6,3.59,14.1,121,QB,Oklahoma State
1350,Tre Roberson,20,2011,2013,23,197,330,133,59.7,2433,20,11,6.1,3.3,135,7.4,7.08,12.4,105.8,QB,Indiana
1351,Tyler O'Connor,20,2013,2016,25,188,316,128,59.5,2344,20,11,6.3,3.5,135.7,7.4,7.12,12.5,93.8,QB,Michigan State
1352,Tyler Watts,20,1999,2002,35,284,492,208,57.7,3540,20,13,4.1,2.6,126.3,7.2,6.82,12.5,101.1,QB,Alabama
1353,Adam Barmann,19,2003,2006,22,296,527,231,56.2,3020,19,21,3.6,4,108.2,5.7,4.66,10.2,137.3,QB,Kansas
1354,A.J. Suggs,19,2000,2003,24,304,526,222,57.8,3207,19,20,3.6,3.8,113.3,6.1,5.11,10.5,133.6,QB,"Georgia Tech,Tennessee"
1355,Al Clark,19,1995,1998,34,193,361,168,53.5,2623,19,9,5.3,2.5,126.9,7.3,7.2,13.6,77.1,QB,Virginia Tech
1356,Armani Rogers,19,2017,2021,36,226,443,217,51,2863,19,13,4.3,2.9,113.6,6.5,6,12.7,79.5,QB,"Nevada-Las Vegas,Ohio"
1357,Austin Grammer,19,2013,2015,33,248,393,145,63.1,2792,19,15,4.8,3.8,131.1,7.1,6.35,11.3,84.6,QB,Middle Tennessee State
1358,B.J. Denker,19,2012,2013,19,258,418,160,61.7,2775,19,8,4.5,1.9,128.7,6.6,6.69,10.8,146.1,QB,Arizona
1359,Brendon Lewis,19,2020,2024,32,386,652,266,59.2,3908,19,13,2.9,2,115.2,6,5.68,10.1,122.1,QB,"Colorado,Nevada"
1360,Brian Brennan,19,1996,1997,11,218,387,169,56.3,2708,19,5,4.9,1.3,128.7,7,7.4,12.4,246.2,QB,Idaho
1361,Carl Straw,19,1987,1990,32,448,833,385,53.8,5223,19,31,2.3,3.7,106.5,6.3,5.05,11.7,163.2,QB,Kansas State
1362,Chandler Fields,19,2019,2024,30,220,354,134,62.1,2377,19,7,5.4,2,132.3,6.7,6.9,10.8,79.2,QB,Louisiana
1363,Chason Virgil,19,2015,2017,25,245,461,216,53.1,2843,19,15,4.1,3.3,112,6.2,5.53,11.6,113.7,QB,Fresno State
1364,Chico Canales,19,1980,1983,44,237,450,213,52.7,2635,19,28,4.2,6.2,103.3,5.9,3.9,11.1,59.9,QB,Utah State
1365,Chris Mendonca,19,1983,1987,34,244,441,197,55.3,3037,19,26,4.3,5.9,115.6,6.9,5.1,12.4,89.3,QB,"Fresno State,Utah"
1366,Dan Graham,19,1975,1977,34,152,345,193,44.1,2508,19,17,5.5,4.9,113.4,7.3,6.15,16.5,73.8,QB,Colorado State
1367,Daniel Evans,19,2005,2008,30,370,681,311,54.3,4004,19,29,2.8,4.3,104.4,5.9,4.52,10.8,133.5,QB,North Carolina State
1368,Danny Holman,19,1966,1967,19,270,481,211,56.1,3328,19,29,4,6,115.2,6.9,5,12.3,175.2,QB,San Jose State
1369,Dave Mathieson,19,1961,1963,30,239,467,228,51.2,3094,19,25,4.1,5.4,109.5,6.6,5.03,12.9,103.1,QB,Washington State
1370,Dave Wilson,19,1980,1980,11,245,463,218,52.9,3154,19,15,4.1,3.2,117.2,6.8,6.17,12.9,286.7,QB,Illinois
1371,David Bowden,19,1972,1973,22,170,342,172,49.7,2192,19,20,5.6,5.8,110.2,6.4,4.89,12.9,99.6,QB,Florida
1372,Dee Dowis,19,1986,1989,47,163,377,214,43.2,2870,19,17,5,4.5,114.8,7.6,6.59,17.6,61.1,QB,Air Force
1373,Dennis Brown,19,1966,1968,30,195,390,195,50,2562,19,17,4.9,4.4,112.5,6.6,5.58,13.1,85.4,QB,Michigan
1374,Dick Soergel,19,1957,1959,30,163,319,156,51.1,2226,19,16,6,5,119.3,7,5.91,13.7,74.2,QB,Oklahoma State
1375,Don Gaffney,19,1973,1975,33,121,275,154,44,1985,19,11,6.9,4,119.4,7.2,6.8,16.4,60.2,QB,Florida
1376,Fernando Mendoza,19,2023,2024,13,236,366,130,64.5,2600,19,12,5.2,3.3,134.7,7.1,6.67,11,200,QB,California
1377,Geoff Bender,19,1991,1994,33,218,427,209,51.1,2713,19,17,4.4,4,111.1,6.4,5.45,12.4,82.2,QB,North Carolina State
1378,Grant Wilson,19,2023,2024,14,220,384,164,57.3,2538,19,11,4.9,2.9,123.4,6.6,6.31,11.5,181.3,QB,Old Dominion
1379,Greg Barton,19,1966,1967,15,189,322,133,58.7,2388,19,18,5.9,5.6,129.3,7.4,6.08,12.6,159.2,QB,Tulsa
1380,Jack Cummings,19,1957,1959,30,170,354,184,48,2668,19,24,5.4,6.8,115.5,7.5,5.56,15.7,88.9,QB,North Carolina
1381,Jake Gibbs,19,1958,1960,30,119,221,102,53.8,1850,19,8,8.6,3.6,145.3,8.4,8.46,15.5,61.7,QB,Ole Miss
1382,James Jackson,19,1984,1987,34,223,439,216,50.8,3416,19,17,4.3,3.9,122.7,7.8,6.9,15.3,100.5,QB,Georgia
1383,Jarren Williams,19,2018,2019,13,170,279,109,60.9,2204,19,7,6.8,2.5,144.7,7.9,8.13,13,169.5,QB,Miami (FL)
1384,Jason Palumbis,19,1988,1991,29,442,708,266,62.4,4954,19,20,2.7,2.8,124.4,7,6.26,11.2,170.8,QB,Stanford
1385,Jay Davis,19,2002,2005,27,301,522,221,57.7,3548,19,24,3.6,4.6,117.6,6.8,5.46,11.8,131.4,QB,North Carolina State
1386,Jerry Yost,19,1961,1963,30,139,297,158,46.8,1826,19,24,6.4,8.1,103.4,6.1,3.79,13.1,60.9,QB,West Virginia
