,,,,,,,,,,,Passing,,,,,,,,,,,,,,,
Rk,Player,TD,Draft Team,Round,Pick,Draft Year,Draft College,From,To,G,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Y/A,AY/A,Y/C,Y/G,Pos,Team
728,Charles Davenport,3,PIT,4,94,1992,North Carolina State,1987,1991,36,62,117,55,53,849,3,4,2.6,3.4,115.6,7.3,6.23,13.7,23.6,WR,North Carolina State
729,Chuck Muncie,3,NOR,1,3,1976,California,1973,1975,33,4,6,2,66.7,153,3,2,50,33.3,379.2,25.5,20.5,38.3,4.6,RB,California
730,David Dunn,3,CIN,5,139,1995,Fresno State,1993,1994,24,4,4,0,100,146,3,0,75,0,654.1,36.5,51.5,36.5,6.1,WR,Fresno State
731,Freddie Mitchell,3,PHI,1,25,2001,UCLA,1998,2000,33,4,5,1,80,128,3,0,60,0,493,25.6,37.6,32,3.9,WR,UCLA
732,Gary Hammond,3,NYJ,3,66,1972,SMU,1969,1971,32,84,179,95,46.9,997,3,10,1.7,5.6,88.1,5.6,3.39,11.9,31.2,WR,SMU
733,Hines Ward,3,PIT,3,92,1998,Georgia,1994,1997,42,72,120,48,60,918,3,3,2.5,2.5,127.5,7.7,7.03,12.8,21.9,RB,Georgia
734,Ingle Martin,3,GNB,5,148,2006,,2002,2003,16,54,87,33,62.1,750,3,2,3.4,2.3,141.3,8.6,8.28,13.9,46.9,QB,Florida
735,Jordan Reed,3,WAS,3,85,2013,Florida,2010,2012,36,26,47,21,55.3,252,3,1,6.4,2.1,117.2,5.4,5.68,9.7,7,TE,Florida
736,Lamont Warren,3,CLT,6,164,1994,Colorado,1991,1993,31,3,4,1,75,131,3,0,75,0,597.6,32.8,47.75,43.7,4.2,RB,Colorado
737,Larry Cipa,3,NOR,15,373,1974,Michigan,1971,1973,33,24,70,46,34.3,360,3,6,4.3,8.6,74.5,5.1,2.14,15,10.9,QB,Michigan
738,Larry Rentz,3,SDG,17,434,1969,Florida,1967,1968,20,135,245,110,55.1,1564,3,12,1.2,4.9,103,6.4,4.42,11.6,78.2,QB,Florida
739,Lynn Bowden Jr.,3,RAI,3,80,2020,Kentucky,2017,2019,39,38,79,41,48.1,495,3,5,3.8,6.3,100.6,6.3,4.18,13,12.7,WR,Kentucky
