,,,,,,,,,,,Rushing,,,,,,
1429,Nick Pietrosante,1025,DET,1,6,1959,Notre Dame,1956,1958,30,215,1025,4.8,6,34.2,RB,Notre Dame
1430,Ben Gregory,1024,BUF,5,114,1968,Nebraska,1965,1967,30,260,1024,3.9,9,34.1,RB,Nebraska
1431,Jim Welch,1024,OTI,,,1960,SMU,1957,1959,60,274,1024,3.7,8,17.1,RB,SMU
1432,Fred Brown,1022,BUF,6,41,1961,Georgia,1958,1960,30,199,1022,5.1,5,34.1,RB,Georgia
1433,Patrick Pass,1022,NWE,7,239,2000,Georgia,1996,1999,40,221,1022,4.6,5,25.6,RB,Georgia
1434,Allen Carter,1021,NWE,4,86,1975,USC,1972,1974,32,165,1021,6.2,7,31.9,RB,USC
1435,Joe Theismann,1021,MIA,4,99,1971,Notre Dame,1968,1970,30,299,1021,3.4,14,34,QB,Notre Dame
1436,Bruce Gradkowski,1018,TAM,6,194,2006,Toledo,2002,2005,49,248,1018,4.1,14,20.8,QB,Toledo
1437,Kevin Turner,1018,NWE,3,71,1992,Alabama,1988,1991,43,217,1018,4.7,6,23.7,RB,Alabama
1438,Bobby Douglass,1015,CHI,2,41,1969,Kansas,1966,1968,30,395,1015,2.6,19,33.8,QB,Kansas
1439,Jesse Taylor,1015,WAS,10,244,1971,Cincinnati,1968,1970,31,277,1015,3.7,16,32.7,RB,Cincinnati
1440,Raghib Ismail,1015,RAI,4,100,1991,Notre Dame,1988,1990,34,131,1015,7.7,5,29.9,WR,Notre Dame
1441,Derrick Ward,1013,NYJ,7,235,2004,,1999,2000,18,177,1013,5.7,10,56.3,RB,Fresno State
1442,Garrett Gilbert,1013,RAM,6,214,2014,SMU,2009,2013,47,295,1013,3.4,20,21.6,QB,"SMU,Texas"
1443,Mark Bailey,1012,KAN,4,92,1977,Long Beach State,1975,1976,22,229,1012,4.4,11,46,RB,Long Beach State
1444,Mickey Zofko,1012,DET,9,229,1971,Auburn,1968,1970,30,239,1012,4.2,8,33.7,RB,Auburn
1445,Terry Samuels,1012,CRD,6,172,1994,Kentucky,1990,1993,43,247,1012,4.1,5,23.5,RB,Kentucky
1446,Allen Rice,1011,MIN,5,140,1984,Baylor,1982,1983,22,238,1011,4.2,14,46,RB,Baylor
1447,Eddie Ray,1011,NWE,4,83,1970,LSU,1967,1969,30,227,1011,4.5,5,33.7,RB,LSU
1448,Bill Barnes,1010,PHI,2,19,1957,Wake Forest,1956,1956,10,168,1010,6,6,101,RB,Wake Forest
1449,Sam Howell,1009,WAS,5,144,2022,North Carolina,2019,2021,37,369,1009,2.7,17,27.3,QB,North Carolina
1450,Daunte Culpepper,1003,MIN,1,11,1999,UCF,1996,1998,33,371,1003,2.7,19,30.4,QB,UCF
1451,Owen Schmitt,1003,SEA,5,163,2008,West Virginia,2005,2007,38,160,1003,6.3,13,26.4,RB,West Virginia
1452,Joe Francis,1000,GNB,5,51,1958,Oregon State,1956,1957,20,234,1000,4.3,11,50,QB,Oregon State
1453,Johnny Roland,998,CRD,4,54,1965,Missouri,1962,1965,30,220,998,4.5,18,33.3,RB,Missouri
1454,Mike McClellan,996,NYJ,30,237,1962,Oklahoma,1959,1961,30,171,996,5.8,2,33.2,RB,Oklahoma
1455,Chuck Lamson,994,MIN,4,43,1961,Wyoming,1960,1961,19,191,994,5.2,8,52.3,QB,Wyoming
1456,Roger Gill,994,SDG,22,170,1963,Texas Tech,1961,1963,60,190,994,5.2,2,16.6,RB,Texas Tech
1457,DeShone Kizer,992,CLE,2,52,2017,Notre Dame,2015,2016,25,263,992,3.8,18,39.7,QB,Notre Dame
1458,Floyd Hudlow,992,BUF,10,80,1965,Arizona,1963,1964,40,212,992,4.7,10,24.8,RB,Arizona
1459,George Mira,992,DEN,18,137,1964,Miami (FL),1961,1963,60,384,992,2.6,16,16.5,QB,Miami (FL)
1460,Carlos King,988,PIT,4,123,1998,North Carolina State,1994,1997,38,205,988,4.8,11,26,RB,North Carolina State
1461,Larry Krutko,987,PIT,2,20,1958,West Virginia,1956,1957,20,224,987,4.4,9,49.4,RB,West Virginia
1462,Frank Pollard,986,PIT,11,305,1980,Baylor,1977,1979,33,220,986,4.5,4,29.9,RB,Baylor
1463,Jim Brown,986,CLE,1,6,1957,Syracuse,1956,1956,8,158,986,6.2,13,123.3,RB,Syracuse
1464,Bert Coan,976,RAI,14,105,1962,Kansas,1960,1960,20,146,976,6.7,16,48.8,RB,Kansas
1465,Harry Jones,974,PHI,1,19,1967,Arkansas,1965,1966,20,166,974,5.9,4,48.7,RB,Arkansas
1466,Tony Paige,973,NYJ,6,149,1984,Virginia Tech,1980,1983,44,209,973,4.7,2,22.1,RB,Virginia Tech
1467,Jeff Driskel,972,SFO,6,207,2016,Louisiana Tech,2011,2015,42,312,972,3.1,14,23.1,QB,"Florida,Louisiana Tech"
1468,Don Woods,971,GNB,6,134,1974,New Mexico,1973,1973,11,220,971,4.4,11,88.3,QB,New Mexico
1469,Jake Funk,968,RAM,7,233,2021,Maryland,2016,2020,36,135,968,7.2,10,26.9,RB,Maryland
1470,Ernie Kellermann,967,DAL,12,159,1965,Miami (OH),1962,1964,30,322,967,3,14,32.2,QB,Miami (OH)
1471,Caleb Williams,966,CHI,1,1,2024,USC,2021,2023,37,289,966,3.3,27,26.1,QB,"Oklahoma,USC"
1472,John Griffin,964,DEN,8,61,1963,Memphis,1960,1962,58,192,964,5,6,16.6,RB,Memphis
1473,Monroe Eley,963,ATL,5,128,1974,Arizona State,1970,1971,21,178,963,5.4,2,45.9,RB,Arizona State
1474,Fui Vakapuna,960,CIN,7,215,2009,BYU,2006,2008,34,219,960,4.4,13,28.2,RB,BYU
1475,David Williams,959,DAL,7,208,1976,Colorado,1973,1975,33,276,959,3.5,12,29.1,QB,Colorado
1476,Peyton Hillis,959,DEN,7,227,2008,Arkansas,2004,2007,44,203,959,4.7,12,21.8,RB,Arkansas
1477,Andrew Luck,957,CLT,1,1,2012,Stanford,2009,2011,38,163,957,5.9,7,25.2,QB,Stanford
1478,Gary Hogeboom,957,DAL,5,133,1980,Central Michigan,1976,1979,38,351,957,2.7,16,25.2,QB,Central Michigan
1479,Jarious Jackson,957,DEN,7,214,2000,Notre Dame,1996,1999,36,272,957,3.5,13,26.6,QB,Notre Dame
1480,Corey Jenkins,956,MIA,6,181,2003,South Carolina,2001,2002,22,218,956,4.4,6,43.5,QB,South Carolina
1481,Doug Mayberry,955,MIN,10,127,1961,Utah State,1959,1960,21,182,955,5.2,3,45.5,RB,Utah State
1482,Ralph Kurek,954,CHI,20,269,1965,Wisconsin,1962,1964,27,254,954,3.8,11,35.3,RB,Wisconsin
1483,Bob Davis,952,OTI,2,30,1967,Virginia,1964,1966,30,249,952,3.8,19,31.7,QB,Virginia
1484,Joe Auer,952,KAN,15,120,1963,Georgia Tech,1961,1963,60,264,952,3.6,2,15.9,RB,Georgia Tech
1485,Chad Kelly,949,DEN,7,253,2017,Ole Miss,2013,2016,27,204,949,4.7,16,35.1,QB,"Clemson,Ole Miss"
1486,Freddie Summers,949,CLE,4,98,1969,Wake Forest,1967,1968,20,338,949,2.8,17,47.5,QB,Wake Forest
1487,Tyrone Tracy Jr.,947,NYG,5,166,2024,Purdue,2018,2023,63,146,947,6.5,10,15,WR,"Iowa,Purdue"
1488,Trevor Lawrence,943,JAX,1,1,2021,Clemson,2018,2020,40,231,943,4.1,18,23.6,QB,Clemson
1489,Randall Morris,941,SEA,10,270,1984,Tennessee,1980,1983,44,219,941,4.3,7,21.4,RB,Tennessee
1490,Tony Pollard,941,DAL,4,128,2019,Memphis,2016,2018,40,139,941,6.8,9,23.5,WR,Memphis
1491,Bobby Franklin,940,SDG,,,1960,Ole Miss,1957,1959,60,270,940,3.5,22,15.7,QB,Ole Miss
1492,Malaefou Mackenzie,939,JAX,7,218,2003,USC,1997,2002,45,216,939,4.3,8,20.9,RB,USC
1493,Rudy Hayes,935,PIT,20,235,1959,Clemson,1956,1958,30,212,935,4.4,2,31.2,RB,Clemson
1494,Scott Greene,933,CAR,6,193,1996,Michigan State,1992,1995,42,189,933,4.9,18,22.2,RB,Michigan State
1495,Danny Brabham,932,OTI,1,6,1963,Arkansas,1962,1962,20,256,932,3.6,0,46.6,RB,Arkansas
1496,Bill Thomas,931,DAL,1,26,1972,Boston College,1969,1971,30,207,931,4.5,2,31,RB,Boston College
1497,Jeremi Johnson,931,CIN,4,118,2003,,1999,2001,33,184,931,5.1,11,28.2,RB,Indiana
1498,Joe Kapp,931,WAS,18,209,1959,California,1956,1958,30,274,931,3.4,5,31,QB,California
1499,Blanche Martin,928,NYJ,,,1960,Michigan State,1956,1959,27,192,928,4.8,9,34.4,RB,Michigan State
1500,Luke McCaffrey,927,WAS,3,100,2024,Rice,2019,2023,44,157,927,5.9,7,21.1,QB,"Nebraska,Rice"
1501,Ray Williams,927,DET,12,307,1980,Washington State,1976,1979,44,181,927,5.1,8,21.1,RB,Washington State
1502,Frank Cephous,925,NYG,11,283,1984,UCLA,1981,1983,33,227,925,4.1,12,28,RB,UCLA
1503,Chris Brewer,924,DEN,9,245,1984,Arizona,1980,1983,44,179,924,5.2,8,21,RB,Arizona
1504,David Baker,924,SFO,1,5,1959,Oklahoma,1956,1958,30,270,924,3.4,13,30.8,RB,Oklahoma
1505,Kent Lawrence,922,PHI,9,211,1969,Georgia,1966,1968,30,227,922,4.1,8,30.7,RB,Georgia
1506,Bill Olds,921,CLT,3,61,1973,Nebraska,1970,1972,34,148,921,6.2,3,27.1,RB,Nebraska
1507,Gil Chapman,919,BUF,7,166,1975,Michigan,1972,1974,33,178,919,5.2,10,27.8,WR,Michigan
1508,Isaac Curtis,918,CIN,1,15,1973,San Diego State,1970,1972,33,221,918,4.2,8,27.8,RB,"California,San Diego State"
1509,Kim Jones,916,CLT,7,157,1975,Colorado State,1973,1974,22,199,916,4.6,11,41.6,RB,Colorado State
1510,Dave Smith,912,GNB,13,328,1970,Utah,1968,1969,20,205,912,4.4,10,45.6,RB,Utah
1511,Seneca Wallace,912,SEA,4,110,2003,Iowa State,2001,2002,25,237,912,3.8,15,36.5,QB,Iowa State
1512,Charles Clay,911,MIA,6,174,2011,Tulsa,2007,2010,52,179,911,5.1,10,17.5,RB,Tulsa
1513,Chris McLemore,908,RAI,11,288,1987,Arizona,1982,1986,38,212,908,4.3,11,23.9,RB,"Arizona,Colorado"
1514,Bob Grim,907,MIN,2,28,1967,Oregon State,1964,1966,30,166,907,5.5,2,30.2,WR,Oregon State
1515,Drew Brees,906,SDG,2,32,2001,Purdue,1997,2000,41,229,906,4,14,22.1,QB,Purdue
1516,Leon Neal,906,BUF,6,196,1996,Washington,1992,1995,38,180,906,5,5,23.8,WR,Washington
1517,Jacoby Brissett,902,NWE,3,91,2016,North Carolina State,2011,2015,39,283,902,3.2,12,23.1,QB,"Florida,North Carolina State"
1518,Marques Hagans,902,RAM,5,144,2006,Virginia,2002,2005,51,239,902,3.8,11,17.7,QB,Virginia
1519,Carl Smith,900,DET,9,101,1959,Tennessee,1956,1958,30,226,900,4,10,30,RB,Tennessee
1520,Deandra Cobb,900,ATL,6,201,2005,Michigan State,2003,2004,24,134,900,6.7,4,37.5,RB,Michigan State
1521,Roger Hagberg,899,GNB,10,128,1961,Minnesota,1958,1960,27,213,899,4.2,6,33.3,RB,Minnesota
1522,Raphel Cherry,898,WAS,5,122,1985,Hawaii,1981,1984,39,393,898,2.3,15,23,QB,Hawaii
1523,Derrick Harmon,893,SFO,9,248,1984,,1981,1981,9,173,893,5.2,5,99.2,RB,Cornell
1524,Chris Henry,892,OTI,2,50,2007,Arizona,2003,2006,35,269,892,3.3,9,25.5,RB,Arizona
1525,Jerrel Jernigan,892,NYG,3,83,2011,Troy,2007,2010,50,132,892,6.8,5,17.8,WR,Troy
1526,Cleveland Gary,890,RAM,1,26,1989,Miami (FL),1984,1988,39,228,890,3.9,14,22.8,RB,"Georgia,Miami (FL)"
1527,Randy Minniear,890,NYG,20,301,1966,Purdue,1963,1965,28,251,890,3.5,9,31.8,RB,Purdue
1528,Mike Kafka,887,PHI,4,122,2010,Northwestern,2006,2009,30,268,887,3.3,11,29.6,QB,Northwestern
1529,Tommy Stevens,887,NOR,7,240,2020,Mississippi State,2016,2019,32,159,887,5.6,12,27.7,QB,"Mississippi State,Penn State"
1530,Jimmy Raye,885,RAM,16,431,1968,Michigan State,1965,1967,30,240,885,3.7,9,29.5,QB,Michigan State
1531,Danny Bradley,884,RAM,7,189,1985,Oklahoma,1981,1984,45,306,884,2.9,15,19.6,QB,Oklahoma
1532,Pete Johnson,883,CHI,3,32,1959,Virginia Military Institute,1956,1958,30,182,883,4.9,8,29.4,RB,Virginia Military Institute
1533,Darryl Oliver,882,SEA,11,297,1987,Miami (FL),1983,1986,45,214,882,4.1,5,19.6,RB,Miami (FL)
1534,Cole McDonald,880,OTI,7,224,2020,Hawaii,2017,2019,33,251,880,3.5,12,26.7,QB,Hawaii
1535,Michael Cox,879,NYG,7,253,2013,Massachusetts,2009,2012,27,217,879,4.1,7,32.6,RB,"Massachusetts,Michigan"
1536,Mack Herron,877,ATL,6,143,1970,Kansas State,1968,1969,20,198,877,4.4,23,43.9,RB,Kansas State
1537,Donnie Stone,872,CHI,21,249,1959,Arkansas,1956,1958,30,203,872,4.3,0,29.1,RB,Arkansas
1538,Al Gursky,870,NWE,27,214,1962,Penn State,1960,1962,58,264,870,3.3,6,15,RB,Penn State
1539,Brandon Williams,870,CRD,3,92,2016,Texas A&M,2011,2015,43,178,870,4.9,4,20.2,RB,"Oklahoma,Texas A&M"
1540,Greg Bell,870,BUF,1,26,1984,Notre Dame,1980,1983,23,158,870,5.5,10,37.8,RB,Notre Dame
1541,Bill Bradley,864,PHI,3,69,1969,Texas,1966,1968,29,320,864,2.7,16,29.8,QB,Texas
1542,Jeff Sydner,864,PHI,6,160,1992,Hawaii,1989,1991,36,117,864,7.4,7,24,RB,Hawaii
1543,Moran Norris,864,NOR,4,115,2001,Kansas,1998,2000,29,199,864,4.3,10,29.8,RB,Kansas
1544,Les Kelley,859,NOR,1,26,1967,Alabama,1964,1966,30,234,859,3.7,8,28.6,RB,Alabama
1545,Charles Milstead,858,SDG,,,1960,Texas A&M,1957,1959,60,572,858,1.5,6,14.3,QB,Texas A&M
1546,Marty Domres,853,SDG,1,9,1969,Columbia,1966,1968,27,431,853,2,15,31.6,QB,Columbia
1547,Tommy McDonald,853,PHI,3,31,1957,Oklahoma,1956,1956,10,119,853,7.2,12,85.3,RB,Oklahoma
1548,Jim Jones,852,RAM,3,30,1958,Washington,1956,1957,20,179,852,4.8,2,42.6,RB,Washington
1549,Justin Griffith,852,ATL,4,121,2003,Mississippi State,1998,2002,38,213,852,4,10,22.4,RB,Mississippi State
1550,Lam Jones,850,NYJ,1,2,1980,Texas,1976,1979,43,156,850,5.4,6,19.8,RB,Texas
1551,Lou Guy,848,NYJ,7,51,1963,Ole Miss,1960,1962,58,180,848,4.7,8,14.6,RB,Ole Miss
1552,J.W. Brodnax,845,PIT,15,175,1959,LSU,1956,1958,30,239,845,3.5,6,28.2,RB,LSU
1553,Doug Cunningham,840,SFO,6,145,1967,Ole Miss,1964,1966,30,178,840,4.7,8,28,RB,Ole Miss
1554,Ken Stabler,838,RAI,2,52,1968,Alabama,1965,1967,30,265,838,3.2,9,27.9,QB,Alabama
1555,Andy Reid,837,SEA,13,349,1976,Georgia,1973,1975,33,160,837,5.2,5,25.4,RB,Georgia
1556,Jeff Cothran,836,CIN,3,66,1994,Ohio State,1991,1993,33,176,836,4.8,6,25.3,RB,Ohio State
1557,Sam Gash,835,NWE,8,205,1992,Penn State,1987,1991,45,225,835,3.7,16,18.6,RB,Penn State
1558,Christian Ponder,833,MIN,1,12,2011,Florida State,2007,2010,35,296,833,2.8,10,23.8,QB,Florida State
1559,Jon Staggers,833,PIT,5,105,1970,Missouri,1967,1969,30,216,833,3.9,8,27.8,RB,Missouri
1560,Willmer Fowler,833,PHI,8,86,1959,Northwestern,1956,1958,27,200,833,4.2,0,30.9,RB,Northwestern
1561,Clayton Heath,832,MIA,13,338,1974,Wake Forest,1972,1973,22,246,832,3.4,4,37.8,RB,Wake Forest
1562,Gene Lang,832,DEN,11,298,1984,LSU,1980,1983,34,192,832,4.3,4,24.5,RB,LSU
1563,Woody Campbell,831,OTI,10,242,1967,Northwestern,1964,1966,29,232,831,3.6,4,28.7,RB,Northwestern
1564,Carlos Bell,830,NOR,4,82,1971,Houston,1967,1968,20,121,830,6.9,7,41.5,RB,Houston
1565,Najeh Davenport,830,GNB,4,135,2002,Miami (FL),1998,2001,33,156,830,5.3,13,25.2,RB,Miami (FL)
1566,David Woodley,829,MIA,8,214,1980,LSU,1977,1979,33,225,829,3.7,15,25.1,QB,LSU
1567,Kenneth Moore,829,DET,5,136,2008,Wake Forest,2004,2007,39,151,829,5.5,5,21.3,WR,Wake Forest
1568,E.J. Manuel,827,BUF,1,16,2013,Florida State,2009,2012,43,298,827,2.8,11,19.2,QB,Florida State
1569,Connor Heyward,825,PIT,6,208,2022,Michigan State,2017,2021,49,211,825,3.9,5,16.8,RB,Michigan State
1570,Mike Montgomery,825,SDG,3,65,1971,Kansas State,1968,1970,31,215,825,3.8,4,26.6,WR,Kansas State
1571,Archie Manning,823,NOR,1,2,1971,Ole Miss,1968,1970,28,314,823,2.6,25,29.4,QB,Ole Miss
1572,Dino Philyaw,822,NWE,6,195,1995,Oregon,1993,1994,20,210,822,3.9,9,41.1,RB,Oregon
1573,Rod Sherman,822,CLT,4,54,1966,USC,1964,1966,30,162,822,5.1,8,27.4,WR,USC
1574,Craig Taylor,820,CIN,6,166,1989,West Virginia,1985,1988,29,168,820,4.9,16,28.3,RB,West Virginia
1575,Joe Burrow,820,CIN,1,1,2020,LSU,2016,2019,39,258,820,3.2,13,21,QB,"LSU,Ohio State"
1576,Patrick Mahomes,820,KAN,1,10,2017,Texas Tech,2014,2016,32,308,820,2.7,22,25.6,QB,Texas Tech
1577,Leonard Thompson,819,DET,8,194,1975,Oklahoma State,1973,1974,22,158,819,5.2,9,37.2,RB,Oklahoma State
1578,Brad Dusek,816,NWE,3,56,1973,Texas A&M,1970,1972,22,207,816,3.9,5,37.1,RB,Texas A&M
1579,George Wonsley,815,CLT,4,103,1984,Mississippi State,1980,1983,44,179,815,4.6,7,18.5,RB,Mississippi State
1580,Mark Manges,815,RAM,4,105,1978,Maryland,1974,1977,44,234,815,3.5,5,18.5,QB,Maryland
1581,Roland Jackson,815,OTI,21,167,1962,Rice,1959,1961,30,218,815,3.7,8,27.2,RB,Rice
1582,Ed Sharockman,814,KAN,22,174,1961,Pitt,1958,1960,40,152,814,5.4,2,20.4,QB,Pitt
1583,Eric Blount,814,CRD,8,202,1992,North Carolina,1988,1991,44,184,814,4.4,5,18.5,WR,North Carolina
1584,Jerry Rhome,814,NYJ,25,195,1964,Tulsa,1961,1964,60,626,814,1.3,20,13.6,QB,"SMU,Tulsa"
1585,Joe Carter,812,MIA,4,109,1984,Alabama,1980,1983,43,169,812,4.8,9,18.9,RB,Alabama
1586,Alex Johnson,811,OTI,12,325,1991,Miami (FL),1987,1990,44,170,811,4.8,8,18.4,RB,Miami (FL)
1587,Jim Stiger,811,DAL,19,258,1963,Washington,1961,1962,20,178,811,4.6,2,40.6,RB,Washington
1588,Leonard Russell,810,NWE,1,14,1991,Arizona State,1990,1990,11,174,810,4.7,9,73.6,RB,Arizona State
1589,Kenny Pickett,809,PIT,1,20,2022,Pitt,2017,2021,52,416,809,1.9,20,15.6,QB,Pitt
1590,Carl Silvestri,807,CRD,16,222,1965,Wisconsin,1962,1964,27,156,807,5.2,3,29.9,RB,Wisconsin
1591,Jermaine Fazande,807,SDG,2,60,1999,Oklahoma,1995,1998,43,187,807,4.3,8,18.8,RB,Oklahoma
1592,Jim Shofner,806,CLE,1,13,1958,Texas Christian,1956,1957,20,171,806,4.7,6,40.3,RB,Texas Christian
1593,Charlie Jackson,805,CRD,13,146,1958,SMU,1956,1957,20,139,805,5.8,5,40.3,RB,SMU
1594,Greg Little,805,CLE,2,59,2011,North Carolina,2007,2009,37,166,805,4.8,6,21.8,WR,North Carolina
1595,Jim Culbreath,805,GNB,10,260,1977,Oklahoma,1975,1976,22,135,805,6,2,36.6,RB,Oklahoma
1596,Tom Brown,802,MIA,7,182,1987,Pitt,1983,1986,44,177,802,4.5,3,18.2,RB,Pitt
1597,Pat Fischer,801,CRD,17,232,1961,Nebraska,1958,1960,30,229,801,3.5,0,26.7,RB,Nebraska
1598,Jaren Hall,800,MIN,5,164,2023,BYU,2018,2022,31,181,800,4.4,9,25.8,QB,BYU
1599,Steve Thurlow,800,NYG,2,25,1964,Stanford,1961,1963,30,210,800,3.8,5,26.7,QB,Stanford
1600,Frank Murphy,798,CHI,6,170,2000,Kansas State,1998,1999,19,152,798,5.3,11,42,RB,Kansas State
