,,,,,,Receiving,,,,,,
Rk,Player,Yds,From,To,G,Rec,Yds,Y/R,TD,Y/G,Pos,Team
3892,David Harvey,914,2006,2006,12,43,914,21.3,10,76.2,WR,Akron
3893,Elton Garrett,914,1975,1978,44,63,914,14.5,8,20.8,TE,SMU
3894,Ikey Chuku,914,2000,2004,31,65,914,14.1,5,29.5,WR,Temple
3895,Nate Lundy,914,1978,1980,33,37,914,24.7,5,27.7,WR,Indiana
3896,Rich Maher,914,1969,1971,27,65,914,14.1,4,33.9,WR,Yale
3897,Seth Morales,914,2000,2002,35,67,914,13.6,6,26.1,WR,Purdue
3898,Tom Fleming,914,1973,1975,27,45,914,20.3,10,33.9,WR,Dartmouth
3899,Ashlan Davis,913,2004,2005,23,65,913,14,6,39.7,WR,Tulsa
3900,Cole Clasen,913,2001,2005,49,72,913,12.7,3,18.6,WR,"Boise State,Oregon State"
3901,Eddie Muldrow,913,1972,1974,33,46,913,19.8,3,27.7,WR,South Carolina
3902,Ky'Jon Tyler,913,2017,2019,31,72,913,12.7,5,29.5,WR,Coastal Carolina
3903,Ottowa Anderson,913,2001,2005,49,72,913,12.7,5,18.6,WR,Virginia
3904,R.J. Corbin,913,2003,2006,48,87,913,10.5,4,19,WR,Miami (OH)
3905,Bobby Lewis,912,1980,1981,22,60,912,15.2,10,41.5,WR,Louisiana-Monroe
3906,Darrell Davis,912,2007,2010,49,69,912,13.2,6,18.6,WR,North Carolina State
3907,Scott Helverson,912,1983,1985,34,71,912,12.8,10,26.8,WR,Iowa
3908,Bob Wilson,911,1964,1966,29,71,911,12.8,6,31.4,WR,Wichita State
3909,Joshua Perkins,911,2012,2015,39,66,911,13.8,9,23.4,TE,Washington
3910,Kameron Brown,911,2020,2021,25,56,911,16.3,8,36.4,WR,Coastal Carolina
3911,Anthony Simpson,910,2021,2024,32,68,910,13.4,3,28.4,WR,"Arizona,Massachusetts"
3912,Brian Hightower,910,2018,2023,53,70,910,13,6,17.2,WR,"California,Illinois,Miami (FL)"
3913,Greg Daly,910,1975,1976,22,51,910,17.8,10,41.4,WR,Utah State
3914,Javontee Herndon,910,2010,2013,49,62,910,14.7,7,18.6,WR,Arkansas
3915,Mike Bastianelli,910,1996,1998,35,65,910,14,4,26,WR,USC
3916,Nolan Franz,910,1979,1981,33,56,910,16.3,5,27.6,WR,Tulane
3917,Broderick Clark,909,2002,2005,37,67,909,13.6,4,24.6,WR,Louisville
3918,D'Ernest Johnson,909,2014,2017,50,73,909,12.5,12,18.2,RB,South Florida
3919,J.D. Woods,909,2010,2012,35,86,909,10.6,5,26,WR,West Virginia
3920,Jonathan Ward,909,2016,2019,42,98,909,9.3,4,21.6,RB,Central Michigan
3921,Mitchell Brinkman,909,2016,2021,58,74,909,12.3,7,15.7,TE,"Northern Illinois,South Florida"
3922,Mycah Pittman,909,2019,2024,41,74,909,12.3,5,22.2,WR,"Florida State,Oregon,Utah"
3923,Aron Cruickshank,908,2018,2022,55,103,908,8.8,5,16.5,WR,"Rutgers,Wisconsin"
3924,Corey Allen,908,1995,1997,28,63,908,14.4,5,32.4,WR,Georgia
3925,Mike Pistorius,908,1971,1973,33,62,908,14.6,5,27.5,TE,BYU
3926,Nate Fergerson,908,1973,1974,22,50,908,18.2,5,41.3,WR,San Diego State
3927,Steve Rhodes,908,1976,1980,55,40,908,22.7,3,16.5,WR,Oklahoma
3928,Wayne Porter,908,1968,1970,31,67,908,13.6,4,29.3,WR,West Virginia
3929,Aaron Grubb,907,2012,2015,44,94,907,9.6,5,20.6,WR,UTSA
3930,Darrick Duke,907,1989,1992,34,58,907,15.6,5,26.7,WR,Texas
3931,Garrett Andrews,907,2009,2010,26,69,907,13.1,6,34.9,WR,Middle Tennessee State
3932,Jamie Armstrong,907,1998,2001,41,71,907,12.8,5,22.1,WR,Ole Miss
3933,Kurt Latell,907,1987,1989,24,61,907,14.9,3,37.8,TE,Akron
3934,Pierre Perkins,907,1982,1985,40,51,907,17.8,5,22.7,WR,Louisiana
3935,Richard Hill,907,1990,1991,22,53,907,17.1,3,41.2,WR,Ohio
