,,,,,,,,,,,Rushing,,,,,,
Rk,Player,Yds,Draft Team,Round,Pick,Draft Year,Draft College,From,To,G,Att,Yds,Y/A,TD,Y/G,Pos,Team
1932,C.J. Beathard,429,SFO,3,104,2017,Iowa,2013,2016,41,224,429,1.9,10,10.5,QB,Iowa
1933,Bob Griese,427,MIA,1,4,1967,Purdue,1964,1966,29,264,427,1.6,14,14.7,QB,Purdue
1934,Dustin Johnson,427,NYJ,6,183,1998,BYU,1995,1997,35,68,427,6.3,1,12.2,RB,BYU
1935,Earl Denny,426,MIN,3,61,1967,Missouri,1964,1966,30,131,426,3.3,1,14.2,RB,Missouri
1936,Earl Carr,425,CRD,5,124,1978,Florida,1975,1977,33,83,425,5.1,6,12.9,RB,Florida
1937,Kendall Wright,425,OTI,1,20,2012,Baylor,2008,2011,50,75,425,5.7,2,8.5,TE,Baylor
1938,Cody Carlson,424,OTI,3,64,1987,Baylor,1983,1986,44,195,424,2.2,4,9.6,QB,Baylor
1939,Gus Otto,424,RAI,4,27,1965,Missouri,1962,1964,30,127,424,3.3,4,14.1,RB,Missouri
1940,Bake Turner,421,CLT,12,163,1962,Texas Tech,1959,1961,30,102,421,4.1,3,14,RB,Texas Tech
1941,Deon Anderson,420,DAL,6,195,2007,Connecticut,2002,2006,47,114,420,3.7,1,8.9,LB,Connecticut
1942,Morris Bradshaw,420,RAI,4,93,1974,Ohio State,1971,1973,30,82,420,5.1,4,14,RB,Ohio State
1943,Paul Hornung,420,GNB,1,1,1957,Notre Dame,1956,1956,10,94,420,4.5,6,42,QB,Notre Dame
1944,Bob Shann,419,PHI,20,272,1965,Boston College,1962,1964,28,103,419,4.1,7,15,RB,Boston College
1945,Brian St. Pierre,419,PIT,5,163,2003,Boston College,1999,2002,44,172,419,2.4,2,9.5,QB,Boston College
1946,Johnny Counts,416,NYJ,24,189,1962,Illinois,1959,1959,9,80,416,5.2,0,46.2,RB,Illinois
1947,Bo Burris,415,NOR,2,27,1967,Houston,1964,1966,29,208,415,2,6,14.3,QB,Houston
1948,Bobby Batton,415,NYJ,7,178,1980,Nevada-Las Vegas,1978,1979,23,96,415,4.3,4,18,RB,Nevada-Las Vegas
1949,Kerry Meier,415,ATL,5,165,2010,Kansas,2006,2009,46,118,415,3.5,6,9,QB,Kansas
1950,Khalil Shakir,414,BUF,5,148,2022,Boise State,2018,2021,43,71,414,5.8,4,9.6,WR,Boise State
1951,Chris Warren,413,SEA,4,89,1990,,1985,1986,22,81,413,5.1,1,18.8,DB,Virginia
1952,Joe Stewart,413,RAI,4,108,1978,Missouri,1974,1977,44,86,413,4.8,3,9.4,RB,Missouri
1953,Bruce Elia,411,MIA,4,100,1975,Ohio State,1972,1973,20,100,411,4.1,13,20.6,LB,Ohio State
1954,Mark Miller,410,CLE,3,68,1978,Bowling Green,1974,1977,45,335,410,1.2,17,9.1,QB,Bowling Green
