,,,,,,,,,,,Receiving,,,,,,
Rk,Player,Yds,Draft Team,Round,Pick,Draft Year,Draft College,From,To,G,Rec,Yds,Y/R,TD,Y/G,Pos,Team
1910,Chigoziem Okonkwo,717,OTI,4,143,2022,Maryland,2018,2021,38,77,717,9.3,8,18.9,TE,Maryland
1911,Fred Taylor,717,JAX,1,9,1998,Florida,1994,1997,38,67,717,10.7,0,18.9,RB,Florida
1912,Jan White,717,BUF,2,29,1971,Ohio State,1968,1970,27,56,717,12.8,8,26.6,WR,Ohio State
1913,Aaron Walker,716,SFO,5,161,2003,Florida,1999,2002,46,56,716,12.8,9,15.6,TE,Florida
1914,Alize Mack,716,NOR,7,231,2019,Notre Dame,2015,2018,35,68,716,10.5,4,20.5,TE,Notre Dame
1915,Doug Martin,715,TAM,1,31,2012,Boise State,2007,2011,52,67,715,10.7,4,13.8,RB,Boise State
1916,Johnny Holloway,715,DAL,7,185,1986,Kansas,1982,1985,24,53,715,13.5,4,29.8,WR,"Kansas,Northwestern"
1917,Mike Friede,715,DET,3,62,1980,Indiana,1978,1979,22,34,715,21,4,32.5,WR,Indiana
1918,Spencer Nead,715,NWE,7,234,2003,BYU,2001,2002,25,62,715,11.5,6,28.6,TE,BYU
1919,Anthony Thompson,713,CRD,2,31,1990,Indiana,1986,1989,44,94,713,7.6,1,16.2,RB,Indiana
1920,Chad Johnson,713,CIN,2,36,2001,Oregon State,2000,2000,11,33,713,21.6,6,64.8,WR,Oregon State
1921,Stephen Sullivan,712,SEA,7,251,2020,LSU,2016,2019,49,46,712,15.5,3,14.5,,LSU
1922,Connor Heyward,711,PIT,6,208,2022,Michigan State,2017,2021,49,96,711,7.4,6,14.5,RB,Michigan State
1923,Devin Culp,711,TAM,7,246,2024,Washington,2019,2023,54,66,711,10.8,4,13.2,,Washington
1924,Don Warren,711,WAS,4,103,1979,San Diego State,1977,1978,22,56,711,12.7,6,32.3,TE,San Diego State
1925,Lawrence Williams,711,NWE,7,172,1975,Texas Tech,1972,1974,33,50,711,14.2,10,21.5,WR,Texas Tech
1926,Weegie Thompson,711,PIT,4,108,1984,Florida State,1981,1983,33,41,711,17.3,5,21.5,WR,Florida State
1927,Clyde Duncan,710,CRD,1,17,1984,Tennessee,1979,1983,44,39,710,18.2,6,16.1,WR,Tennessee
1928,Javorius Allen,710,RAV,4,125,2015,USC,2012,2014,29,63,710,11.3,2,24.5,RB,USC
1929,Billy Bajema,709,SFO,7,249,2005,Oklahoma State,2001,2004,46,52,709,13.6,4,15.4,TE,Oklahoma State
1930,Paul Palmer,709,KAN,1,19,1987,Temple,1983,1986,44,87,709,8.1,4,16.1,RB,Temple
1931,Dorin Dickerson,708,HTX,7,227,2010,Pitt,2006,2009,45,63,708,11.2,12,15.7,WR,Pitt
1932,Nick Eddy,708,DET,2,24,1966,Notre Dame,1964,1966,28,44,708,16.1,4,25.3,RB,Notre Dame
1933,Warren Williams,708,PIT,6,155,1988,Miami (FL),1984,1987,45,70,708,10.1,4,15.7,RB,Miami (FL)
1934,Dion Sims,707,MIA,4,106,2013,Michigan State,2009,2012,39,59,707,12,8,18.1,TE,Michigan State
1935,Robert Royal,707,WAS,5,160,2002,LSU,1999,2001,33,59,707,12,7,21.4,RB,LSU
1936,Mike McCloskey,706,OTI,4,88,1983,Penn State,1979,1982,44,47,706,15,4,16,TE,Penn State
1937,Stu Voigt,704,MIN,10,260,1970,Wisconsin,1967,1969,30,63,704,11.2,3,23.5,RB,Wisconsin
1938,Jamie Morris,703,WAS,4,109,1988,Michigan,1984,1987,45,91,703,7.7,3,15.6,RB,Michigan
1939,Larry Todd,702,SFO,4,44,1965,Arizona State,1962,1964,20,43,702,16.3,6,35.1,RB,Arizona State
1940,David Ausberry,700,RAI,7,241,2011,USC,2007,2010,46,64,700,10.9,7,15.2,WR,USC
1941,Kimani Vidal,700,SDG,6,181,2024,Troy,2020,2023,48,92,700,7.6,1,14.6,RB,Troy
1942,Lee Rouson,699,NYG,8,213,1985,Colorado,1981,1984,41,86,699,8.1,4,17,RB,Colorado
1943,Ahmad Bradshaw,697,NYG,7,250,2007,Marshall,2004,2006,33,87,697,8,5,21.1,RB,Marshall
1944,Justin Swift,697,DEN,7,238,1999,Kansas State,1995,1998,33,42,697,16.6,6,21.1,TE,Kansas State
1945,Al Chandler,696,CIN,2,43,1973,Oklahoma,1970,1972,33,31,696,22.5,8,21.1,WR,Oklahoma
1946,Jay Riemersma,696,BUF,7,244,1996,Michigan,1992,1995,44,73,696,9.5,3,15.8,QB,Michigan
1947,Shane Garrett,696,CIN,9,241,1991,Texas A&M,1988,1990,35,35,696,19.9,5,19.9,WR,Texas A&M
1948,Michael Jackson,695,CLE,6,141,1991,Southern Mississippi,1987,1990,44,48,695,14.5,7,15.8,QB,Southern Mississippi
1949,Mike Jones,695,MIN,3,54,1990,Texas A&M,1988,1989,23,50,695,13.9,4,30.2,TE,Texas A&M
1950,Marvin Allen,694,NWE,11,294,1988,Tulane,1986,1987,22,53,694,13.1,2,31.5,RB,Tulane
1951,Ronnie Lee,694,MIA,3,65,1979,Baylor,1975,1978,44,53,694,13.1,5,15.8,TE,Baylor
1952,Johnny McWilliams,693,CRD,3,64,1996,USC,1993,1995,34,59,693,11.7,12,20.4,TE,USC
1953,Connor Barwin,692,HTX,2,46,2009,Cincinnati,2005,2008,50,53,692,13.1,6,13.8,TE,Cincinnati
1954,Jabari Holloway,692,NWE,4,119,2001,Notre Dame,1997,2000,43,41,692,16.9,6,16.1,TE,Notre Dame
1955,Kent McCloughan,692,OTI,11,82,1965,Nebraska,1962,1964,60,42,692,16.5,8,11.5,RB,Nebraska
1956,Ladell Betts,692,WAS,2,56,2002,Iowa,1998,2001,45,71,692,9.7,2,15.4,RB,Iowa
1957,Troy Drayton,692,RAM,2,39,1993,Penn State,1991,1992,23,48,692,14.4,3,30.1,TE,Penn State
1958,Cole Kmet,691,CHI,2,43,2020,Notre Dame,2017,2019,35,60,691,11.5,6,19.7,TE,Notre Dame
1959,George Wrighster,691,JAX,4,104,2003,Oregon,2001,2002,24,52,691,13.3,7,28.8,TE,Oregon
1960,Ameer Abdullah,690,DET,2,54,2015,Nebraska,2011,2014,53,73,690,9.5,7,13,RB,Nebraska
1961,Bruce Hill,689,TAM,4,106,1987,Arizona State,1983,1986,29,40,689,17.2,5,23.8,DB,Arizona State
1962,Rick Badanjek,689,WAS,7,186,1986,Maryland,1982,1985,44,69,689,10,2,15.7,RB,Maryland
1963,Rickey Brady,688,RAM,6,167,1994,Oklahoma,1991,1993,33,47,688,14.6,4,20.8,TE,Oklahoma
1964,Jim Yarbrough,685,DET,2,47,1969,Florida,1966,1968,30,51,685,13.4,5,22.8,TE,Florida
1965,John Andrews,685,CLT,5,130,1971,Indiana,1969,1970,20,65,685,10.5,3,34.3,TE,Indiana
1966,Mark Bradley,685,CHI,2,39,2005,Oklahoma,2003,2004,25,34,685,20.1,9,27.4,DB,Oklahoma
1967,Rod Jones,685,NYG,8,223,1987,Washington,1984,1986,33,75,685,9.1,5,20.8,TE,Washington
1968,Speedy Neal,685,BUF,3,82,1984,Miami (FL),1980,1983,44,72,685,9.5,3,15.6,RB,Miami (FL)
1969,Zack Moss,685,BUF,3,86,2020,Utah,2016,2019,45,66,685,10.4,3,15.2,RB,Utah
1970,Kalen Ballage,684,MIA,4,131,2018,Arizona State,2014,2017,47,82,684,8.3,2,14.6,RB,Arizona State
1971,Alvin Kamara,683,NOR,3,67,2017,Tennessee,2015,2016,24,74,683,9.2,7,28.5,RB,Tennessee
1972,Lance Rentzel,682,BUF,6,48,1965,Oklahoma,1962,1964,60,40,682,17.1,6,11.4,RB,Oklahoma
1973,Preston Riley,682,SFO,9,217,1970,Memphis,1968,1969,20,29,682,23.5,4,34.1,WR,Memphis
1974,Larry Johnson,681,KAN,1,27,2003,Penn State,1999,2002,48,65,681,10.5,7,14.2,RB,Penn State
1975,Ty Chandler,681,MIN,5,169,2022,North Carolina,2017,2021,59,73,681,9.3,4,11.5,RB,"North Carolina,Tennessee"
1976,Melvin Hoover,680,NYG,6,145,1981,Arizona State,1977,1980,43,38,680,17.9,4,15.8,KR,Arizona State
1977,Steven Jackson,680,RAM,1,24,2004,Oregon State,2001,2003,37,66,680,10.3,6,18.4,RB,Oregon State
1978,Ka'Deem Carey,679,CHI,4,117,2014,Arizona,2011,2013,36,77,679,8.8,4,18.9,RB,Arizona
1979,Phil Francis,679,SFO,7,166,1979,Stanford,1976,1978,33,88,679,7.7,1,20.6,RB,Stanford
1980,Jim Welch,678,OTI,,,1960,SMU,1957,1959,60,44,678,15.4,2,11.3,RB,SMU
1981,Lin Dawson,678,NWE,8,212,1981,North Carolina State,1977,1980,42,44,678,15.4,4,16.1,TE,North Carolina State
1982,Trey Millard,677,SFO,7,245,2014,Oklahoma,2010,2013,48,70,677,9.7,7,14.1,RB,Oklahoma
1983,Malaefou Mackenzie,676,JAX,7,218,2003,USC,1997,2002,45,76,676,8.9,7,15,RB,USC
1984,Richard Bell,676,PIT,12,319,1990,Nebraska,1987,1989,34,33,676,20.5,6,19.9,RB,Nebraska
1985,Stefon Adams,676,RAI,3,80,1985,East Carolina,1981,1984,37,47,676,14.4,0,18.3,RB,East Carolina
1986,Kyren Williams,675,RAM,5,164,2022,Notre Dame,2019,2021,28,78,675,8.7,4,24.1,RB,Notre Dame
1987,J.R. Redmond,674,NWE,3,76,2000,Arizona State,1996,1999,41,58,674,11.6,4,16.4,RB,Arizona State
1988,Lamical Perine,674,NYJ,4,120,2020,Florida,2016,2019,50,72,674,9.4,8,13.5,RB,Florida
1989,Marcus Robinson,674,CHI,4,108,1997,South Carolina,1993,1996,37,37,674,18.2,2,18.2,WR,South Carolina
1990,Shane Vereen,674,NWE,2,56,2011,California,2008,2010,38,74,674,9.1,6,17.7,RB,California
1991,Tracy Porter,674,DET,4,99,1981,LSU,1978,1980,33,38,674,17.7,4,20.4,WR,LSU
1992,Mike Miller,672,GNB,4,104,1983,Tennessee,1979,1982,44,49,672,13.7,5,15.3,WR,Tennessee
1993,Keaontay Ingram,671,CRD,6,201,2022,USC,2018,2021,42,89,671,7.5,6,16,RB,"Texas,USC"
1994,James White,670,NWE,4,130,2014,Wisconsin,2010,2013,52,73,670,9.2,3,12.9,RB,Wisconsin
1995,John Phillips,670,DAL,6,208,2009,Virginia,2005,2008,47,69,670,9.7,5,14.3,QB,Virginia
1996,Mark Ingram,670,NOR,1,28,2011,Alabama,2008,2010,39,60,670,11.2,4,17.2,RB,Alabama
1997,Craig Stevens,669,OTI,3,85,2008,California,2004,2007,50,51,669,13.1,7,13.4,TE,California
1998,George Rose,668,BUF,3,21,1964,Auburn,1961,1963,60,44,668,15.2,10,11.1,RB,Auburn
1999,Ronnie Brown,668,MIA,1,2,2005,Auburn,2000,2004,48,58,668,11.5,2,13.9,RB,Auburn
2000,Sam Martin,668,NWE,4,97,1988,LSU,1984,1987,39,67,668,10,4,17.1,RB,LSU
