,,,,,,Passing,,,,,,,,,,,,,,,
826,Joe Cox,29,2006,2009,26,218,389,171,56,3016,29,16,7.5,4.1,137.5,7.8,7.39,13.8,116,QB,Georgia
827,Ken Seals,29,2020,2024,30,424,698,274,60.7,4327,29,22,4.2,3.2,120.2,6.2,5.61,10.2,144.2,QB,"Texas Christian,Vanderbilt"
828,Larry Haynes,29,1978,1979,22,325,586,261,55.5,3902,29,29,4.9,4.9,117.8,6.7,5.42,12,177.4,QB,Lamar
829,Mark Halda,29,1977,1980,45,406,757,351,53.6,4812,29,45,3.8,5.9,107.8,6.4,4.45,11.9,106.9,QB,San Diego State
830,Marty Vaughn,29,1973,1974,18,226,419,193,53.9,3429,29,18,6.9,4.3,136.9,8.2,7.63,15.2,190.5,QB,Pennsylvania
831,Mike Groh,29,1992,1995,33,339,582,243,58.2,4366,29,18,5,3.1,131.5,7.5,7.11,12.9,132.3,QB,Virginia
832,Nick Fanuzzi,29,2009,2011,28,425,704,279,60.4,4402,29,19,4.1,2.7,121.1,6.3,5.86,10.4,157.2,QB,Rice
833,Perry Hills,29,2012,2016,29,314,556,242,56.5,3887,29,24,5.2,4.3,123.8,7,6.09,12.4,134,QB,Maryland
834,Quinn Grovey,29,1987,1990,45,292,526,234,55.5,4496,29,26,5.5,4.9,135.6,8.5,7.43,15.4,99.9,QB,Arkansas
835,Randy Gomez,29,1977,1978,22,293,581,288,50.4,4042,29,34,5,5.9,113.6,7,5.32,13.8,183.7,QB,Utah
836,Reggie Allen,29,1978,1981,44,367,782,415,46.9,5094,29,46,3.7,5.9,102.1,6.5,4.61,13.9,115.8,QB,Indiana State
837,Rich Policastro,29,1968,1969,19,217,380,163,57.1,2684,29,9,7.6,2.4,136.9,7.1,7.52,12.4,141.3,QB,Rutgers
838,Rocco Becht,29,2022,2024,19,292,461,169,63.3,3928,29,11,6.3,2.4,150.9,8.5,8.7,13.5,206.7,QB,Iowa State
839,Ronnie Barber,29,1986,1987,24,281,511,230,55,3544,29,23,5.7,4.5,123,6.9,6.05,12.6,147.7,QB,Cal State Fullerton
840,Ryan Fien,29,1992,1996,40,331,583,252,56.8,4363,29,24,5,4.1,127.8,7.5,6.63,13.2,109.1,QB,"Idaho,UCLA"
841,Steve Casey,29,1978,1981,44,342,647,305,52.9,4299,29,40,4.5,6.2,111.1,6.6,4.76,12.6,97.7,QB,Virginia Tech
842,Taylen Green,29,2021,2024,32,352,604,252,58.3,4751,29,19,4.8,3.1,133.9,7.9,7.41,13.5,148.5,QB,"Arkansas,Boise State"
843,Terry Southall,29,1964,1966,30,328,629,301,52.1,4100,29,45,4.6,7.2,107.8,6.5,4.22,12.5,136.7,QB,Baylor
844,Tim Hasselbeck,29,1998,2000,27,278,501,223,55.5,3890,29,16,5.8,3.2,133.4,7.8,7.49,14,144.1,QB,Boston College
845,Tom Muecke,29,1982,1985,44,240,487,247,49.3,3688,29,27,6,5.5,121.5,7.6,6.27,15.4,83.8,QB,Baylor
846,Travis Cox,29,2001,2004,32,423,737,314,57.4,4722,29,24,3.9,3.3,117.7,6.4,5.73,11.2,147.6,QB,Utah State
847,Walter Lewis,29,1980,1983,44,286,504,218,56.7,4257,29,27,5.8,5.4,136,8.4,7.19,14.9,96.8,QB,Alabama
848,Ben Leard,28,1997,2000,29,359,592,233,60.6,4289,28,18,4.7,3,131,7.2,6.82,11.9,147.9,QB,Auburn
849,Bill Demory,28,1970,1972,27,220,481,261,45.7,3268,28,24,5.8,5,112,6.8,5.71,14.9,121,QB,Arizona
850,Bobby Fuller,28,1990,1991,22,373,634,261,58.8,4896,28,17,4.4,2.7,132.9,7.7,7.4,13.1,222.5,QB,South Carolina
851,Cade McNamara,28,2020,2024,30,377,615,238,61.3,4274,28,12,4.6,2,130.8,6.9,6.98,11.3,142.5,QB,"Iowa,Michigan"
852,Chris Relf,28,2008,2011,36,267,460,193,58,3297,28,18,6.1,3.9,130.5,7.2,6.62,12.3,91.6,QB,Mississippi State
853,Chris Todd,28,2006,2009,25,309,519,210,59.5,3756,28,12,5.4,2.3,133.5,7.2,7.28,12.2,150.2,QB,"Auburn,Texas Tech"
854,Dan Ellis,28,1997,2000,27,291,507,216,57.4,3974,28,16,5.5,3.2,135.2,7.8,7.52,13.7,147.2,QB,Virginia
855,Daryl Woodring,28,1969,1971,31,219,468,249,46.8,3171,28,30,6,6.4,110.6,6.8,5.09,14.5,102.3,QB,Villanova
856,Ed Rubbert,28,1983,1986,44,430,873,443,49.3,5496,28,50,3.2,5.7,101.3,6.3,4.36,12.8,124.9,QB,Louisville
857,Garrett Greene,28,2020,2024,38,272,496,224,54.8,3972,28,11,5.6,2.2,136.3,8,8.14,14.6,104.5,QB,West Virginia
858,Gerald Landry,28,1983,1986,39,326,708,382,46,4512,28,37,4,5.2,102.2,6.4,4.81,13.8,115.7,QB,Houston
859,John Turman,28,1999,2000,22,220,425,205,51.8,3436,28,16,6.6,3.8,133.9,8.1,7.71,15.6,156.2,QB,Pitt
860,Jordan Webb,28,2010,2012,31,444,760,316,58.4,4513,28,28,3.7,3.7,113.1,5.9,5.02,10.2,145.6,QB,"Colorado,Kansas"
861,Keith West,28,1989,1992,40,365,683,318,53.4,4748,28,31,4.1,4.5,116.3,7,5.73,13,118.7,QB,Wake Forest
862,Kyle Pohl,28,2012,2015,33,482,870,388,55.4,5128,28,20,3.2,2.3,110.9,5.9,5.5,10.6,155.4,QB,Akron
863,Marcus Arroyo,28,1998,2002,33,348,671,323,51.9,4672,28,28,4.2,4.2,115.8,7,5.92,13.4,141.6,QB,San Jose State
864,Matt Kubik,28,2004,2005,23,294,554,260,53.1,4020,28,17,5.1,3.1,124.6,7.3,6.89,13.7,174.8,QB,Louisiana Tech
865,Matt LoVecchio,28,2000,2004,37,415,756,341,54.9,4996,28,21,3.7,2.8,117.1,6.6,6.1,12,135,QB,"Indiana,Notre Dame"
866,Mike Eppley,28,1980,1984,35,252,449,197,56.1,3354,28,26,6.2,5.8,127.9,7.5,6.11,13.3,95.8,QB,Clemson
867,Paul Peterson,28,2003,2004,22,305,502,197,60.8,3718,28,17,5.6,3.4,134.6,7.4,7,12.2,169,QB,Boston College
868,Phillip Ely,28,2012,2015,20,270,475,205,56.8,3548,28,11,5.9,2.3,134.4,7.5,7.61,13.1,177.4,QB,"Alabama,Toledo"
869,Quinn Kaehler,28,2013,2014,25,401,696,295,57.6,5164,28,21,4,3,127.2,7.4,6.87,12.9,206.6,QB,San Diego State
870,Sam Hollenbach,28,2004,2006,27,417,679,262,61.4,5139,28,26,4.1,3.8,130.9,7.6,6.67,12.3,190.3,QB,Maryland
871,Sean Glennon,28,2004,2008,39,386,656,270,58.8,4867,28,21,4.3,3.2,128.8,7.4,6.83,12.6,124.8,QB,Virginia Tech
872,Thomas Sirk,28,2014,2017,35,393,679,286,57.9,4347,28,17,4.1,2.5,120.3,6.4,6.1,11.1,124.2,QB,"Duke,East Carolina"
873,Tom Shuman,28,1972,1974,33,188,365,177,51.5,2886,28,12,7.7,3.3,136.7,7.9,7.96,15.4,87.5,QB,Penn State
874,Tony Kimbrough,28,1987,1988,22,274,509,235,53.8,3772,28,22,5.5,4.3,125.6,7.4,6.57,13.8,171.5,QB,Western Michigan
875,Troy Bodine,28,1983,1984,22,298,559,261,53.3,3699,28,28,5,5,115.4,6.6,5.36,12.4,168.1,QB,Cincinnati
876,Wilton Speight,28,2015,2018,30,383,645,262,59.4,4719,28,16,4.3,2.5,130.2,7.3,7.07,12.3,157.3,QB,"Michigan,UCLA"
877,Zack Threadgill,28,1999,2002,23,370,622,252,59.5,4396,28,24,4.5,3.9,126,7.1,6.23,11.9,191.1,QB,Nevada
878,Ben Wooldridge,27,2019,2024,21,248,421,173,58.9,3051,27,9,6.4,2.1,136.7,7.2,7.57,12.3,145.3,QB,"Fresno State,Louisiana"
879,Bernie Galiffa,27,1970,1972,33,294,591,297,49.7,4232,27,29,4.6,4.9,115.2,7.2,5.87,14.4,128.2,QB,West Virginia
880,Blake Decker,27,2014,2015,22,351,610,259,57.5,4599,27,26,4.4,4.3,127,7.5,6.51,13.1,209,QB,Nevada-Las Vegas
881,Blake Szymanski,27,2006,2009,28,387,678,291,57.1,4166,27,30,4,4.4,113,6.1,4.95,10.8,148.8,QB,Baylor
882,Bob Newman,27,1956,1958,30,246,437,191,56.3,3172,27,27,6.2,6.2,125.3,7.3,5.71,12.9,105.7,QB,Washington State
883,Bob Niemet,27,1995,1998,39,346,726,380,47.7,4534,27,32,3.7,4.4,103.6,6.2,5.01,13.1,116.3,QB,Bowling Green
884,Bobby Reid,27,2005,2007,28,226,424,198,53.3,3143,27,16,6.4,3.8,129,7.4,6.99,13.9,112.3,QB,Oklahoma State
885,Branndon Stewart,27,1994,1998,48,359,678,319,52.9,4749,27,15,4,2.2,120.5,7,6.81,13.2,98.9,QB,"Tennessee,Texas A&M"
886,Bryan Ellis,27,2009,2011,19,299,542,243,55.2,3697,27,17,5,3.1,122.6,6.8,6.41,12.4,194.6,QB,UAB
887,Chandler Morris,27,2020,2024,24,305,464,159,65.7,3637,27,11,5.8,2.4,146,7.8,7.94,11.9,151.5,QB,"North Texas,Oklahoma,Texas Christian"
888,Chris Garrity,27,1978,1981,44,407,813,406,50.1,4536,27,41,3.3,5,97.8,5.6,3.97,11.1,103.1,P,William & Mary
889,Cody Clements,27,2014,2015,23,354,599,245,59.1,4499,27,23,4.5,3.8,129.4,7.5,6.68,12.7,195.6,QB,"South Alabama,UAB"
890,Damon Allen,27,1981,1984,46,322,629,307,51.2,4218,27,11,4.3,1.7,118.2,6.7,6.78,13.1,91.7,QB,Cal State Fullerton
891,Danny Barrett,27,1979,1982,44,352,658,306,53.5,4407,27,37,4.1,5.6,112,6.7,4.99,12.5,100.2,QB,Cincinnati
892,Danny Sparkman,27,1983,1985,33,328,662,334,49.5,4311,27,32,4.1,4.8,108,6.5,5.15,13.1,130.6,QB,Memphis
893,Darell Garretson,27,2013,2017,30,418,711,293,58.8,4668,27,22,3.8,3.1,120.3,6.6,5.93,11.2,155.6,QB,"Oregon State,Utah State"
894,Darian Hagan,27,1988,1991,39,213,424,211,50.2,3801,27,19,6.4,4.5,137.6,9,8.22,17.8,97.5,QB,Colorado
895,Dave Ziebart,27,1976,1979,44,424,879,455,48.2,4789,27,54,3.1,6.1,91.9,5.4,3.3,11.3,108.8,QB,Air Force
896,Jason Driskel,27,2015,2017,35,462,756,294,61.1,5627,27,19,3.6,2.5,130.4,7.4,7.03,12.2,160.8,QB,Florida Atlantic
897,Jeff Ballard,27,2004,2006,24,330,540,210,61.1,4204,27,12,5,2.2,138.6,7.8,7.79,12.7,175.2,QB,Texas Christian
898,Joe Craddock,27,2006,2008,30,342,546,204,62.6,4011,27,13,4.9,2.4,135.9,7.3,7.26,11.7,133.7,QB,Middle Tennessee State
899,John Dewberry,27,1983,1985,33,310,533,223,58.2,4193,27,26,5.1,4.9,131.2,7.9,6.68,13.5,127.1,QB,Georgia Tech
900,John Paddock,27,2018,2023,24,395,657,262,60.1,4177,27,18,4.1,2.7,121.6,6.4,5.95,10.6,174,QB,"Ball State,Illinois"
901,Jordan La Secla,27,2007,2010,32,423,716,293,59.1,4863,27,28,3.8,3.9,120.8,6.8,5.79,11.5,152,QB,San Jose State
902,Justin McMillan,27,2016,2019,24,263,469,206,56.1,3767,27,14,5.8,3,136.6,8,7.84,14.3,157,QB,"LSU,Tulane"
903,Larry Fortner,27,1976,1978,33,277,554,277,50,3667,27,27,4.9,4.9,111.9,6.6,5.4,13.2,111.1,QB,Miami (OH)
904,Mark Comalander,27,1984,1987,39,389,753,364,51.7,4780,27,37,3.6,4.9,107,6.3,4.85,12.3,122.6,QB,Rice
905,Marty Lowe,27,1991,1995,38,416,767,351,54.2,4861,27,29,3.5,3.8,111.5,6.3,5.34,11.7,127.9,QB,Louisville
906,Michael Rocco,27,2010,2012,30,396,657,261,60.3,4731,27,24,4.1,3.7,127,7.2,6.38,11.9,157.7,QB,Virginia
907,Neil Dougherty,27,1991,1995,55,365,678,313,53.8,4074,27,21,4,3.1,111.3,6,5.41,11.2,74.1,QB,Miami (OH)
908,Prince McJunkins,27,1979,1982,44,304,613,309,49.6,4544,27,38,4.4,6.2,114,7.4,5.5,14.9,103.3,QB,Wichita State
909,Randy Welniak,27,1985,1988,35,263,485,222,54.2,3655,27,15,5.6,3.1,129.7,7.5,7.26,13.9,104.4,QB,Wyoming
910,Shane Morris,27,2013,2017,28,296,538,242,55,3671,27,22,5,4.1,120.7,6.8,5.99,12.4,131.1,QB,"Central Michigan,Michigan"
911,Spencer Petras,27,2018,2024,39,504,884,380,57,5637,27,22,3.1,2.5,115.7,6.4,5.87,11.2,144.5,QB,"Iowa,Utah State"
912,Steve Vogel,27,1981,1984,33,309,688,379,44.9,3912,27,33,3.9,4.8,96,5.7,4.31,12.7,118.5,QB,Colorado
913,Steven Threet,27,2008,2010,22,310,536,226,57.8,3639,27,23,5,4.3,122.9,6.8,5.87,11.7,165.4,QB,"Arizona State,Michigan"
914,Terry Wilson,27,2018,2021,33,439,694,255,63.3,4494,27,16,3.9,2.3,125.9,6.5,6.22,10.2,136.2,QB,"Kentucky,New Mexico"
915,Tim Schade,27,1991,1994,30,423,795,372,53.2,5239,27,29,3.4,3.6,112.5,6.6,5.63,12.4,174.6,QB,"Minnesota,Texas Christian"
916,Todd Studer,27,1990,1991,17,265,546,281,48.5,3847,27,22,4.9,4,116,7,6.22,14.5,226.3,QB,Long Beach State
917,Tyler Stewart,27,2013,2016,31,317,537,220,59,3551,27,12,5,2.2,126.7,6.6,6.61,11.2,114.5,QB,Nevada
918,Vidal Carlin,27,1965,1966,20,276,633,357,43.6,3233,27,42,4.3,6.6,87.3,5.1,2.97,11.7,161.7,QB,North Texas
919,Wayne Schuchts,27,1979,1983,41,303,646,343,46.9,4692,27,43,4.2,6.7,108.4,7.3,5.1,15.5,114.4,QB,"Colgate,Virginia"
920,Zac Champion,27,2004,2007,30,423,767,344,55.1,4725,27,28,3.5,3.7,111.2,6.2,5.22,11.2,157.5,QB,Louisiana Tech
921,Alan Cockrell,26,1981,1983,33,317,568,251,55.8,3823,26,27,4.6,4.8,117.9,6.7,5.51,12.1,115.8,QB,Tennessee
922,Billy Cockerham,26,1996,1999,32,233,448,215,52,3226,26,22,5.8,4.9,121.8,7.2,6.15,13.8,100.8,QB,Minnesota
923,Bob Lesczynski,26,1976,1978,33,271,542,271,50,3945,26,32,4.8,5.9,115.2,7.3,5.58,14.6,119.5,QB,Navy
924,Brian Jones,26,2001,2002,19,314,456,142,68.9,3639,26,12,5.7,2.6,149.4,8,7.94,11.6,191.5,QB,Toledo
925,Bud Nelson,26,1975,1978,44,232,502,270,46.2,3275,26,23,5.2,4.6,108.9,6.5,5.5,14.1,74.4,QB,Marshall
926,Corby Jones,26,1995,1998,39,257,516,259,49.8,3697,26,18,5,3.5,119.6,7.2,6.6,14.4,94.8,QB,Missouri
927,Darnell Arceneaux,26,1997,2000,32,263,488,225,53.9,4020,26,21,5.3,4.3,132.1,8.2,7.37,15.3,125.6,QB,Utah
928,Don Jackson,26,1970,1972,27,255,542,287,47,3447,26,36,4.8,6.6,103,6.4,4.33,13.5,127.7,QB,Columbia
929,Drew Pyne,26,2020,2024,21,223,353,130,63.2,2647,26,9,7.4,2.5,145.4,7.5,7.82,11.9,126,QB,"Arizona State,Missouri,Notre Dame"
930,Dusty Bonner,26,1997,1999,19,313,479,166,65.3,3380,26,13,5.4,2.7,137.1,7.1,6.92,10.8,177.9,QB,Kentucky
931,Foy White,26,1983,1985,28,281,474,193,59.3,2901,26,13,5.5,2.7,123.3,6.1,5.98,10.3,103.6,QB,Wake Forest
932,Gerry Bohanon,26,2018,2024,37,285,476,191,59.9,3496,26,13,5.5,2.7,134.1,7.3,7.21,12.3,94.5,QB,"Baylor,BYU,South Florida"
933,Hank Washington,26,1965,1966,20,282,524,242,53.8,3510,26,27,5,5.2,116.2,6.7,5.37,12.4,175.5,QB,West Texas State
934,Hunter Cantwell,26,2005,2008,30,313,534,221,58.6,3912,26,23,4.9,4.3,127.6,7.3,6.36,12.5,130.4,QB,Louisville
935,Jake Coker,26,2012,2015,31,322,493,171,65.3,3808,26,9,5.3,1.8,143.9,7.7,7.96,11.8,122.8,QB,"Alabama,Florida State"
936,Jason Stanicek,26,1991,1994,45,372,622,250,59.8,4683,26,28,4.2,4.5,127.8,7.5,6.34,12.6,104.1,QB,North Carolina
937,Jay Barker,26,1991,1994,42,402,706,304,56.9,5689,26,24,3.7,3.4,130,8.1,7.26,14.2,135.5,QB,Alabama
938,Jeff Grantz,26,1972,1975,44,213,426,213,50,3212,26,24,6.1,5.6,122.2,7.5,6.23,15.1,73,QB,South Carolina
939,Jett Duffey,26,2017,2019,19,345,523,178,66,4077,26,11,5,2.1,143.6,7.8,7.84,11.8,214.6,QB,Texas Tech
940,Jim Arellanes,26,1995,1996,19,275,453,178,60.7,4026,26,20,5.7,4.4,145.5,8.9,8.05,14.6,211.9,QB,Fresno State
941,Joe Dailey,26,2003,2007,37,274,520,246,52.7,3458,26,32,5,6.2,112.7,6.7,4.88,12.6,93.5,QB,"Nebraska,North Carolina"
942,John Hangartner,26,1956,1958,30,148,259,111,57.1,2712,26,19,10,7.3,163.6,10.5,9.18,18.3,90.4,QB,Arizona State
943,John Rogan,26,1979,1981,29,190,405,215,46.9,2844,26,21,6.4,5.2,116.7,7,5.97,15,98.1,QB,Yale
944,John Torok,26,1963,1964,19,180,330,150,54.5,2956,26,19,7.9,5.8,144.3,9,7.94,16.4,155.6,QB,Arizona State
945,Jonathan Perry,26,2011,2013,30,340,596,256,57,4454,26,15,4.4,2.5,129.2,7.5,7.21,13.1,148.5,QB,UAB
946,Josh Hoover,26,2022,2024,15,297,461,164,64.4,3626,26,11,5.6,2.4,144.3,7.9,7.92,12.2,241.7,QB,Texas Christian
947,Kirk Farmer,26,1999,2002,31,226,476,250,47.5,2812,26,15,5.5,3.2,108.8,5.9,5.58,12.4,90.7,QB,Missouri
948,Lance Rice,26,2000,2003,23,294,541,247,54.3,3469,26,18,4.8,3.3,117.4,6.4,5.88,11.8,150.8,QB,Utah
949,Luke Altmyer,26,2021,2024,22,278,429,151,64.8,3062,26,13,6.1,3,138.7,7.1,6.99,11,139.2,QB,"Illinois,Ole Miss"
950,Marshall Lobbestael,26,2008,2011,31,335,603,268,55.6,3871,26,20,4.3,3.3,117.1,6.4,5.79,11.6,124.9,QB,Washington State
951,Matt Lytle,26,1995,1998,27,306,604,298,50.7,3738,26,24,4.3,4,108.9,6.2,5.26,12.2,138.4,QB,Pitt
952,Michael Calhoun,26,1981,1982,17,149,348,199,42.8,2161,26,22,7.5,6.3,107,6.2,4.86,14.5,127.1,QB,Rice
953,Michael Carter,26,1990,1993,48,229,521,292,44,3504,26,16,5,3.1,110.8,6.7,6.34,15.3,73,QB,Hawaii
954,Mitch Anderson,26,1972,1974,33,287,609,322,47.1,3841,26,35,4.3,5.7,102.7,6.3,4.57,13.4,116.4,QB,Northwestern
955,Paul Berner,26,1982,1984,22,383,739,356,51.8,4819,26,38,3.5,5.1,107.9,6.5,4.91,12.6,219,QB,Pacific
956,Paul Thompson,26,2002,2006,42,246,409,163,60.1,3095,26,14,6.4,3.4,137.8,7.6,7.3,12.6,73.7,QB,Oklahoma
957,Peyton Bender,26,2015,2018,26,384,685,301,56.1,4001,26,17,3.8,2.5,112.7,5.8,5.48,10.4,153.9,QB,"Kansas,Washington State"
958,Rick Stockstill,26,1979,1981,26,250,447,197,55.9,2834,26,22,5.8,4.9,118.5,6.3,5.29,11.3,109,QB,Florida State
959,Ryan Metz,26,2015,2018,33,310,540,230,57.4,3488,26,22,4.8,4.1,119.4,6.5,5.59,11.3,105.7,QB,UTEP
960,Theo Scott,26,2007,2009,26,291,497,206,58.6,3359,26,16,5.2,3.2,126.1,6.8,6.36,11.5,129.2,QB,Ohio
961,Tyler Van Tubbergen,26,2010,2013,32,281,493,212,57,3199,26,23,5.3,4.7,119.6,6.5,5.44,11.4,100,QB,Western Michigan
962,Vern Wireman,26,1968,1970,29,272,583,311,46.7,3057,26,34,4.5,5.8,93.8,5.2,3.51,11.2,105.4,QB,Bowling Green
963,Vernon Adams,26,2015,2015,10,168,259,91,64.9,2643,26,6,10,2.3,179.1,10.2,11.17,15.7,264.3,QB,Oregon
964,Allen McCune,25,1963,1965,30,151,289,138,52.2,2185,25,13,8.7,4.5,135.3,7.6,7.27,14.5,72.8,QB,West Virginia
965,Andrew Manley,25,2010,2012,20,332,614,282,54.1,4260,25,20,4.1,3.3,119.3,6.9,6.29,12.8,213,QB,New Mexico State
966,Beau Morgan,25,1994,1996,35,226,438,212,51.6,3248,25,15,5.7,3.4,125.9,7.4,7.02,14.4,92.8,QB,Air Force
967,Benny Russell,25,1964,1966,30,271,583,312,46.5,3957,25,14,4.3,2.4,112.8,6.8,6.56,14.6,131.9,QB,Louisville
968,Bob Parker,25,1969,1970,21,211,431,220,49,2994,25,15,5.8,3.5,119.5,6.9,6.54,14.2,142.6,QB,Air Force
969,Brad Goebel,25,1987,1990,44,375,730,355,51.4,5026,25,40,3.4,5.5,109.5,6.9,5.1,13.4,114.2,QB,Baylor
970,Brayden Fowler-Nicolosi,25,2022,2024,19,373,613,240,60.8,4256,25,22,4.1,3.6,125.4,6.9,6.14,11.4,224,QB,Colorado State
971,Bret Kosup,25,1973,1977,44,214,449,235,47.7,3613,25,28,5.6,6.2,121.2,8,6.35,16.9,82.1,QB,Rutgers
972,Brian Kavanagh,25,1993,1996,24,205,348,143,58.9,2352,25,7,7.2,2,135.4,6.8,7.29,11.5,98,QB,Kansas State
973,Bryan Fortay,25,1992,1993,19,174,337,163,51.6,2374,25,18,7.4,5.3,124.6,7,6.12,13.6,124.9,QB,Rutgers
974,Caleb Terbush,25,2009,2012,22,283,476,193,59.5,3077,25,14,5.3,2.9,125.2,6.5,6.19,10.9,139.9,QB,Purdue
975,Chandler Whitmer,25,2012,2014,28,403,713,310,56.5,5082,25,30,3.5,4.2,119.5,7.1,5.94,12.6,181.5,QB,Connecticut
976,Chip Hilleary,25,1989,1992,38,335,636,301,52.7,4598,25,27,3.9,4.2,117.9,7.2,6.11,13.7,121,QB,Kansas
977,Chris Kasteler,25,1997,1999,27,311,584,273,53.3,3775,25,23,4.3,3.9,113.8,6.5,5.55,12.1,139.8,QB,San Jose State
978,Christian Stewart,25,2013,2014,12,199,350,151,56.9,2621,25,9,7.1,2.6,138.2,7.5,7.76,13.2,218.4,QB,BYU
979,Dalton Williams,25,2012,2012,12,326,522,196,62.5,3387,25,16,4.8,3.1,126.6,6.5,6.07,10.4,282.3,QB,Akron
980,Danny McManus,25,1984,1987,27,248,455,207,54.5,3390,25,14,5.5,3.1,129.1,7.5,7.16,13.7,125.6,QB,Florida State
981,David Riley,25,1986,1989,44,398,670,272,59.4,4730,25,26,3.7,3.9,123.3,7.1,6.06,11.9,107.5,QB,Ball State
982,Graham Wilbert,25,2010,2012,26,416,704,288,59.1,4314,25,22,3.6,3.1,116,6.1,5.43,10.4,165.9,QB,Florida Atlantic
983,Harry Knight,25,1972,1974,30,253,551,298,45.9,3465,25,20,4.5,3.6,106.5,6.3,5.56,13.7,115.5,QB,Richmond
984,Jameill Showers,25,2011,2014,31,297,523,226,56.8,3480,25,11,4.8,2.1,124.2,6.7,6.66,11.7,112.3,QB,"Texas A&M,UTEP"
985,Jeff Wickersham,25,1982,1985,38,587,1005,418,58.4,6921,25,39,2.5,3.9,116.7,6.9,5.64,11.8,182.1,QB,LSU
986,Joe Davis,25,1976,1977,22,190,326,136,58.3,2541,25,15,7.7,4.6,139.9,7.8,7.26,13.4,115.5,QB,San Diego State
987,John Cartwright,25,1965,1967,30,307,601,294,51.1,3626,25,36,4.2,6,103.5,6,4.17,11.8,120.9,QB,Navy
