,,,,,,Passing,,,,,,,,,,,,,,,
1478,Kelly Cochrane,18,1969,1971,32,266,576,310,46.2,3241,18,42,3.1,7.3,89.2,5.6,2.97,12.2,101.3,QB,Miami (FL)
1479,Ken Bailey,18,1967,1969,30,120,263,143,45.6,2042,18,22,6.8,8.4,116.7,7.8,5.37,17,68.1,QB,Houston
1480,Ken Karcher,18,1982,1985,27,303,574,271,52.8,3560,18,21,3.1,3.7,107.9,6.2,5.18,11.7,131.9,QB,"Notre Dame,Tulane"
1481,Ken Vierra,18,1981,1985,28,125,232,107,53.9,2060,18,6,7.8,2.6,148.9,8.9,9.27,16.5,73.6,QB,"Maryland,Utah"
1482,Kenyon Oblad,18,2018,2020,13,170,317,147,53.6,2090,18,9,5.7,2.8,122.1,6.6,6.45,12.3,160.8,QB,Nevada-Las Vegas
1483,Kingsley Fink,18,1971,1973,30,257,588,331,43.7,3079,18,43,3.1,7.3,83.2,5.2,2.56,12,102.6,QB,Army
1484,Kurt Steger,18,1974,1977,44,193,414,221,46.6,2733,18,33,4.3,8,100.5,6.6,3.88,14.2,62.1,QB,Illinois
1485,Leo Gasienica,18,1970,1972,32,230,448,218,51.3,2801,18,30,4,6.7,103.7,6.3,4.04,12.2,87.5,QB,Rutgers
1486,Levi Williams,18,2019,2023,35,190,356,166,53.4,2663,18,13,5.1,3.7,125.6,7.5,6.85,14,76.1,QB,"Utah State,Wyoming"
1487,Marcus Randall,18,2001,2004,32,216,385,169,56.1,2854,18,12,4.7,3.1,127.6,7.4,6.95,13.2,89.2,QB,LSU
1488,Mark Farris,18,1999,2002,29,435,755,320,57.6,4949,18,18,2.4,2.4,115.8,6.6,5.96,11.4,170.7,QB,Texas A&M
1489,Mark Melfi,18,1987,1989,27,242,455,213,53.2,3028,18,29,4,6.4,109.4,6.7,4.58,12.5,112.1,QB,Toledo
1490,Marquel Fleetwood,18,1989,1992,44,453,888,435,51,5279,18,41,2,4.6,98.4,5.9,4.27,11.7,120,QB,Minnesota
1491,Mel Rideout,18,1958,1962,39,213,512,299,41.6,2492,18,32,3.5,6.3,81.6,4.9,2.76,11.7,63.9,QB,Richmond
1492,Michael Armour,18,1993,1995,26,238,415,177,57.3,2983,18,21,4.3,5.1,121.9,7.2,5.78,12.5,114.7,QB,Eastern Michigan
1493,Mike Kalasmiki,18,1977,1979,29,187,402,215,46.5,2626,18,25,4.5,6.2,103.7,6.5,4.63,14,90.6,QB,Wisconsin
1494,Mike Richmond,18,1988,1991,35,237,430,193,55.1,3046,18,24,4.2,5.6,117.3,7.1,5.41,12.9,87,QB,Utah
1495,Milt Holt,18,1972,1974,23,135,257,122,52.5,1800,18,13,7,5.1,124.4,7,6.13,13.3,78.3,QB,Harvard
1496,Nick Montana,18,2011,2014,21,227,417,190,54.4,2285,18,15,4.3,3.6,107.5,5.5,4.72,10.1,108.8,QB,"Tulane,Washington"
1497,Noah Vedral,18,2017,2022,39,395,660,265,59.8,4063,18,17,2.7,2.6,115.4,6.2,5.54,10.3,104.2,QB,"Nebraska,Rutgers,UCF"
1498,Oscar Davenport,18,1995,1998,37,251,419,168,59.9,3090,18,8,4.3,1.9,132.2,7.4,7.37,12.3,83.5,QB,North Carolina
1499,Parker McNeil,18,2020,2022,9,123,216,93,56.9,1908,18,8,8.3,3.7,151.2,8.8,8.83,15.5,212,QB,"Louisiana Tech,Troy"
1500,Patrick Nicely,18,2009,2011,30,308,619,311,49.8,3358,18,21,2.9,3.4,98.1,5.4,4.48,10.9,111.9,QB,Akron
1501,Paul Toscano,18,1966,1967,20,136,244,108,55.7,1824,18,10,7.4,4.1,134.7,7.5,7.11,13.4,91.2,QB,Wyoming
1502,Paul Watson,18,1988,1991,28,301,560,259,53.8,3963,18,24,3.2,4.3,115.2,7.1,5.79,13.2,141.5,QB,Kansas State
1503,Pete Kraker,18,1976,1978,33,284,618,334,46,3290,18,39,2.9,6.3,87.7,5.3,3.07,11.6,99.7,QB,Northern Illinois
1504,Reilly O'Toole,18,2011,2014,36,239,376,137,63.6,2319,18,17,4.8,4.5,122.1,6.2,5.09,9.7,64.4,QB,Illinois
1505,Richard Kovalcheck,18,2004,2007,24,245,453,208,54.1,2764,18,19,4,4.2,110.1,6.1,5.01,11.3,115.2,QB,"Arizona,Vanderbilt"
1506,Ron Fillmore,18,1983,1985,30,171,335,164,51,2383,18,23,5.4,6.9,114.8,7.1,5.1,13.9,79.4,QB,Central Michigan
1507,Ronnie Hickerson,18,1974,1976,33,194,400,206,48.5,2660,18,32,4.5,8,103.2,6.7,3.95,13.7,80.6,QB,Tulsa
1508,Steve Birnbaum,18,1996,1999,30,306,581,275,52.7,3934,18,18,3.1,3.1,113.6,6.8,6,12.9,131.1,QB,Washington State
1509,Tim Esposito,18,1983,1984,22,333,585,252,56.9,3847,18,30,3.1,5.1,112.1,6.6,4.88,11.6,174.9,QB,North Carolina State
1510,Todd Dodge,18,1981,1985,38,158,353,195,44.8,2794,18,34,5.1,9.6,108.8,7.9,4.6,17.7,73.5,QB,Texas
1511,Tom Greene,18,1956,1958,27,154,344,190,44.8,2619,18,32,5.2,9.3,107.4,7.6,4.47,17,97,QB,Holy Cross
1512,Tommy Waters,18,1991,1994,44,339,662,323,51.2,3681,18,28,2.7,4.2,98.4,5.6,4.2,10.9,83.7,QB,Southern Mississippi
1513,Treon Harris,18,2014,2015,21,174,346,172,50.3,2695,18,10,5.2,2.9,127.1,7.8,7.53,15.5,128.3,QB,Florida
1514,Tyrrell Pigrome,18,2016,2020,45,323,565,242,57.2,3380,18,12,3.2,2.1,113.7,6,5.66,10.5,75.1,QB,"Maryland,Western Kentucky"
1515,Walter Washington,18,2003,2004,23,297,539,242,55.1,3472,18,12,3.3,2.2,115.8,6.4,6.11,11.7,151,QB,Temple
1516,Will Hudgens,18,2005,2009,34,240,430,190,55.8,2681,18,9,4.2,2.1,117.8,6.2,6.13,11.2,78.9,QB,Memphis
1517,Zack Mahoney,18,2015,2017,25,182,342,160,53.2,1949,18,10,5.3,2.9,112.6,5.7,5.44,10.7,78,QB,Syracuse
1518,Adam Froman,17,2009,2010,17,243,403,160,60.3,2987,17,9,4.2,2.2,132,7.4,7.25,12.3,175.7,QB,Louisville
1519,Al Neville,17,1971,1973,33,217,402,185,54,2493,17,24,4.2,6,108.1,6.2,4.36,11.5,75.5,QB,Maryland
1520,Andrew Anderson,17,1983,1986,44,192,394,202,48.7,2763,17,20,4.3,5.1,111.7,7,5.59,14.4,62.8,QB,Southern Mississippi
1521,Anthony Thornton,17,1987,1990,43,408,829,421,49.2,5199,17,40,2.1,4.8,99,6.3,4.51,12.7,120.9,QB,Ohio
1522,Anthony Turner,17,2005,2008,42,202,345,143,58.6,2157,17,9,4.9,2.6,122.1,6.3,6.06,10.7,51.4,QB,Bowling Green
1523,Bill Miller,17,1965,1967,30,178,359,181,49.6,2328,17,24,4.7,6.7,106.3,6.5,4.42,13.1,77.6,QB,Miami (FL)
1524,Bob Cutburth,17,1967,1969,30,142,336,194,42.3,1993,17,19,5.1,5.7,97.5,5.9,4.4,14,66.4,QB,Oklahoma State
1525,Brandon Streeter,17,1996,1999,25,270,469,199,57.6,3203,17,22,3.6,4.7,117.5,6.8,5.44,11.9,128.1,QB,Clemson
1526,Bruce Keplinger,17,1972,1976,44,139,268,129,51.9,2139,17,17,6.3,6.3,127.2,8,6.4,15.4,48.6,QB,Pacific
1527,Carson Coffman,17,2007,2010,28,270,426,156,63.4,3224,17,13,4,3.1,134,7.6,6.99,11.9,115.1,QB,Kansas State
1528,Carson Williams,17,2006,2009,31,243,462,219,52.6,2738,17,27,3.7,5.8,102.8,5.9,4.03,11.3,88.3,QB,Army
1529,Chance Mock,17,2001,2004,29,115,213,98,54,1613,17,2,8,0.9,142.1,7.6,8.75,14,55.6,QB,Texas
1530,Chon Gallegos,17,1959,1961,29,160,280,120,57.1,1939,17,24,6.1,8.6,118.2,6.9,4.28,12.1,66.9,QB,San Jose State
1531,Cole Stoudt,17,2011,2014,35,277,421,144,65.8,2634,17,11,4,2.6,126.5,6.3,5.89,9.5,75.3,QB,Clemson
1532,Cornelious Brown,17,2019,2021,19,231,413,182,55.9,2792,17,15,4.1,3.6,119,6.8,5.95,12.1,146.9,QB,Georgia State
1533,Cornelius Greene,17,1972,1975,42,125,225,100,55.6,2036,17,16,7.6,7.1,142.3,9,7.36,16.3,48.5,QB,Ohio State
1534,Damian Allen,17,1994,1997,37,307,699,392,43.9,3704,17,28,2.4,4,88.4,5.3,3.98,12.1,100.1,QB,Vanderbilt
1535,Damian Williams,17,2013,2017,31,262,450,188,58.2,2767,17,11,3.8,2.4,117.5,6.1,5.8,10.6,89.3,QB,"Mississippi State,Texas State"
1536,Danny Embick,17,2002,2005,27,169,319,150,53,2309,17,17,5.3,5.3,120.7,7.2,5.91,13.7,85.5,QB,"Florida Atlantic,West Virginia"
1537,Dave Grosz,17,1958,1960,30,166,371,205,44.7,2243,17,32,4.6,8.6,93.4,6,3.08,13.5,74.8,QB,Oregon
1538,David Spriggs,17,1977,1978,22,182,349,167,52.1,2710,17,27,4.9,7.7,118,7.8,5.26,14.9,123.2,QB,New Mexico State
1539,Dennis Swearingen,17,1982,1985,42,330,603,273,54.7,3475,17,38,2.8,6.3,99.8,5.8,3.49,10.5,82.7,QB,Ohio
1540,Frank Nutile,17,2015,2018,20,167,279,112,59.9,2225,17,12,6.1,4.3,138.4,8,7.26,13.3,111.3,QB,Temple
1541,Haaziq Daniels,17,2020,2022,31,122,241,119,50.6,2453,17,8,7.1,3.3,152.8,10.2,10.1,20.1,79.1,QB,Air Force
1542,Ivan Toncic,17,1957,1959,30,124,252,128,49.2,1744,17,24,6.7,9.5,110.6,6.9,3.98,14.1,58.1,QB,Pitt
1543,Jack Henderson,17,1975,1977,33,416,842,426,49.4,4360,17,39,2,4.6,90.3,5.2,3.5,10.5,132.1,QB,Oregon
1544,Jake Kelchner,17,1992,1993,19,163,266,103,61.3,2466,17,9,6.4,3.4,153.5,9.3,9.03,15.1,129.8,QB,West Virginia
1545,Jayden Maiava,17,2023,2024,15,232,364,132,63.7,3151,17,10,4.7,2.7,146.4,8.7,8.35,13.6,210.1,QB,"Nevada-Las Vegas,USC"
1546,Jeff Sweitzer,17,1988,1991,27,189,408,219,46.3,2744,17,25,4.2,6.1,104.3,6.7,4.8,14.5,101.6,QB,Akron
1547,Jerry Biebuyck,17,1966,1968,30,162,395,233,41,2472,17,22,4.3,5.6,96.6,6.3,4.61,15.3,82.4,QB,Dayton
1548,Jerry Davis,17,2009,2010,15,150,313,163,47.9,1898,17,16,5.4,5.1,106.6,6.1,4.85,12.7,126.5,QB,Buffalo
1549,Jim Hartlieb,17,1989,1992,35,181,291,110,62.2,2064,17,10,5.8,3.4,134.2,7.1,6.71,11.4,59,QB,Iowa
1550,Jimmy Streater,17,1976,1979,44,241,467,226,51.6,3433,17,30,3.6,6.4,112.5,7.4,5.19,14.2,78,QB,Tennessee
1551,Joe Caldwell,17,1958,1959,18,159,309,150,51.5,2440,17,12,5.5,3.9,128.2,7.9,7.25,15.3,135.6,QB,Army
1552,Joe Gray,17,2012,2015,20,286,439,153,65.1,3167,17,13,3.9,3,132.6,7.2,6.66,11.1,158.4,QB,San Jose State
1553,Joe Paopao,17,1975,1976,22,198,394,196,50.3,2830,17,25,4.3,6.3,112.1,7.2,5.19,14.3,128.6,QB,Long Beach State
1554,John Eckman,17,1965,1967,29,311,734,423,42.4,3641,17,45,2.3,6.1,79.4,5,2.66,11.7,125.6,QB,Wichita State
1555,John Hankinson,17,1964,1965,19,198,394,196,50.3,2567,17,22,4.3,5.6,108.1,6.5,4.87,13,135.1,QB,Minnesota
1556,Johnathan Bennett,17,2019,2023,32,153,273,120,56,1927,17,12,6.2,4.4,127.1,7.1,6.33,12.6,60.2,QB,Liberty
1557,Jon Brittenum,17,1963,1966,30,169,342,173,49.4,2404,17,15,5,4.4,116.1,7,6.05,14.2,80.1,QB,Arkansas
1558,Jonathan Banks,17,2017,2018,18,196,358,162,54.7,2871,17,7,4.7,2,133.9,8,8.09,14.6,159.5,QB,Tulane
1559,Kareem Wilson,17,1995,1998,44,126,345,219,36.5,2105,17,16,4.9,4.6,94.8,6.1,5,16.7,47.8,QB,Ohio
1560,Kenny Philibert,17,1977,1979,31,230,453,223,50.8,2865,17,32,3.8,7.1,102.2,6.3,3.9,12.5,92.4,QB,Northwestern State
1561,Kevin Ellison,17,2014,2016,34,177,323,146,54.8,2469,17,11,5.3,3.4,129.6,7.6,7.16,13.9,72.6,QB,Georgia Southern
1562,Kilton Anderson,17,2015,2018,23,203,397,194,51.1,2570,17,11,4.3,2.8,114.1,6.5,6.08,12.7,111.7,QB,"Coastal Carolina,Fresno State"
1563,Kyle Herm,17,2000,2003,40,141,281,140,50.2,2332,17,8,6,2.8,134.2,8.3,8.23,16.5,58.3,QB,Rice
1564,Larry Lawrence,17,1968,1969,20,201,395,194,50.9,2987,17,20,4.3,5.1,118.5,7.6,6.14,14.9,149.4,QB,Iowa
1565,Lee Jolly,17,1997,1999,26,146,298,152,49,2063,17,10,5.7,3.4,119.3,6.9,6.55,14.1,79.3,QB,UAB
1566,Mark Carlson,17,1976,1979,44,255,447,192,57,3103,17,21,3.8,4.7,118.5,6.9,5.59,12.2,70.5,QB,Minnesota
1567,Mark Hutsell,17,1979,1979,11,186,302,116,61.6,2276,17,14,5.6,4.6,134.2,7.5,6.58,12.2,206.9,QB,East Tennessee State
1568,Martevious Young,17,2007,2010,21,146,256,110,57,2001,17,5,6.6,2,140.7,7.8,8.27,13.7,95.3,QB,Southern Mississippi
1569,Matt Dunigan,17,1979,1981,29,328,690,362,47.5,4167,17,35,2.5,5.1,96.3,6,4.25,12.7,143.7,QB,Louisiana Tech
1570,Matt Veatch,17,1989,1991,20,233,440,207,53,3474,17,19,3.9,4.3,123.4,7.9,6.73,14.9,173.7,QB,San Jose State
1571,Michael Taylor,17,1986,1989,45,151,252,101,59.9,2083,17,7,6.7,2.8,146.1,8.3,8.37,13.8,46.3,QB,Michigan
1572,Mike McGlamry,17,1974,1977,44,309,610,301,50.7,3684,17,34,2.8,5.6,99.4,6,4.09,11.9,83.7,QB,Wake Forest
1573,Nate Romine,17,2013,2017,31,119,253,134,47,2293,17,8,6.7,3.2,139,9.1,8.98,19.3,74,QB,Air Force
1574,Nick Vidnovic,17,1971,1973,33,119,237,118,50.2,1692,17,11,7.2,4.6,124.6,7.1,6.49,14.2,51.3,QB,North Carolina
1575,Omarr Conner,17,2003,2006,39,269,508,239,53,3070,17,15,3.3,3,108.9,6,5.38,11.4,78.7,QB,Mississippi State
1576,Pat Julmiste,17,2003,2006,37,289,591,302,48.9,3642,17,23,2.9,3.9,102.4,6.2,4.99,12.6,98.4,QB,South Florida
1577,Paul Miller,17,1969,1971,32,139,256,117,54.3,1977,17,13,6.6,5.1,130.9,7.7,6.77,14.2,61.8,QB,North Carolina
1578,Phil O'Neil,17,1966,1968,30,185,399,214,46.4,2557,17,23,4.3,5.8,102.7,6.4,4.67,13.8,85.2,QB,Holy Cross
1579,Reid Lamport,17,1971,1973,30,169,404,235,41.8,2520,17,30,4.2,7.4,93.3,6.2,3.74,14.9,84,QB,Bowling Green
1580,Rick Egloff,17,1964,1966,30,106,259,153,40.9,1518,17,15,6.6,5.8,100.2,5.9,4.57,14.3,50.6,QB,Wyoming
1581,Roger LaBrasca,17,1956,1957,17,125,261,136,47.9,1735,17,18,6.5,6.9,111.4,6.6,4.85,13.9,102.1,QB,Drake
1582,Ron Calcagni,17,1975,1978,44,156,307,151,50.8,2361,17,17,5.5,5.5,122.6,7.7,6.31,15.1,53.7,QB,Arkansas
1583,Ryan Hancock,17,1992,1992,9,165,288,123,57.3,2635,17,13,5.9,4.5,144.6,9.1,8.3,16,292.8,QB,BYU
1584,Ryan Williams,17,2010,2014,23,202,343,141,58.9,2581,17,11,5,3.2,132,7.5,7.07,12.8,112.2,QB,"Memphis,Miami (FL)"
1585,Scott Mutryn,17,1994,1998,27,261,474,213,55.1,3119,17,25,3.6,5.3,111.6,6.6,4.92,12,115.5,QB,Boston College
