,,,,,,,,,,,Passing,,,,,,,,,,,,,,,
824,Taylor Price,2,NWE,3,90,2010,Ohio,2006,2009,52,3,5,2,60,79,2,0,40,0,324.7,15.8,23.8,26.3,1.5,WR,Ohio
825,Terry Barr,2,DET,3,36,1957,Michigan,1956,1956,9,5,6,1,83.3,187,2,0,33.3,0,455.1,31.2,37.83,37.4,20.8,RB,Michigan
826,Thurman Thomas,2,BUF,2,40,1988,Oklahoma State,1984,1987,44,2,3,1,66.7,15,2,0,66.7,0,328.7,5,18.33,7.5,0.3,RB,Oklahoma State
827,Tim Dwight,2,ATL,4,114,1998,Iowa,1994,1997,44,3,6,3,50,95,2,1,33.3,16.7,259.7,15.8,15,31.7,2.2,RB,Iowa
828,Tim Worley,2,PIT,1,7,1989,Georgia,1985,1988,26,2,3,1,66.7,36,2,0,66.7,0,387.5,12,25.33,18,1.4,RB,Georgia
829,Tony Darden,2,MIN,7,225,1998,Texas Tech,1994,1997,43,26,61,35,42.6,381,2,2,3.3,3.3,99.4,6.2,5.43,14.7,8.9,QB,Texas Tech
830,Travis McGriff,2,DEN,3,93,1999,Florida,1994,1998,45,2,3,1,66.7,59,2,0,66.7,0,451.9,19.7,33,29.5,1.3,WR,Florida
831,Vinny Sutherland,2,ATL,5,136,2001,Purdue,1997,2000,44,3,7,4,42.9,37,2,1,28.6,14.3,153,5.3,4.57,12.3,0.8,WR,Purdue
832,Wali Lundy,2,HTX,6,170,2006,Virginia,2002,2005,49,2,5,3,40,56,2,0,40,0,266.1,11.2,19.2,28,1.1,RB,Virginia
833,Warren Bankston,2,PIT,2,42,1969,Tulane,1966,1968,30,29,72,43,40.3,298,2,9,2.8,12.5,59.2,4.1,-0.93,10.3,9.9,QB,Tulane
834,Aaron Jones,1,GNB,5,182,2017,UTEP,2013,2016,35,1,2,1,50,3,1,0,50,0,227.6,1.5,11.5,3,0.1,RB,UTEP
835,Adrian Arrington,1,NOR,7,237,2008,Michigan,2004,2007,35,1,2,1,50,11,1,0,50,0,261.2,5.5,15.5,11,0.3,WR,Michigan
836,A.J. Derby,1,NWE,6,202,2015,Arkansas,2011,2014,25,22,42,20,52.4,208,1,1,2.4,2.4,97.1,5,4.36,9.5,8.3,QB,"Arkansas,Iowa"
837,Al Toon,1,NYJ,1,10,1985,Wisconsin,1982,1984,33,2,7,5,28.6,40,1,1,14.3,14.3,95.1,5.7,2.14,20,1.2,WR,Wisconsin
838,Alex Van Dyke,1,NYJ,2,31,1996,Nevada,1994,1995,22,1,1,0,100,35,1,0,100,0,724,35,55,35,1.6,WR,Nevada
839,Allen Pinkett,1,OTI,3,61,1986,Notre Dame,1982,1985,43,3,3,0,100,89,1,0,33.3,0,459.2,29.7,36.33,29.7,2.1,RB,Notre Dame
840,Alvin Moore,1,CLT,7,169,1983,Arizona State,1978,1982,41,1,2,1,50,54,1,0,50,0,441.8,27,37,54,1.3,RB,Arizona State
841,Amos Lawrence,1,SDG,4,103,1981,North Carolina,1977,1980,44,2,7,5,28.6,35,1,1,14.3,14.3,89.1,5,1.43,17.5,0.8,RB,North Carolina
842,Andre Caldwell,1,CIN,3,97,2008,Florida,2003,2007,53,2,3,1,66.7,35,1,0,33.3,0,274.7,11.7,18.33,17.5,0.7,WR,Florida
843,Andy Hall,1,PHI,6,185,2004,,2000,2001,9,19,43,24,44.2,299,1,2,2.3,4.7,101,7,5.33,15.7,33.2,QB,Georgia Tech
844,Anquan Boldin,1,CRD,2,54,2003,Florida State,1999,2002,36,7,16,9,43.8,111,1,0,6.3,0,122.7,6.9,8.19,15.9,3.1,WR,Florida State
845,Anthony Davis,1,NYJ,2,37,1975,USC,1972,1974,33,1,1,0,100,9,1,0,100,0,505.6,9,29,9,0.3,RB,USC
846,Anthony Hutchison,1,CHI,10,256,1983,Texas Tech,1979,1982,44,1,2,1,50,4,1,0,50,0,231.8,2,12,4,0.1,RB,Texas Tech
847,Antonio Brown,1,PIT,6,195,2010,Central Michigan,2007,2009,41,2,5,3,40,26,1,0,20,0,149.7,5.2,9.2,13,0.6,WR,Central Michigan
848,Antonio Callaway,1,CLE,4,105,2018,Florida,2015,2016,26,1,1,0,100,2,1,0,100,0,446.8,2,22,2,0.1,WR,Florida
849,Aundrae Allison,1,MIN,5,146,2007,East Carolina,2005,2006,22,2,4,2,50,75,1,0,25,0,290,18.8,23.75,37.5,3.4,WR,East Carolina
850,Barry Smith,1,GNB,1,21,1973,Florida State,1970,1972,33,1,1,0,100,16,1,0,100,0,564.4,16,36,16,0.5,WR,Florida State
851,Benjamin Snell Jr.,1,PIT,4,122,2019,Kentucky,2016,2018,39,3,7,4,42.9,59,1,0,14.3,0,160.8,8.4,11.29,19.7,1.5,RB,Kentucky
852,Bernie Parrish,1,CLE,9,108,1958,Florida,1956,1957,19,1,6,5,16.7,46,1,0,16.7,0,136.1,7.7,11,46,2.4,RB,Florida
853,Bill Campfield,1,PHI,11,288,1978,Kansas,1974,1977,44,1,4,3,25,82,1,0,25,0,279.7,20.5,25.5,82,1.9,RB,Kansas
854,Billy Gambrell,1,NWE,12,92,1963,South Carolina,1960,1962,30,4,17,13,23.5,70,1,3,5.9,17.6,42.2,4.1,-2.65,17.5,2.3,RB,South Carolina
855,Billy McMullen,1,PHI,3,95,2003,Virginia,1999,2002,48,2,3,1,66.7,30,1,0,33.3,0,260.7,10,16.67,15,0.6,WR,Virginia
856,Bobby Moore,1,CRD,1,4,1972,Oregon,1969,1971,32,1,11,10,9.1,32,1,0,9.1,0,63.5,2.9,4.73,32,1,WR,Oregon
857,Bobby Morse,1,PHI,12,316,1987,Michigan State,1983,1986,43,1,4,3,25,12,1,1,25,25,82.7,3,-3.25,12,0.3,RB,Michigan State
858,Bobby Walden,1,OTI,4,31,1961,Georgia,1959,1960,20,2,3,1,66.7,30,1,0,33.3,0,260.7,10,16.67,15,1.5,RB,Georgia
859,Brady Keys,1,PIT,14,162,1960,Colorado State,1959,1960,20,5,18,13,27.8,115,1,3,5.6,16.7,66.4,6.4,0,23,5.8,RB,Colorado State
860,Braelon Allen,1,NYJ,4,134,2024,Wisconsin,2021,2023,35,2,3,1,66.7,33,1,0,33.3,0,269.1,11,17.67,16.5,0.9,RB,Wisconsin
861,Brandon Stokley,1,RAV,4,105,1999,Louisiana,1995,1998,37,1,2,1,50,58,1,0,50,0,458.6,29,39,58,1.6,WR,Louisiana
862,Brayden Willis,1,SFO,7,247,2023,Oklahoma,2018,2022,58,1,1,0,100,24,1,0,100,0,631.6,24,44,24,0.4,TE,Oklahoma
863,Brent Fullwood,1,GNB,1,4,1987,Auburn,1983,1986,45,1,1,0,100,31,1,0,100,0,690.4,31,51,31,0.7,RB,Auburn
864,Brock Forsey,1,CHI,6,206,2003,Boise State,1999,2002,47,1,3,2,33.3,25,1,0,33.3,0,213.3,8.3,15,25,0.5,RB,Boise State
865,Bruce Ellington,1,SFO,4,106,2014,South Carolina,2011,2013,38,4,5,1,80,36,1,0,20,0,206.5,7.2,11.2,9,0.9,WR,South Carolina
866,Bruce Maher,1,OTI,,,1960,Detroit Mercy,1957,1959,28,2,6,4,33.3,51,1,1,16.7,16.7,126.4,8.5,4.33,25.5,1.8,RB,Detroit Mercy
867,Bruce Mathison,1,SDG,10,272,1983,Nebraska,1980,1982,34,14,33,19,42.4,189,1,2,3,6.1,88.4,5.7,3.61,13.5,5.6,QB,Nebraska
868,Bud Sasser,1,RAM,6,201,2015,Missouri,2011,2014,48,1,1,0,100,40,1,0,100,0,766,40,60,40,0.8,WR,Missouri
869,Carl Ward,1,CLE,4,83,1967,Michigan,1964,1966,29,2,3,1,66.7,7,1,0,33.3,0,196.3,2.3,9,3.5,0.2,RB,Michigan
870,Carlos King,1,PIT,4,123,1998,North Carolina State,1994,1997,38,1,1,0,100,22,1,0,100,0,614.8,22,42,22,0.6,RB,North Carolina State
871,Cadillac Williams,1,TAM,1,5,2005,Auburn,2001,2004,42,2,2,0,100,48,1,0,50,0,466.6,24,34,24,1.1,RB,Auburn
872,Cedric Jones,1,NWE,3,56,1982,Duke,1978,1981,43,3,3,0,100,5,1,0,33.3,0,224,1.7,8.33,1.7,0.1,WR,Duke
873,CeeDee Lamb,1,DAL,1,17,2020,Oklahoma,2017,2019,41,1,2,1,50,2,1,0,50,0,223.4,1,11,2,0,WR,Oklahoma
874,Charlie Waters,1,DAL,3,66,1970,Clemson,1967,1969,30,28,63,35,44.4,332,1,3,1.6,4.8,84.4,5.3,3.44,11.9,11.1,QB,Clemson
875,Chase Coffman,1,CIN,3,98,2009,Missouri,2005,2008,50,1,3,2,33.3,29,1,0,33.3,0,224.5,9.7,16.33,29,0.6,TE,Missouri
876,Chatarius Atwell,1,RAM,2,57,2021,Louisville,2018,2020,34,1,4,3,25,33,1,0,25,0,176.8,8.3,13.25,33,1,WR,Louisville
877,Chris Doering,1,JAX,6,185,1996,Florida,1992,1995,40,3,4,1,75,70,1,0,25,0,304.5,17.5,22.5,23.3,1.8,WR,Florida
878,Chris Mohr,1,TAM,6,146,1989,Alabama,1985,1988,45,1,1,0,100,12,1,0,100,0,530.8,12,32,12,0.3,P,Alabama
879,Chuck Foreman,1,MIN,1,12,1973,Miami (FL),1970,1972,33,1,5,4,20,15,1,0,20,0,111.2,3,7,15,0.5,RB,Miami (FL)
880,Chuck Ramsey,1,NWE,6,141,1974,Wake Forest,1971,1973,33,18,53,35,34,207,1,4,1.9,7.5,57.9,3.9,0.89,11.5,6.3,QB,Wake Forest
881,C.J. Uzomah,1,CIN,5,157,2015,Auburn,2011,2014,43,2,4,2,50,3,1,1,25,25,88.8,0.8,-5.5,1.5,0.1,TE,Auburn
882,Clarence Peaks,1,PHI,1,7,1957,Michigan State,1956,1956,9,3,4,1,75,60,1,0,25,0,283.5,15,20,20,6.7,RB,Michigan State
883,Clendon Thomas,1,RAM,2,19,1958,Oklahoma,1956,1957,20,5,19,14,26.3,79,1,3,5.3,15.8,47,4.2,-1.89,15.8,4,RB,Oklahoma
884,Cliff Branch,1,RAI,4,98,1972,Colorado,1970,1971,21,2,4,2,50,88,1,0,25,0,317.3,22,27,44,4.2,WR,Colorado
885,Clyde Edwards-Helaire,1,KAN,1,32,2020,LSU,2017,2019,41,1,1,0,100,11,1,0,100,0,522.4,11,31,11,0.3,RB,LSU
886,Colby Parkinson,1,SEA,4,133,2020,Stanford,2017,2019,39,1,1,0,100,8,1,0,100,0,497.2,8,28,8,0.2,TE,Stanford
887,Cotton Speyrer,1,WAS,2,38,1971,Texas,1968,1970,24,1,1,0,100,37,1,0,100,0,740.8,37,57,37,1.5,WR,Texas
888,Courtney Taylor,1,SEA,6,197,2007,Auburn,2003,2006,50,1,1,0,100,28,1,0,100,0,665.2,28,48,28,0.6,WR,Auburn
889,Coy Wire,1,BUF,3,97,2002,Stanford,1998,2001,39,1,2,1,50,26,1,0,50,0,324.2,13,23,26,0.7,RB,Stanford
890,Craig Heyward,1,NOR,1,24,1988,Pitt,1984,1987,33,2,2,0,100,57,1,0,50,0,504.4,28.5,38.5,28.5,1.7,RB,Pitt
891,Crockett Gillmore,1,RAV,3,99,2014,Colorado State,2010,2013,45,1,1,0,100,27,1,0,100,0,656.8,27,47,27,0.6,DL,Colorado State
892,Curtis Adams,1,SDG,8,207,1985,Central Michigan,1981,1984,38,1,1,0,100,6,1,0,100,0,480.4,6,26,6,0.2,RB,Central Michigan
893,Cyrus Gray,1,KAN,6,182,2012,Texas A&M,2008,2011,49,1,2,1,50,14,1,0,50,0,273.8,7,17,14,0.3,RB,Texas A&M
894,Dante Pettis,1,SFO,2,44,2018,Washington,2014,2017,53,3,5,2,60,125,1,0,20,0,336,25,29,41.7,2.4,WR,Washington
895,Darrell Henderson,1,RAM,3,70,2019,Memphis,2016,2018,38,1,2,1,50,4,1,0,50,0,231.8,2,12,4,0.1,RB,Memphis
896,David Adams,1,CLT,12,309,1987,Arizona,1984,1986,32,1,3,2,33.3,15,1,0,33.3,0,185.3,5,11.67,15,0.5,RB,Arizona
897,David Anderson,1,HTX,7,251,2006,Colorado State,2002,2005,46,1,2,1,50,34,1,0,50,0,357.8,17,27,34,0.7,WR,Colorado State
898,David Givens,1,NWE,7,253,2002,Notre Dame,1998,2001,44,3,5,2,60,102,1,0,20,0,297.4,20.4,24.4,34,2.3,WR,Notre Dame
899,David Sims,1,SEA,7,169,1977,Georgia Tech,1974,1976,33,4,7,3,57.1,64,1,2,14.3,28.6,123.9,9.1,-0.86,16,1.9,RB,Georgia Tech
900,Deltha O'Neal,1,DEN,1,15,2000,California,1996,1999,44,1,2,1,50,20,1,1,50,50,199,10,-2.5,20,0.5,RB,California
901,Derek Hill,1,PIT,3,61,1989,Arizona,1985,1988,43,1,2,1,50,41,1,0,50,0,387.2,20.5,30.5,41,1,WR,Arizona
902,Deuce McAllister,1,NOR,1,23,2001,Ole Miss,1997,2000,43,3,3,0,100,52,1,0,33.3,0,355.6,17.3,24,17.3,1.2,RB,Ole Miss
903,Devier Posey,1,HTX,3,68,2012,Ohio State,2008,2011,42,1,1,0,100,39,1,0,100,0,757.6,39,59,39,0.9,WR,Ohio State
904,Devin Fuller,1,ATL,7,238,2016,UCLA,2012,2015,45,3,4,1,75,41,1,0,25,0,243.6,10.3,15.25,13.7,0.9,QB,UCLA
905,Devontae Booker,1,DEN,4,136,2016,Utah,2014,2015,23,1,1,0,100,25,1,0,100,0,640,25,45,25,1.1,RB,Utah
906,Dexter McCleon,1,RAM,2,40,1997,Clemson,1993,1996,43,9,19,10,47.4,191,1,3,5.3,15.8,117.6,10.1,4,21.2,4.4,QB,Clemson
907,Dexter McCluster,1,KAN,2,36,2010,Ole Miss,2006,2009,40,1,6,5,16.7,27,1,2,16.7,33.3,42.8,4.5,-7.17,27,0.7,RB,Ole Miss
908,Dicky Lyons,1,ATL,4,103,1969,Kentucky,1966,1968,30,16,45,29,35.6,270,1,5,2.2,11.1,71.1,6,1.44,16.9,9,RB,Kentucky
909,Donnel Pumphrey,1,PHI,4,132,2017,San Diego State,2013,2016,54,1,5,4,20,16,1,0,20,0,112.9,3.2,7.2,16,0.3,RB,San Diego State
910,Dri Archer,1,PIT,3,97,2014,Kent State,2009,2013,47,1,1,0,100,24,1,0,100,0,631.6,24,44,24,0.5,RB,Kent State
911,Duce Staley,1,PHI,3,71,1997,South Carolina,1995,1996,22,1,1,0,100,2,1,0,100,0,446.8,2,22,2,0.1,RB,South Carolina
912,Duke Johnson,1,CLE,3,77,2015,Miami (FL),2012,2014,33,1,2,1,50,8,1,0,50,0,248.6,4,14,8,0.2,RB,Miami (FL)
913,D'Wayne Bates,1,CHI,3,71,1999,Northwestern,1995,1998,35,2,3,1,66.7,49,1,0,33.3,0,313.9,16.3,23,24.5,1.4,WR,Northwestern
914,Dwight Collins,1,MIN,6,154,1984,Pitt,1980,1983,44,2,2,0,100,64,1,0,50,0,533.8,32,42,32,1.5,WR,Pitt
915,Earl Bennett,1,CHI,3,70,2008,Vanderbilt,2005,2007,35,2,4,2,50,45,1,0,25,0,227,11.3,16.25,22.5,1.3,WR,Vanderbilt
916,Earl Cooper,1,SFO,1,13,1980,Rice,1976,1979,44,2,4,2,50,30,1,0,25,0,195.5,7.5,12.5,15,0.7,RB,Rice
917,Ed Sutton,1,WAS,3,33,1957,North Carolina,1956,1956,10,5,14,9,35.7,71,1,4,7.1,28.6,44.7,5.1,-6.36,14.2,7.1,RB,North Carolina
918,Eddie Fuller,1,BUF,4,100,1990,LSU,1986,1989,44,2,4,2,50,75,1,0,25,0,290,18.8,23.75,37.5,1.7,RB,LSU
919,Eddie Royal,1,DEN,2,42,2008,Virginia Tech,2004,2007,51,1,5,4,20,53,1,2,20,40,95,10.6,-3.4,53,1,WR,Virginia Tech
920,E.J. Biggers,1,TAM,7,217,2009,Western Michigan,2005,2008,46,2,2,0,100,95,1,0,50,0,664,47.5,57.5,47.5,2.1,DB,Western Michigan
921,Elliott Walker,1,SFO,6,148,1978,Pitt,1974,1977,42,2,3,1,66.7,21,1,1,33.3,33.3,168.8,7,-1.33,10.5,0.5,RB,Pitt
922,Eric Bieniemy,1,SDG,2,39,1991,Colorado,1987,1990,40,2,3,1,66.7,63,1,0,33.3,0,353.1,21,27.67,31.5,1.6,RB,Colorado
923,Eric Bjornson,1,DAL,4,110,1995,Washington,1991,1994,43,55,130,75,42.3,631,1,5,0.8,3.8,77.9,4.9,3.28,11.5,14.7,QB,Washington
924,Eric Weddle,1,SDG,2,37,2007,Utah,2003,2006,48,2,6,4,33.3,43,1,1,16.7,16.7,115.2,7.2,3,21.5,0.9,DB,Utah
925,Ethan Horton,1,KAN,1,15,1985,North Carolina,1981,1984,44,2,9,7,22.2,19,1,0,11.1,0,76.6,2.1,4.33,9.5,0.4,RB,North Carolina
926,Evan Spencer,1,WAS,6,187,2015,Ohio State,2011,2014,46,1,1,0,100,13,1,0,100,0,539.2,13,33,13,0.3,WR,Ohio State
927,Floyd Little,1,DEN,1,6,1967,Syracuse,1964,1966,30,3,6,3,50,19,1,0,16.7,0,131.6,3.2,6.5,6.3,0.6,RB,Syracuse
928,Fred Willis,1,CIN,4,93,1971,Boston College,1968,1970,28,1,7,6,14.3,45,1,0,14.3,0,115.4,6.4,9.29,45,1.6,RB,Boston College
929,Garry James,1,DET,2,29,1986,LSU,1982,1985,42,2,5,3,40,49,1,0,20,0,188.3,9.8,13.8,24.5,1.2,RB,LSU
930,George Adams,1,NYG,1,19,1985,Kentucky,1981,1984,39,1,4,3,25,2,1,0,25,0,111.7,0.5,5.5,2,0.1,RB,Kentucky
931,Gerald Everett,1,RAM,2,44,2017,South Alabama,2014,2016,37,1,1,0,100,7,1,0,100,0,488.8,7,27,7,0.2,TE,"South Alabama,UAB"
932,Gerald Willhite,1,DEN,1,21,1982,San Jose State,1980,1981,22,2,2,0,100,73,1,0,50,0,571.6,36.5,46.5,36.5,3.3,RB,San Jose State
933,Gordon Bell,1,NYG,4,104,1976,Michigan,1973,1975,33,1,1,0,100,11,1,0,100,0,522.4,11,31,11,0.3,RB,Michigan
934,Greg Jennings,1,GNB,2,52,2006,Western Michigan,2002,2005,42,1,3,2,33.3,22,1,1,33.3,33.3,138.3,7.3,-1,22,0.5,WR,Western Michigan
935,Greg McMurtry,1,NWE,3,80,1990,Michigan,1986,1989,45,1,2,1,50,46,1,1,50,50,308.2,23,10.5,46,1,WR,Michigan
936,Hank Bjorklund,1,NYJ,12,299,1972,Princeton,1969,1971,27,2,9,7,22.2,40,1,1,11.1,11.1,74,4.4,1.67,20,1.5,RB,Princeton
937,Harvey Williams,1,KAN,1,21,1991,LSU,1986,1990,40,1,2,1,50,43,1,0,50,0,395.6,21.5,31.5,43,1.1,RB,LSU
938,Heath Miller,1,PIT,1,30,2005,Virginia,2002,2004,39,1,1,0,100,20,1,0,100,0,598,20,40,20,0.5,TE,Virginia
939,Horace King,1,DET,6,141,1975,Georgia,1972,1974,33,5,11,6,45.5,119,1,0,9.1,0,166.3,10.8,12.64,23.8,3.6,RB,Georgia
940,Zay Jones,1,BUF,2,37,2017,East Carolina,2013,2016,49,3,4,1,75,36,1,0,25,0,233.1,9,14,12,0.7,WR,East Carolina
941,Jackie Simpson,1,CLT,4,44,1957,Florida,1956,1956,10,1,2,1,50,47,1,1,50,50,312.4,23.5,11,47,4.7,RB,Florida
942,Jacoby Ford,1,RAI,4,108,2010,Clemson,2006,2009,48,2,2,0,100,55,1,0,50,0,496,27.5,37.5,27.5,1.1,WR,Clemson
943,Jacquez Green,1,TAM,2,34,1998,Florida,1995,1997,34,2,2,0,100,30,1,0,50,0,391,15,25,15,0.9,WR,Florida
944,Jaime Covington,1,MIN,9,227,1985,Syracuse,1980,1984,55,1,3,2,33.3,9,1,1,33.3,33.3,101.9,3,-5.33,9,0.2,RB,Syracuse
945,Jakeem Grant,1,MIA,6,186,2016,Texas Tech,2012,2015,49,1,1,0,100,72,1,0,100,0,1034.8,72,92,72,1.5,WR,Texas Tech
946,James Jones,1,GNB,3,78,2007,San Jose State,2003,2006,44,3,7,4,42.9,58,1,0,14.3,0,159.6,8.3,11.14,19.3,1.3,WR,San Jose State
947,James Jones,1,DET,1,13,1983,Florida,1979,1982,43,5,6,1,83.3,51,1,0,16.7,0,209.7,8.5,11.83,10.2,1.2,RB,Florida
948,James Stewart,1,JAX,1,19,1995,Tennessee,1991,1994,44,1,1,0,100,14,1,0,100,0,547.6,14,34,14,0.3,RB,Tennessee
949,James White,1,NWE,4,130,2014,Wisconsin,2010,2013,52,1,2,1,50,3,1,0,50,0,227.6,1.5,11.5,3,0.1,RB,Wisconsin
950,Jamison Crowder,1,WAS,4,105,2015,Duke,2011,2014,52,2,4,2,50,33,1,0,25,0,201.8,8.3,13.25,16.5,0.6,WR,Duke
951,Jarett Dillard,1,JAX,5,144,2009,Rice,2005,2008,49,1,2,1,50,13,1,0,50,0,269.6,6.5,16.5,13,0.3,WR,Rice
952,Jawan Jamison,1,WAS,7,228,2013,Rutgers,2011,2012,25,1,1,0,100,16,1,0,100,0,564.4,16,36,16,0.6,RB,Rutgers
953,Jay Riemersma,1,BUF,7,244,1996,Michigan,1992,1995,44,6,14,8,42.9,79,1,0,7.1,0,113.8,5.6,7.07,13.2,1.8,QB,Michigan
954,Jayden Reed,1,GNB,2,50,2023,Michigan State,2018,2022,44,1,1,0,100,25,1,0,100,0,640,25,45,25,0.6,WR,"Michigan State,Western Michigan"
955,Jaylen Samuels,1,PIT,5,165,2018,North Carolina State,2014,2017,52,2,3,1,66.7,84,1,0,33.3,0,411.9,28,34.67,42,1.6,TE,North Carolina State
956,Jeff Graham,1,PIT,2,46,1991,Ohio State,1988,1990,33,1,2,1,50,60,1,0,50,0,467,30,40,60,1.8,WR,Ohio State
957,Jeremy Kerley,1,NYJ,5,153,2011,Texas Christian,2007,2010,50,5,7,2,71.4,135,1,1,14.3,14.3,252,19.3,15.71,27,2.7,WR,Texas Christian
958,Jerry Eckwood,1,TAM,3,60,1979,Arkansas,1975,1978,33,6,14,8,42.9,128,1,1,7.1,7.1,128.9,9.1,7.36,21.3,3.9,RB,Arkansas
959,Jim Bakken,1,RAM,7,88,1962,Wisconsin,1959,1961,27,16,37,21,43.2,228,1,5,2.7,13.5,76.9,6.2,0.62,14.3,8.4,QB,Wisconsin
960,Jim Brown,1,CLE,1,6,1957,Syracuse,1956,1956,8,3,4,1,75,76,1,0,25,0,317.1,19,24,25.3,9.5,RB,Syracuse
961,Jim Kiick,1,MIA,5,118,1968,Wyoming,1965,1967,30,4,11,7,36.4,83,1,0,9.1,0,129.7,7.5,9.36,20.8,2.8,RB,Wyoming
962,Jim Ridlon,1,SFO,4,39,1957,Syracuse,1956,1956,8,5,9,4,55.6,118,1,1,11.1,11.1,180.1,13.1,10.33,23.6,14.8,RB,Syracuse
963,Jim Shofner,1,CLE,1,13,1958,Texas Christian,1956,1957,20,6,17,11,35.3,122,1,2,5.9,11.8,91.5,7.2,3.06,20.3,6.1,RB,Texas Christian
964,Jo Jo Heath,1,CIN,6,141,1980,Pitt,1976,1979,44,1,1,0,100,34,1,0,100,0,715.6,34,54,34,0.8,RB,Pitt
965,Joe Adams,1,CAR,4,104,2012,Arkansas,2008,2011,47,1,1,0,100,6,1,0,100,0,480.4,6,26,6,0.1,WR,Arkansas
966,Joe McIntosh,1,DET,5,118,1985,North Carolina State,1981,1984,39,1,3,2,33.3,7,1,1,33.3,33.3,96.3,2.3,-6,7,0.2,RB,North Carolina State
967,Joe Mixon,1,CIN,2,48,2017,Oklahoma,2015,2016,25,1,1,0,100,26,1,0,100,0,648.4,26,46,26,1,RB,Oklahoma
