,,,,,,,,,,,Rushing,,,,,,
53,Dalvin Cook,4464,MIN,2,41,2017,Florida State,2014,2016,38,687,4464,6.5,46,117.5,RB,Florida State
54,J.K. Dobbins,4459,RAV,2,55,2020,Ohio State,2017,2019,42,725,4459,6.2,38,106.2,RB,Ohio State
55,Eric Dickerson,4450,RAM,1,2,1983,SMU,1979,1982,44,790,4450,5.6,47,101.1,RB,SMU
56,Earl Campbell,4443,OTI,1,1,1978,Texas,1974,1977,40,765,4443,5.8,40,111.1,RB,Texas
57,Johnathan Franklin,4403,GNB,4,125,2013,UCLA,2009,2012,53,788,4403,5.6,31,83.1,RB,UCLA
58,Javon Ringer,4398,OTI,5,173,2009,Michigan State,2005,2008,45,843,4398,5.2,34,97.7,RB,Michigan State
59,Amos Lawrence,4391,SDG,4,103,1981,North Carolina,1977,1980,44,881,4391,5,28,99.8,RB,North Carolina
60,AJ Dillon,4382,GNB,2,62,2020,Boston College,2017,2019,36,845,4382,5.2,38,121.7,RB,Boston College
61,Troy Davis,4382,NOR,3,62,1997,Iowa State,1994,1996,31,782,4382,5.6,36,141.4,RB,Iowa State
62,Mewelde Moore,4364,MIN,4,119,2004,Tulane,2000,2003,44,909,4364,4.8,21,99.2,WR,Tulane
63,Malcolm Perry,4359,MIA,7,246,2020,Navy,2016,2019,41,614,4359,7.1,40,106.3,QB,Navy
64,Bob Ferguson,4324,SDG,1,8,1962,Ohio State,1959,1961,54,846,4324,5.1,52,80.1,RB,Ohio State
65,Autry Denson,4318,TAM,7,233,1999,Notre Dame,1995,1998,45,854,4318,5.1,43,96,RB,Notre Dame
66,Elijah McGuire,4312,NYJ,6,188,2017,Louisiana,2013,2016,51,711,4312,6.1,42,84.5,RB,Louisiana
67,Gary Wood,4312,NWE,17,132,1964,Cornell,1961,1963,54,866,4312,5,36,79.9,QB,Cornell
68,Bo Jackson,4303,RAI,7,183,1987,Auburn,1982,1985,45,650,4303,6.6,43,95.6,RB,Auburn
69,Stepfan Taylor,4300,CRD,5,140,2013,Stanford,2009,2012,53,843,4300,5.1,40,81.1,RB,Stanford
70,Joe Morris,4299,NYG,2,45,1982,Syracuse,1978,1981,44,813,4299,5.3,25,97.7,RB,Syracuse
71,Brad Smith,4289,NYJ,4,103,2006,Missouri,2002,2005,48,799,4289,5.4,45,89.4,QB,Missouri
72,Devin Singletary,4289,BUF,3,74,2019,Florida Atlantic,2016,2018,38,714,4289,6,66,112.9,RB,Florida Atlantic
73,Brian Hill,4287,ATL,5,156,2017,Wyoming,2014,2016,38,775,4287,5.5,35,112.8,RB,Wyoming
74,Matt Forte,4265,CHI,2,44,2008,Tulane,2004,2007,43,833,4265,5.1,39,99.2,RB,Tulane
75,Ka'Deem Carey,4239,CHI,4,117,2014,Arizona,2011,2013,36,743,4239,5.7,48,117.8,RB,Arizona
76,Kendall Hunter,4181,SFO,4,115,2011,Oklahoma State,2007,2010,46,708,4181,5.9,37,90.9,RB,Oklahoma State
77,Napoleon McCallum,4179,RAI,4,108,1986,Navy,1981,1985,55,908,4179,4.6,31,76,RB,Navy
78,George Swarn,4172,CRD,5,118,1987,Miami (OH),1983,1986,44,881,4172,4.7,22,94.8,RB,Miami (OH)
79,Errict Rhett,4163,TAM,2,34,1994,Florida,1989,1993,48,873,4163,4.8,34,86.7,RB,Florida
80,Curtis Adams,4162,SDG,8,207,1985,Central Michigan,1981,1984,38,761,4162,5.5,43,109.5,RB,Central Michigan
81,Lamont Jordan,4147,NYJ,2,49,2001,Maryland,1997,2000,43,807,4147,5.1,36,96.4,RB,Maryland
82,Byron Hanspard,4135,ATL,2,41,1997,Texas Tech,1994,1996,33,732,4135,5.6,29,125.3,RB,Texas Tech
83,Lamar Jackson,4132,RAV,1,32,2018,Louisville,2015,2017,38,655,4132,6.3,50,108.7,QB,Louisville
84,Allen Pinkett,4131,OTI,3,61,1986,Notre Dame,1982,1985,43,889,4131,4.6,49,96.1,RB,Notre Dame
85,Samaje Perine,4122,WAS,4,114,2017,Oklahoma,2014,2016,36,685,4122,6,49,114.5,RB,Oklahoma
86,Aaron Jones,4114,GNB,5,182,2017,UTEP,2013,2016,35,658,4114,6.3,33,117.5,RB,UTEP
87,Colin Kaepernick,4112,SFO,2,36,2011,Nevada,2007,2010,51,600,4112,6.9,59,80.6,QB,Nevada
88,Anthony Thomas,4098,CHI,2,38,2001,Michigan,1997,2000,44,846,4098,4.8,49,93.1,RB,Michigan
89,Walt Garrison,4082,KAN,17,151,1966,Oklahoma State,1963,1965,58,904,4082,4.5,20,70.4,RB,Oklahoma State
90,Zack Moss,4067,BUF,3,86,2020,Utah,2016,2019,45,712,4067,5.7,38,90.4,RB,Utah
91,Robert Lavette,4066,DAL,4,103,1985,Georgia Tech,1981,1984,43,914,4066,4.4,45,94.6,RB,Georgia Tech
92,Robert Holcombe,4059,RAM,2,37,1998,Illinois,1994,1997,42,931,4059,4.4,25,96.6,RB,Illinois
93,Dalton Hilliard,4050,NOR,2,31,1986,LSU,1982,1985,44,882,4050,4.6,44,92,RB,LSU
94,Brock Forsey,4045,CHI,6,206,2003,Boise State,1999,2002,47,813,4045,5,50,86.1,RB,Boise State
95,Adrian Peterson,4041,MIN,1,7,2007,Oklahoma,2004,2006,31,748,4041,5.4,41,130.4,RB,Oklahoma
96,Napoleon Kaufman,4041,RAI,1,18,1995,Washington,1991,1994,44,710,4041,5.7,33,91.8,RB,Washington
97,Charles Alexander,4035,CIN,1,12,1979,LSU,1975,1978,44,855,4035,4.7,40,91.7,RB,LSU
98,Darrin Nelson,4033,MIN,1,7,1982,Stanford,1977,1981,44,703,4033,5.7,24,91.7,RB,Stanford
99,James White,4015,NWE,4,130,2014,Wisconsin,2010,2013,52,643,4015,6.2,45,77.2,RB,Wisconsin
100,Kimani Vidal,4010,SDG,6,181,2024,Troy,2020,2023,48,781,4010,5.1,33,83.5,RB,Troy
101,Don Perkins,4002,NYJ,,,1960,New Mexico,1957,1959,60,738,4002,5.4,30,66.7,RB,New Mexico
102,Thomas Jones,3998,CRD,1,7,2000,Virginia,1996,1999,44,809,3998,4.9,37,90.9,RB,Virginia
103,Joe Washington,3995,SDG,1,4,1976,Oklahoma,1972,1975,44,656,3995,6.1,30,90.8,RB,Oklahoma
104,Anthony Dixon,3994,SFO,6,173,2010,Mississippi State,2006,2009,48,910,3994,4.4,42,83.2,RB,Mississippi State
105,Mike Voight,3971,CIN,3,76,1977,North Carolina,1973,1976,44,826,3971,4.8,42,90.3,RB,North Carolina
106,Ezekiel Elliott,3961,DAL,1,4,2016,Ohio State,2013,2015,35,592,3961,6.7,43,113.2,RB,Ohio State
107,Warrick Dunn,3959,TAM,1,12,1997,Florida State,1993,1996,45,575,3959,6.9,37,88,RB,Florida State
108,Jamie Morris,3943,WAS,4,109,1988,Michigan,1984,1987,45,745,3943,5.3,21,87.6,RB,Michigan
109,Eric Bieniemy,3940,SDG,2,39,1991,Colorado,1987,1990,40,699,3940,5.6,41,98.5,RB,Colorado
110,Breece Hall,3933,NYJ,2,36,2022,Iowa State,2019,2021,36,718,3933,5.5,50,109.3,RB,Iowa State
111,Laurence Maroney,3933,NWE,1,21,2006,Minnesota,2003,2005,36,660,3933,6,32,109.3,RB,Minnesota
112,Evan Royster,3932,WAS,6,177,2011,Penn State,2007,2010,50,686,3932,5.7,29,78.6,RB,Penn State
113,Emmitt Smith,3928,DAL,1,17,1990,Florida,1987,1989,31,700,3928,5.6,36,126.7,RB,Florida
114,Steve Slaton,3923,HTX,3,89,2008,West Virginia,2005,2007,36,664,3923,5.9,50,109,RB,West Virginia
115,Christian McCaffrey,3922,CAR,1,8,2017,Stanford,2014,2016,38,632,3922,6.2,21,103.2,RB,Stanford
116,Amos Zereoue,3907,PIT,3,95,1999,West Virginia,1996,1998,30,726,3907,5.4,38,130.2,RB,West Virginia
117,Jamaal Williams,3901,GNB,4,134,2017,BYU,2012,2016,43,726,3901,5.4,35,90.7,RB,BYU
118,Antwaan Randle El,3895,PIT,2,62,2002,Indiana,1998,2001,44,857,3895,4.5,44,88.5,QB,Indiana
119,Sedrick Shaw,3894,NWE,3,61,1997,Iowa,1993,1996,43,792,3894,4.9,31,90.6,RB,Iowa
120,James Davis,3881,CLE,6,195,2009,Clemson,2005,2008,50,753,3881,5.2,47,77.6,RB,Clemson
121,Ahman Green,3880,SEA,3,76,1998,Nebraska,1995,1997,33,574,3880,6.8,42,117.6,RB,Nebraska
122,Jacquizz Rodgers,3877,ATL,5,145,2011,Oregon State,2008,2010,36,788,3877,4.9,46,107.7,RB,Oregon State
123,Benjamin Snell Jr.,3873,PIT,4,122,2019,Kentucky,2016,2018,39,737,3873,5.3,48,99.3,RB,Kentucky
124,Steve Owens,3867,DET,1,19,1970,Oklahoma,1967,1969,30,905,3867,4.3,56,128.9,RB,Oklahoma
125,Bryce Love,3866,WAS,4,112,2019,Stanford,2015,2018,49,569,3866,6.8,30,78.9,RB,Stanford
126,Mike Williams,3862,KAN,8,195,1979,New Mexico,1975,1978,46,857,3862,4.5,27,84,RB,New Mexico
127,Najee Harris,3843,PIT,1,24,2021,Alabama,2017,2020,55,638,3843,6,46,69.9,RB,Alabama
128,Saquon Barkley,3843,NYG,1,2,2018,Penn State,2015,2017,38,671,3843,5.7,43,101.1,RB,Penn State
129,June Henley,3841,KAN,5,163,1997,Kansas,1993,1996,42,823,3841,4.7,41,91.5,RB,Kansas
130,Sonny Collins,3835,ATL,2,36,1976,Kentucky,1972,1975,43,777,3835,4.9,26,89.2,RB,Kentucky
131,Cadillac Williams,3831,TAM,1,5,2005,Auburn,2001,2004,42,741,3831,5.2,45,91.2,RB,Auburn
132,Leonard Fournette,3830,JAX,1,4,2017,LSU,2014,2016,32,616,3830,6.2,40,119.7,RB,LSU
133,Billy Sims,3813,DET,1,1,1980,Oklahoma,1975,1979,55,538,3813,7.1,48,69.3,RB,Oklahoma
134,Donald Brown,3800,CLT,1,27,2009,Connecticut,2006,2008,37,698,3800,5.4,33,102.7,RB,Connecticut
135,Jay Ajayi,3796,MIA,5,149,2015,Boise State,2012,2014,38,678,3796,5.6,50,99.9,RB,Boise State
136,Tom Vaughn,3778,DEN,11,81,1965,Iowa State,1962,1964,58,846,3778,4.5,18,65.1,RB,Iowa State
137,Reggie Dupard,3772,NWE,1,26,1986,SMU,1982,1985,44,635,3772,5.9,41,85.7,RB,SMU
138,Greg Allen,3769,CLE,2,35,1985,Florida State,1981,1984,40,624,3769,6,43,94.2,RB,Florida State
139,Quentin Griffin,3756,DEN,4,108,2003,Oklahoma,1999,2002,42,702,3756,5.4,43,89.4,RB,Oklahoma
140,Woody Green,3754,KAN,1,16,1974,Arizona State,1971,1973,33,601,3754,6.2,33,113.8,RB,Arizona State
141,Tony Jeffery,3749,CRD,2,38,1988,Texas Christian,1984,1987,40,665,3749,5.6,31,93.7,RB,Texas Christian
142,Craig James,3742,NWE,7,187,1983,SMU,1979,1982,44,775,3742,4.8,23,85,RB,SMU
143,Andre Williams,3739,NYG,4,113,2014,Boston College,2010,2013,44,704,3739,5.3,28,85,RB,Boston College
144,Blake Corum,3737,RAM,3,83,2024,Michigan,2020,2023,45,674,3737,5.5,58,83,RB,Michigan
145,Billy Cannon,3734,OTI,,,1960,LSU,1957,1959,60,718,3734,5.2,38,62.2,RB,LSU
146,James Conner,3733,PIT,3,105,2017,Pitt,2013,2016,39,668,3733,5.6,52,95.7,RB,Pitt
147,Abner Haynes,3728,RAI,,,1960,North Texas,1957,1959,60,690,3728,5.4,34,62.1,RB,North Texas
148,Larry Rountree III,3720,SDG,6,198,2021,Missouri,2017,2020,48,746,3720,5,40,77.5,RB,Missouri
149,Alex Collins,3703,SEA,5,171,2016,Arkansas,2013,2015,38,665,3703,5.6,36,97.4,RB,Arkansas
150,Curtis Dickey,3703,CLT,1,5,1980,Texas A&M,1976,1979,44,697,3703,5.3,31,84.2,RB,Texas A&M
151,Mel West,3696,NWE,11,82,1961,Missouri,1958,1960,60,782,3696,4.7,8,61.6,RB,Missouri
152,Leon Johnson,3693,NYJ,4,104,1997,North Carolina,1993,1996,45,797,3693,4.6,43,82.1,RB,North Carolina
153,Demarco Murray,3685,DAL,3,71,2011,Oklahoma,2007,2010,50,759,3685,4.9,50,73.7,RB,Oklahoma
154,Ladell Betts,3682,WAS,2,56,2002,Iowa,1998,2001,45,830,3682,4.4,25,81.8,RB,Iowa
155,Jordan Howard,3681,CHI,5,150,2016,Indiana,2013,2015,32,647,3681,5.7,24,115,RB,"Indiana,UAB"
156,Tyrone Wheatley,3671,NYG,1,17,1995,Michigan,1991,1994,39,630,3671,5.8,40,94.1,RB,Michigan
157,Walter Abercrombie,3665,PIT,1,12,1982,Baylor,1978,1981,44,732,3665,5,24,83.3,RB,Baylor
158,Chris Perry,3657,CIN,1,26,2004,Michigan,2000,2003,45,794,3657,4.6,39,81.3,RB,Michigan
159,Bob Gaiters,3656,DEN,1,4,1961,New Mexico State,1959,1960,38,564,3656,6.5,62,96.2,RB,New Mexico State
160,Rashaad Penny,3656,SEA,1,27,2018,San Diego State,2014,2017,54,488,3656,7.5,38,67.7,RB,San Diego State
161,Christopher Rodriguez Jr.,3644,WAS,6,193,2023,Kentucky,2018,2022,45,592,3644,6.2,32,81,RB,Kentucky
162,Joe McIntosh,3642,DET,5,118,1985,North Carolina State,1981,1984,39,729,3642,5,20,93.4,RB,North Carolina State
163,Sony Michel,3638,NWE,1,31,2018,Georgia,2014,2017,47,591,3638,6.2,33,77.4,RB,Georgia
164,Mike Alstott,3635,TAM,2,35,1996,Purdue,1992,1995,44,644,3635,5.6,39,82.6,RB,Purdue
165,Re'Mahn Davis,3626,BUF,4,128,2024,Kentucky,2019,2023,44,746,3626,4.9,29,82.4,RB,"Kentucky,Temple,Vanderbilt"
166,Trung Canidate,3626,RAM,1,31,2000,Arizona,1996,1999,42,558,3626,6.5,25,86.3,WR,Arizona
167,Steven Jackson,3625,RAM,1,24,2004,Oregon State,2001,2003,37,743,3625,4.9,39,98,RB,Oregon State
168,Kenjon Barner,3623,CAR,6,182,2013,Oregon,2009,2012,49,582,3623,6.2,41,73.9,RB,Oregon
169,Ronald Jones,3619,TAM,2,38,2018,USC,2015,2017,40,591,3619,6.1,39,90.5,RB,USC
170,Darnell Autry,3617,CHI,4,105,1997,Northwestern,1994,1996,32,738,3617,4.9,30,113,RB,Northwestern
171,Trayveon Williams,3615,CIN,6,182,2019,Texas A&M,2016,2018,38,600,3615,6,34,95.1,RB,Texas A&M
172,Marlon Mack,3609,CLT,4,143,2017,South Florida,2014,2016,36,586,3609,6.2,32,100.3,RB,South Florida
173,Deuce Vaughn,3604,DAL,6,212,2023,Kansas State,2020,2022,37,651,3604,5.5,34,97.4,RB,Kansas State
174,Mike Cloud,3597,KAN,2,54,1999,Boston College,1995,1998,45,614,3597,5.9,25,79.9,RB,Boston College
175,Ben Garry,3595,CLT,6,161,1978,Southern Mississippi,1974,1977,45,723,3595,5,30,79.9,RB,Southern Mississippi
176,Derrick Henry,3591,OTI,2,45,2016,Alabama,2013,2015,39,602,3591,6,42,92.1,RB,Alabama
177,Eddie George,3578,OTI,1,14,1996,Ohio State,1992,1995,44,643,3578,5.6,43,81.3,RB,Ohio State
178,Bernard Pierce,3570,RAV,3,84,2012,Temple,2009,2011,34,663,3570,5.4,53,105,RB,Temple
179,Shaun Alexander,3565,SEA,1,19,2000,Alabama,1996,1999,42,727,3565,4.9,41,84.9,RB,Alabama
180,Larry Ned,3562,RAI,6,197,2002,San Diego State,1998,2001,37,765,3562,4.7,36,96.3,RB,San Diego State
181,Chase Brown,3558,CIN,5,163,2023,Illinois,2018,2022,49,676,3558,5.3,18,72.6,RB,"Illinois,Pitt"
182,Barry Sanders,3556,DET,1,3,1989,Oklahoma State,1986,1988,30,523,3556,6.8,48,118.5,RB,Oklahoma State
183,Ricky Bell,3553,TAM,1,1,1977,USC,1974,1976,33,672,3553,5.3,28,107.7,RB,USC
184,C.J. Spiller,3547,BUF,1,9,2010,Clemson,2006,2009,52,606,3547,5.9,32,68.2,RB,Clemson
185,Bam Morris,3545,PIT,3,91,1994,Texas Tech,1991,1993,33,638,3545,5.6,37,107.4,RB,Texas Tech
186,Darrell Henderson,3545,RAM,3,70,2019,Memphis,2016,2018,38,431,3545,8.2,36,93.3,RB,Memphis
187,Bo Robinson,3542,DET,3,67,1979,West Texas State,1975,1978,44,653,3542,5.4,23,80.5,RB,West Texas State
188,Justice Hill,3539,RAV,4,113,2019,Oklahoma State,2016,2018,36,632,3539,5.6,30,98.3,RB,Oklahoma State
189,Rick Parros,3537,DEN,4,107,1980,Utah State,1976,1979,44,782,3537,4.5,26,80.4,RB,Utah State
190,Michael Gunter,3536,TAM,4,107,1984,Tulsa,1980,1983,44,568,3536,6.2,32,80.4,RB,Tulsa
191,Alfred Morris,3529,WAS,6,173,2012,Florida Atlantic,2008,2011,47,733,3529,4.8,27,75.1,RB,Florida Atlantic
192,DeWayne McBride,3523,MIN,7,222,2023,UAB,2020,2022,30,484,3523,7.3,36,117.4,RB,UAB
193,James Brooks,3523,SDG,1,24,1981,Auburn,1977,1980,37,621,3523,5.7,24,95.2,RB,Auburn
194,Toby Gerhart,3522,MIN,2,51,2010,Stanford,2006,2009,38,671,3522,5.2,44,92.7,RB,Stanford
195,Duke Johnson,3519,CLE,3,77,2015,Miami (FL),2012,2014,33,526,3519,6.7,26,106.6,RB,Miami (FL)
196,Rueben Mayes,3519,NOR,3,57,1986,Washington State,1982,1985,44,636,3519,5.5,23,80,RB,Washington State
197,Eddie Lee Ivery,3517,GNB,1,15,1979,Georgia Tech,1975,1978,44,609,3517,5.8,22,79.9,RB,Georgia Tech
198,Troy Stradford,3504,MIA,4,99,1987,Boston College,1982,1986,56,662,3504,5.3,27,62.6,RB,Boston College
199,Louie Giammona,3499,NYJ,8,214,1976,Utah State,1973,1975,33,756,3499,4.6,21,106,RB,Utah State
200,Bishop Sankey,3496,OTI,2,54,2014,Washington,2011,2013,38,644,3496,5.4,37,92,RB,Washington
