,,,,,,Rushing,,,,,,
Rk,Player,Yds,From,To,G,Att,Yds,Y/A,TD,Y/G,Pos,Team
544,Kevin Ellison,2486,2014,2016,34,425,2486,5.8,27,73.1,QB,Georgia Southern
545,Collin Klein,2485,2009,2012,48,601,2485,4.1,56,51.8,QB,Kansas State
546,Henry Parrish Jr.,2484,2020,2024,48,448,2484,5.5,22,51.8,RB,"Miami (FL),Ole Miss"
547,Tavion Thomas,2484,2018,2022,37,475,2484,5.2,35,67.1,RB,"Cincinnati,Utah"
548,Kelvin Farmer,2483,1983,1986,37,570,2483,4.4,23,67.1,RB,Toledo
549,Cecil Sapp,2482,1999,2002,28,504,2482,4.9,28,88.6,RB,Colorado State
550,Glen Kehler,2480,1975,1978,44,514,2480,4.8,5,56.4,RB,Rutgers
551,Louis Rankin,2480,2004,2007,40,488,2480,5.1,11,62,RB,Washington
552,T.A. McLendon,2479,2002,2004,32,542,2479,4.6,33,77.5,RB,North Carolina State
553,Jay Lynn Hodgin,2478,1972,1974,33,515,2478,4.8,22,75.1,RB,South Carolina
554,John Pagliaro,2476,1975,1977,27,473,2476,5.2,34,91.7,RB,Yale
555,Adrian Walker,2473,1989,1992,42,501,2473,4.9,17,58.9,RB,Texas
556,Josh Harris,2473,2000,2003,42,596,2473,4.1,43,58.9,QB,Bowling Green
557,Omari Walker,2471,1994,1997,44,566,2471,4.4,32,56.2,RB,Boston College
558,Jeff Demps,2470,2008,2011,51,367,2470,6.7,23,48.4,RB,Florida
559,Mike Gray,2468,1975,1977,32,601,2468,4.1,20,77.1,RB,Central Michigan
560,Zurlon Tipton,2468,2010,2013,35,461,2468,5.4,34,70.5,RB,Central Michigan
561,Justin Davis,2465,2013,2016,43,461,2465,5.3,19,57.3,RB,USC
562,Scott Harley,2465,1995,1997,33,487,2465,5.1,15,74.7,RB,East Carolina
563,Uril Parrish,2465,2002,2005,45,543,2465,4.5,25,54.8,RB,Tulsa
564,Shaun Wilson,2463,2014,2017,49,475,2463,5.2,18,50.3,RB,Duke
565,Curtis Steele,2462,2008,2009,23,416,2462,5.9,22,107,RB,Memphis
566,Damien Rhodes,2461,2002,2005,39,545,2461,4.5,24,63.1,RB,Syracuse
567,Phil Rogers,2461,1973,1975,33,528,2461,4.7,17,74.6,QB,Virginia Tech
568,Omarion Hampton,2460,2022,2024,30,426,2460,5.8,27,82,RB,North Carolina
569,Adrian Killins,2459,2016,2019,51,406,2459,6.1,25,48.2,RB,UCF
570,Chris Nwoke,2455,2010,2013,43,491,2455,5,14,57.1,RB,Colorado State
571,Mark Bonds,2453,2004,2007,42,577,2453,4.3,19,58.4,RB,Western Michigan
572,Marquise Williams,2453,2012,2015,47,491,2453,5,35,52.2,QB,North Carolina
573,Brynn Harvey,2451,2008,2012,43,571,2451,4.3,20,57,RB,UCF
574,Cierre Wood,2447,2010,2012,37,450,2447,5.4,16,66.1,RB,Notre Dame
575,James Hebert,2447,1981,1984,39,486,2447,5,13,62.7,RB,New Mexico State
576,Cade Carney,2446,2016,2019,42,565,2446,4.3,21,58.2,RB,Wake Forest
577,Mike Glenn,2446,1977,1980,42,519,2446,4.7,29,58.2,RB,Furman
578,Mike Mitchell,2446,1993,1997,55,535,2446,4.6,21,44.5,RB,Stanford
579,La'Damian Webb,2443,2020,2023,30,465,2443,5.3,32,81.4,RB,"Florida State,South Alabama"
580,Ed Wesley,2442,2009,2011,36,387,2442,6.3,21,67.8,RB,Texas Christian
581,Mike Grayson,2441,1980,1983,40,574,2441,4.3,17,61,RB,Duke
582,Amir Pinnix,2439,2004,2007,45,462,2439,5.3,18,54.2,RB,Minnesota
