,,,,,,,,,,,Passing,,,,,,,,,,,,,,,
Rk,Player,TD,Draft Team,Round,Pick,Draft Year,Draft College,From,To,G,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Y/A,AY/A,Y/C,Y/G,Pos,Team
65,Davis Webb,83,NYG,3,87,2017,California,2013,2016,35,841,1367,526,61.5,9852,83,34,6.1,2.5,137.1,7.2,7.3,11.7,281.5,QB,"California,Texas Tech"
66,Sean Mannion,83,RAM,3,89,2015,Oregon State,2011,2014,47,1187,1838,651,64.6,13600,83,54,4.5,2.9,135.8,7.4,6.98,11.5,289.4,QB,Oregon State
67,Andrew Luck,82,CLT,1,1,2012,Stanford,2009,2011,38,713,1064,351,67,9430,82,22,7.7,2.1,162.8,8.9,9.47,13.2,248.2,QB,Stanford
68,Colin Kaepernick,82,SFO,2,36,2011,Nevada,2007,2010,51,740,1271,531,58.2,10098,82,24,6.5,1.9,142.5,7.9,8.39,13.6,198,QB,Nevada
69,Brock Purdy,81,SFO,7,262,2022,Iowa State,2018,2021,48,993,1467,474,67.7,12170,81,33,5.5,2.2,151.1,8.3,8.39,12.3,253.5,QB,Iowa State
70,Drew Brees,81,SDG,2,32,2001,Purdue,1997,2000,41,942,1525,583,61.8,10909,81,41,5.3,2.7,134,7.2,7.01,11.6,266.1,QB,Purdue
71,Eli Manning,81,SDG,1,1,2004,Ole Miss,2000,2003,43,829,1363,534,60.8,10119,81,35,5.9,2.6,137.7,7.4,7.46,12.2,235.3,QB,Ole Miss
72,Kenny Pickett,81,PIT,1,20,2022,Pitt,2017,2021,52,1045,1674,629,62.4,12303,81,32,4.8,1.9,136.3,7.3,7.46,11.8,236.6,QB,Pitt
73,Will Grier,81,CAR,3,100,2019,West Virginia,2015,2018,28,622,946,324,65.8,8558,81,23,8.6,2.4,165.1,9,9.66,13.8,305.6,QB,"Florida,West Virginia"
74,Bryce Young,80,CAR,1,1,2023,Alabama,2020,2022,35,624,949,325,65.8,8356,80,12,8.4,1.3,165,8.8,9.92,13.4,238.7,QB,Alabama
75,Hendon Hooker,80,DET,3,68,2023,Tennessee,2018,2022,49,632,944,312,66.9,8974,80,12,8.5,1.3,172.2,9.5,10.63,14.2,183.1,QB,"Tennessee,Virginia Tech"
76,Jalen Hurts,80,PHI,2,53,2020,Oklahoma,2016,2019,56,682,1046,364,65.2,9477,80,20,7.6,1.9,162.7,9.1,9.73,13.9,169.2,QB,"Alabama,Oklahoma"
77,Andre Woodson,79,NYG,6,198,2008,Kentucky,2004,2007,44,791,1278,487,61.9,9360,79,25,6.2,2,139.9,7.3,7.68,11.8,212.7,QB,Kentucky
78,Chris Weinke,79,CAR,4,106,2001,Florida State,1997,2000,36,650,1107,457,58.7,9839,79,32,7.1,2.9,151.1,8.9,9.01,15.1,273.3,QB,Florida State
79,Derek Anderson,79,RAV,6,213,2005,Oregon State,2001,2004,49,768,1515,747,50.7,11249,79,57,5.2,3.8,122.7,7.4,6.77,14.6,229.6,QB,Oregon State
80,John Beck,79,MIA,2,40,2007,BYU,2003,2006,43,885,1418,533,62.4,11021,79,34,5.6,2.4,141.3,7.8,7.81,12.5,256.3,QB,BYU
81,Jake Fromm,78,BUF,5,167,2020,Georgia,2017,2019,43,621,982,361,63.2,8224,78,18,7.9,1.8,156.1,8.4,9.14,13.2,191.3,QB,Georgia
82,Joe Burrow,78,CIN,1,1,2020,LSU,2016,2019,39,650,945,295,68.8,8852,78,11,8.3,1.2,172.4,9.4,10.49,13.6,227,QB,"LSU,Ohio State"
83,Robert Griffin III,78,WAS,1,2,2012,Baylor,2008,2011,41,800,1192,392,67.1,10366,78,17,6.5,1.4,158.9,8.7,9.36,13,252.8,QB,Baylor
