,Round
11454,0
1527,0
92,0
8615,0
11991,0
7767,0
2166,0
13962,3
6996,0
12359,2
2819,1
11983,3
7371,5
9227,0
6553,0
12424,3
9539,7
14847,0
1940,0
9289,0
12193,0
13788,0
8363,0
11751,1
3373,0
6718,6
2198,0
2781,0
9441,0
6873,0
2705,0
3062,0
2727,0
2270,3
7387,0
12969,0
3117,0
8328,0
7232,0
12077,0
13100,0
9335,3
11719,0
6970,0
2504,0
6476,3
1855,0
13944,0
11440,0
2317,0
13542,0
13671,0
13691,0
2810,0
13081,2
2724,0
7576,1
13117,0
9431,3
8405,0
7599,0
15115,0
6566,0
14337,5
7351,7
9311,7
14486,0
2814,0
2194,0
1847,3
8450,0
2101,0
11443,0
12683,0
7863,0
2515,0
8091,0
9438,0
1987,0
1860,0
9488,3
13441,0
6891,5
13147,0
15177,0
7613,4
1604,0
12877,0
2835,0
6763,0
9173,0
15127,0
14758,0
2529,0
8158,1
7884,0
7975,1
1807,0
7691,0
2587,0
12313,0
12188,0
7892,0
1963,1
2857,0
134,6
2345,0
2314,0
12236,0
11852,0
12419,0
2870,0
6475,0
6329,2
6995,0
12687,0
3130,3
12560,0
13032,0
6591,0
7382,0
13146,0
11915,0
12165,7
12458,0
13915,0
14137,4
9107,0
13662,0
13824,5
13135,0
9073,1
9457,0
8353,0
12936,0
6617,7
13385,0
3367,0
14501,1
14344,0
12287,2
7235,0
3179,0
6220,0
12853,0
14778,3
3341,0
13112,0
14603,0
14232,0
15038,0
3371,0
12495,7
7570,0
13206,0
14781,6
3309,1
14227,0
3310,0
7029,0
2921,0
2953,0
11747,0
6788,0
2485,1
2237,0
12191,0
6692,0
6441,0
12885,0
7155,0
12453,0
11752,6
9072,0
6902,1
6977,0
7082,0
7718,0
14597,0
8305,0
2854,0
12161,0
11640,0
2597,0
11670,4
11594,0
86,0
14917,0
2652,0
2397,0
7491,0
9316,0
8269,6
8341,4
13747,0
11478,0
2253,0
8521,0
47,0
6157,0
14862,0
2999,6
9199,0
12456,0
8517,0
11740,0
