,Pass_TD,From,To,G,Cmp,Pass_Att,Inc,Cmp%,Pass_Yds,Int,TD%,Int%,Rate,Pass_Y/A,Pass_AY/A,Pass_Y/C,Pass_Y/G,Pos,Team,Rush_Yds,Rush_Att,Rush_Y/A,Rush_TD,Rush_Y/G,Rec_Yds,Rec,Y/R,Rec_TD,Rec_Y/G
12753,0.0,2004,2007,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,['North Texas'],0.0,0.0,0.0,0.0,0.0,1247.0,120.0,10.4,4.0,30.4
2097,117.0,2000,2004,53,1388.0,2436.0,1048.0,57.0,17072.0,80.0,4.8,3.3,125.1,7.0,6.49,12.3,322.1,QB,['Hawaii'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6115,0.0,1989,1993,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,['Vanderbilt'],1532.0,313.0,4.9,7.0,27.9,0.0,0.0,0.0,0.0,0.0
11572,0.0,1992,1995,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,['UCLA'],0.0,0.0,0.0,0.0,0.0,2495.0,174.0,14.3,11.0,56.7
1994,36.0,1999,2002,44,398.0,740.0,342.0,53.8,5406.0,17.0,4.9,2.3,126.6,7.3,7.24,13.6,122.9,QB,['Wisconsin'],1703.0,490.0,3.5,25.0,38.7,0.0,0.0,0.0,0.0,0.0
12822,0.0,2004,2007,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,['California'],0.0,0.0,0.0,0.0,0.0,2047.0,156.0,13.1,13.0,46.5
11551,0.0,1992,1995,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,['Miami (OH)'],0.0,0.0,0.0,0.0,0.0,958.0,75.0,12.8,11.0,21.8
12691,0.0,2003,2005,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,['Boston College'],0.0,0.0,0.0,0.0,0.0,1285.0,89.0,14.4,9.0,41.5
13034,0.0,2006,2007,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,['Washington'],0.0,0.0,0.0,0.0,0.0,980.0,48.0,20.4,9.0,40.8
2094,37.0,2000,2003,35,377.0,697.0,320.0,54.1,5924.0,19.0,5.3,2.7,137.5,8.5,8.33,15.7,169.3,QB,"['Maryland', 'West Virginia']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1888,28.0,1997,2000,29,359.0,592.0,233.0,60.6,4289.0,18.0,4.7,3.0,131.0,7.2,6.82,11.9,147.9,QB,['Auburn'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13181,0.0,2007,2010,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,['Indiana'],0.0,0.0,0.0,0.0,0.0,1436.0,143.0,10.0,4.0,35.0
8057,0.0,2015,2018,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,['Marshall'],2014.0,459.0,4.4,17.0,46.8,0.0,0.0,0.0,0.0,0.0
13161,0.0,2007,2010,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,['Texas Tech'],0.0,0.0,0.0,0.0,0.0,1877.0,152.0,12.3,32.0,37.5
7883,0.0,2013,2017,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,"['Oklahoma', 'Texas A&M']",1743.0,359.0,4.9,24.0,44.7,0.0,0.0,0.0,0.0,0.0
