,Round
13650,0
1750,0
12345,0
9523,3
9313,0
9246,2
9187,6
2085,0
14072,0
12048,1
6816,0
7815,0
11717,0
7489,2
12239,0
12094,0
13170,0
6569,5
11703,4
2500,0
2718,0
13256,0
11725,6
8070,0
7345,0
11522,0
9150,0
8635,0
7547,7
9353,0
12329,0
2792,1
8451,0
6810,0
2277,0
2421,0
2755,0
7314,0
8055,3
7027,0
9283,0
13540,0
7066,0
7713,7
14069,6
14358,0
1919,0
1911,0
8587,0
15006,0
6475,0
13931,0
9418,0
7683,0
11992,0
14340,0
14778,3
6658,0
13462,5
7399,5
6712,6
9275,3
13303,3
2486,5
7782,5
14963,0
2146,0
2700,0
14945,0
14108,0
7813,0
8366,0
3001,0
6764,0
8353,0
2185,0
118,7
13976,1
6257,0
13804,2
3319,0
6547,0
14131,0
13514,0
7360,5
14869,0
11494,6
8238,0
12333,0
6956,0
8001,0
1589,0
1527,0
8226,7
2064,0
15221,4
13987,0
6567,2
14251,0
13501,0
2627,0
8536,0
1587,0
13686,0
7472,0
3371,0
6646,6
6908,0
61,5
6504,0
13664,2
7237,1
12584,0
8151,0
1913,0
2311,1
3353,0
1623,0
13567,0
1689,0
7997,0
8301,0
2435,7
13788,0
13925,0
14781,6
7721,5
8626,0
9365,2
3002,4
15222,0
7660,7
7004,0
7097,4
2445,2
12928,0
3165,0
12833,7
2605,0
2437,0
14580,0
9165,2
8415,0
15074,0
13632,0
7338,0
6780,6
11714,0
13472,0
6338,4
2890,0
2117,3
13858,0
13246,0
2531,0
8547,0
2343,0
9115,0
6418,0
6153,0
3179,0
7927,0
7831,0
14535,0
6253,0
6865,0
11892,0
12744,1
8119,0
14702,0
1640,0
7541,4
1783,0
12995,0
2160,0
14064,4
2727,0
6636,0
6318,0
13397,3
11666,0
9277,0
1680,0
14101,0
8154,0
2626,0
14563,0
6311,0
14137,4
13064,0
2337,0
11760,0
7772,4
1594,0
2318,0
13401,0
2214,0
11662,0
1936,0
7575,0
13346,0
2198,0
11953,0
14059,0
14886,0
13721,0
7551,0
3178,0
1891,0
14142,0
8616,0
7454,0
6871,0
7118,2
8545,0
1901,2
12746,0
14194,0
6147,0
7146,0
6701,0
8500,0
14376,0
7087,0
7644,0
11981,0
8168,0
14813,0
7415,0
14832,0
12424,3
12492,0
7348,0
9268,0
7652,0
9334,4
13295,0
6251,0
14986,3
13960,0
12751,0
12975,0
2903,0
9079,0
13421,0
6457,0
13258,0
1814,1
14849,0
13252,7
7318,0
11735,0
7075,3
14081,0
2365,0
12286,0
9090,0
8347,6
11872,0
7521,0
9220,0
7041,6
7659,0
2551,0
6759,0
3085,3
13860,0
11374,0
3131,3
6235,7
8260,0
15098,0
12622,0
6620,0
7953,0
14629,0
12113,0
13173,0
11431,0
3151,0
7650,0
8504,0
15086,0
6842,0
13098,0
12144,0
11823,0
9160,4
12566,0
14143,0
12868,0
13577,7
8462,0
9354,0
3202,0
13375,0
14212,0
3294,0
8549,0
7186,0
2237,0
12000,7
2132,0
12787,0
13493,0
6793,0
11833,1
8493,0
6964,4
24,0
13052,5
7581,0
9016,7
8492,0
12295,0
6728,0
13414,2
7495,0
13617,0
13048,0
14362,0
2153,0
8205,7
2336,0
6335,0
15240,0
8011,0
11663,2
12964,2
13595,0
11864,0
13389,0
8043,2
13739,0
15016,2
12444,6
6497,6
2811,3
13122,6
12555,0
11713,0
13426,0
11534,4
2983,0
14612,7
14173,0
7002,0
7692,4
2114,0
13287,0
14677,0
2273,0
11774,0
13413,0
14842,0
6539,1
12322,0
2524,0
2776,0
8149,7
14551,0
9387,0
12831,0
7187,5
7855,0
8522,0
14912,0
13805,1
